District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
1,Barguna,1350,1674,2120,0,0,0,1167,959,4316,1167,959,4316
2,Barishal,2249,2258,1200,0,0,0,1678,1650,1500,1678,1650,1500
3,Bhola,310,310,31,0,0,0,203,209,236.4,203,209,236.4
4,Jhallokati,482,666,503,0,0,0,241,389,950,241,389,950
5,Patuakhali,1914,1805,468,0,0,0,3280,3537,3096.79,3225,3537,3096.79
6,Pirojpur,2257,2374,646,0,0,0,1469,1322,2280,1469,1322,2280
1,Barishal Division,8563,9087,4967,0,0,0,8038,8066,12379.19,7983,8066,"12379.1
9"
7,Bandarban,6,5,131,0,0,0,37,38,38.17,37,38,38.17
8,Brahmanbaria,110,113,66,0,0,0,384,284,300.43,384,284,300.43
9,Chandpur,1579,1578,218,0,0,0,2002,2344,3412,2002,2344,3412
10,Chattogram,572,572,116.60,0,0,0,1797,1793,1693,1797,1793,1693
11,Cumilla,1481,1481,1002,470,470,0,243,903,1834,1836,1373,1834
12,Cox’s Bazar,39,48,4.48,0,0,0,188,184,113.2,188,184,113.2
13,Feni,828,825,130.63,0,0,0,177,354,329,177,354,329
14,Khagrachari,0,31,15.66,0,0,0,0,33,34.37,0,33,34.37
15,Lakshmipur,973,973,43.57,0,0,0,1023,1027,1032,1023,1027,1032
16,Noakhali,2051,1967,422.38,0,0,0,1929,1960,1856.78,1929,1960,1856.78
17,Rangamati,16,16,16.31,0,0,0,42,43,42.68,42,43,42.68
2,"Chattogram
Division",7653,7608,2167.05,0,0,0,7822,8963,10685.63,9415,9433,"10685.6
3"
18,Dhaka,207,207,20.43,0,0,0,195,196,194.49,195,196,194.49
19,Faridpur,1079,921,117.00,76,397,97.22,35,6553,3155.67,3570,6950,3252.89
20,Gazipur,608,603,210.71,5,120,129,89,993,1022.8,1152,1113,1151.8
21,Gopalganj,4301,4326,308.58,120,119,1.29,5858,6527,6833.48,5978,6646,6834.77
22,Kishoreganj,194,194,34.91,0,0,0,428,429,446.95,428,429,446.95
23,Madaripur,2448,2447,174.95,0,0,0,138,8423,9495.6,8633,8423,9495.6
24,Manikganj,130,130,43.74,0,0,0,554,353,345.63,554,353,345.63
25,Munshiganj,86,88,17.02,0,0,0,264,265,298.36,264,265,298.36
26,Narayanganj,111,112,10.66,0,0,0,103,108,111.75,103,108,111.75
27,Narsingdi,37,463,53.03,0,0,0,16,968,886.22,933,968,886.22
28,Rajbari,305,313,67.45,0,14,0,1434,866,1819,1434,880,1819
29,Shariatpur,427,424,118.65,0,0,0,864,872,748.03,895,872,748.03
30,Tangail,758,838,87.33,23,35,35.26,61,1663,1668.84,1782,1698,1704.1
3,Dhaka Division,10692,11064,1264.46,224,685,262.77,10039,28216,27026.82,25921,28901,"27289.5
9"
31,Bagerhat,2022,2022,90.15,0,0,66.33,3505,3514,3201.67,3505,3514,3268
32,Chuadanga,131,131,41.33,7,6,6.49,306,256,254.51,313,262,261
33,Jashore,794,801,205.94,0,64,64.44,1070,1049,1047.56,1070,1113,1112
34,Jhenaidah,911,910,145.04,0,0,0,144,877,932,144,877,932
35,Khulna,915,907,98.02,0,0,0,1934,1618,1493,1934,1618,1493
36,Kushtia,503,833,104.00,0,0,0,828,944,1068,828,944,1068
37,Magura,1059,1047,120.33,0,0,0,944,1083,1015,944,1083,1015
,,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21,2018-19,2019-20,2020-21
38,Meherpur,114,113,39.06,39,0,0,123,125,122,162,125,122
39,Narail,1066,1237,165.62,73,27,0,426,577,612,499,604,612
40,Satkhira,1413,1382,397.25,31,46,109,1275,126,2131,1306,172,2240
4,Khulna Division,8928,9025,1406.74,150,143,246.26,10555,10169,11876.74,10705,10312,12123
41,Jamalpur,191,169,45,0,0,0,441,370,495,441,370,495
42,Mymensingh,2122,2098,536,0,0,0,2065,1486,2263,2065,1486,2263
43,Netrokona,33,32,8,0,0,0,106,15,90,106,15,90
44,Sherpur,287,272,54,0,0,0,333,346,282,333,346,282
5,"Mymensingh
Division",2633,2572,643,0,0,0,2945,2217,3130,2945,2217,3130
45,Bogura,1884,1884,223.97,0,0,0,2971,2991,3350.13,2971,2991,3350.13
46,Joypurhat,245,246,51.97,156,57,0,335,281,428.48,491,338,428.48
47,Naogaon,6061,4918,595.06,1059,729,135,51546,1511,1760.1,1701,2240,1895.1
48,Natore,1024,856,125.97,0,0,0,4373,3751,2359.9,4373,3751,2359.9
49,Chapai Nawabganj,155,160,73.26,0,0,0,163,176,183.64,163,176,183.64
50,Pabna,506,492,102.78,0,139,0,1314,1148,1290.2,1314,1287,1290.2
51,Rajshahi,93,774,151.28,0,0,0,107,955,1063.3,107,955,1063.3
52,Sirajganj,671,685,64.37,6,0,0,1201,1147,1149.31,1207,1147,1149.31
6,Rajshahi Division,10639,10014,1388.66,1221,925,135,62010,11960,11585.06,12327,12885,"11720.0
6"
53,Dinajpur,299,139,69.11,0,0,0,374,361,368,374,361,368
54,Gaibandha,87,88,17.54,0,0,0,56,58,54.43,56,58,54.43
55,Kurigram,6,7,1.47,0,0,0,3,4,4.69,3,4,4.69
56,Lalmonirhat,77,44,11.26,0,0,0,158,37,38.88,158,37,38.88
57,Nilphamari,0,20,4.33,0,0,0,0,18,16.84,0,18,16.84
58,Panchagar,46,3,4.08,0,0,0,0,0,0,0,0,0
59,Rangpur,251,252,21.63,0,0,0,364,373,404.82,364,373,404.82
60,Tahkurgaon,15,15,3.95,0,0,1.02,8,9,5.36,8,9,6.38
7,Rangpur Division,781,748,133.37,0,0,1.02,963,860,893.02,963,860,894.04
61,Habigonj,113,109,149.20,0,0,0,198,6,208.01,198,6,208.01
62,Moulvibazar,4,3,1.49,0,0,0,19,20,20.3,19,20,20.3
63,Sunamganj,195,82,85.50,0,763,0,6,18,606,6,781,606
64,Sylhet,0,0,0.20,0,0,0,0,0,4.88,0,0,4.88
8,Sylhet Division,313,194,236,0,763,0,223,44,839.19,223,807,839.19
BANGLADESH,,50202,50313,"12207.6
7",1595,2516,645.05,102595,70495,78415.65,70371,73011,"79060.7
0"
