Variety,2019-20,2020-21,"Percentage (%) changes
over previous year"
,Total Production (M.Ton),Total Production (M.Ton),
Local Potato,"8,28,370","7,96,432",(-)3.856
High Yielding Variety,"87,77,254","90,90,810",(+)3.572
Total Potato,"96,05,624","98,87,242",(+)2.932
