District/ Division,,2019-20,,,,,2020-21,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
1,Barguna,1740,704,19.63,1.812,1275,5200,2104,16.39,1.512,3181
2,Barishal,18359,7429,11.59,1.069,7943,17087,6915,13.16,1.214,8394
3,Bhola,51327,20771,14.78,1.363,28317,41529,16086,13.69,1.263,21222
4,Jhallokati,3580,1449,17.97,1.658,2401,3668,1484,18.41,1.698,2521
5,Patuakhali,24714,10001,14.92,1.376,13764,21772,8811,13.20,1.218,10728
6,Pirojpur,9302,3764,14.30,1.319,4965,6300,2549,15.25,1.407,3586
1,"Barishal
Division",109022,44118,14.42,1.330,58665,95556,38669,13.91,1.283,49631
7,Bandarban,21975,8893,16.70,1.540,13698,21999,8903,17.11,1.578,14050
8,"Brahmanbari
a",568,230,13.85,1.278,294,57,23,13.11,1.209,28
9,Chandpur,734,297,11.32,1.044,310,751,304,14.87,1.372,417
10,Chattogram,13666,5530,15.13,1.396,7718,17140,6936,14.56,1.343,9315
11,Cumilla,235,95,9.83,0.907,86,4559,1845,11.97,1.104,2037
12,Cox’s Bazar,123,50,8.02,0.740,37,315,127,0.00,0.000,0
13,Feni,5949,2407,13.99,1.290,3106,5949,2407,13.26,1.223,2945
14,Khagrachari,3949,1598,21.35,1.969,3147,4004,1620,21.39,1.973,3197
15,Lakshmipur,1233,499,14.89,1.373,685,1571,636,13.99,1.290,820
16,Noakhali,11297,4572,11.76,1.085,4959,8724,3530,12.82,1.183,4175
17,Rangamati,13007,5264,14.46,1.334,7021,12358,5001,14.88,1.373,6864
2,"Chattogram
Division",72735,29434,15.124,1.395,41062,77427,31333,15.17,1.399,43848
18,Dhaka,186,75,20.99,1.936,146,182,73,20.27,1.911,140
19,Faridpur,18172,7354,11.50,1.061,7801,11441,4630,10.30,0.950,4399
20,Gazipur,0,0,0.00,0.00,0,0,0,0.00,0.000,0
21,Gopalganj,4688,1897,9.73,0.897,1703,3218,1302,12.36,1.140,1485
22,Kishoreganj,37,15,16.80,1.550,23,37,15,19.47,1.796,27
23,Madaripur,2195,888,13.40,1.236,1098,915,370,13.46,1.242,460
24,Manikganj,2794,1131,8.61,0.794,898,1134,459,10.00,0.922,423
25,Munshiganj,15,6,8.33,0.768,5,15,6,0.00,0.00,0
26,Narayanganj,70,28,10.48,0.967,27,22,9,9.59,0.885,8
27,Narsingdi,0,0,0,0,0,0,0,0.00,0.000,0
28,Rajbari,2792,1130,14.23,1.313,1483,2268,918,12.83,1.183,1086
29,Shariatpur,22257,9007,11.96,1.103,9936,2409,975,14.03,1.294,1262
30,Tangail,254,103,14.99,1.383,142,403,163,13.22,1.219,199
3,"Dhaka
Division",53460,21634,11.65,1.074,23239,22043,8920,11.53,1.064,9488
31,Bagerhat,841,340,15.96,1.472,501,221,89,12.97,1.196,107
32,Chuadanga,11297,4572,13.56,1.251,5718,11544,4672,14.59,1.346,6287
33,Jashore,1438,582,13.25,1.222,711,37,15,11.69,1.078,16
34,Jhenaidah,420,170,18.46,1.703,289,0,0,0.00,0.000,0
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
35,Khulna,6136,2483,14.81,1.366,3392,6913,2798,10.39,1.008,2820
36,Kushtia,10151,4108,13.56,1.251,5138,2983,1207,16.84,1.553,1820
37,Magura,730,295,12.69,1.171,346,1043,422,13.94,1.286,543
38,Meherpur,0,0,0,0,0,0,0,0.00,0.000,0
39,Narail,12285,4971,13.70,1.264,6282,12915,5226,14.33,1.322,6908
40,Satkhira,0,0,0.00,0.00,0,0,0,0.00,0.00,0
4,"Khulna
Division",43298,17522,9.65,0.890,15603,35656,14429,13.94,1.286,18557
41,Jamalpur,334,135,15.16,1.398,189,224,91,15.63,1.442,131
42,Mymensingh,0,0,0.00,0.00,0,0,0,0.00,0.000,0
43,Netrokona,356,144,16.74,1.544,222,75,30,17.57,1.621,49
44,Sherpur,341,138,14.17,1.307,180,46,19,14.58,1.345,25
5,"Mymensing
h Division",1031,417,15.38,1.418,592,345,140,15.91,1.468,205
45,Bogura,0,0,0.00,0.00,0,731,296,13.85,1.278,378
46,Joypurhat,0,0,0.00,0.00,0,0,0,0.00,0.000,0
47,Naogaon,0,0,0.00,0.00,0,879,356,12.87,1.187,442
48,Natore,704,285,13.32,1.229,350,688,278,13.07,0.000,336
49,"Chapai
Nawabganj",9138,3698,14.37,1.325,4901,149,60,18.14,1.673,101
50,Pabna,17056,6902,11.41,1.052,7264,16797,6797,12.08,1.114,7574
51,Rajshahi,1249,505,14.93,1.377,696,171,69,18.97,1.750,121
52,Sirajganj,5553,2247,14.29,1.318,2962,2768,1120,14.29,1.318,1476
6,"Rajshahi
Division",33700,13638,12.86,1.186,16173,22182,8977,12.57,1.159,10408
53,Dinajpur,0,0,0,0,0,0,0,0.00,0.000,0
54,Gaibandha,120,49,18.62,1.718,83,49,20,16.42,1.515,30
55,Kurigram,25,10,12.74,1.175,12,1695,686,14.79,1.364,936
56,Lalmonirhat,0,0,0,0,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0,0,0,0,0,0.00,0.000,0
58,Panchagar,54,22,12.52,1.155,25,123,50,13.27,1.224,61
59,Rangpur,0,0,0,0,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0,0,0,0,0,0.00,0.000,0
7,"Rangpur
Divison",199,80,16.23,1.497,120,1867,756,14.73,1.359,1027
61,Habiganj,618,250,14.85,1.370,343,886,359,14.64,1.350,484
62,Moulvibazar,500,202,15.62,1.441,292,450,182,17.38,1.603,292
63,Sunamganj,1291,523,17.97,1.658,866,1000,405,19.02,1.754,710
64,Sylhet,9509,3848,13.41,1.237,4759,7852,3178,15.14,1.397,4437
8,"Sylhet
Division",11918,4823,14.07,1.298,6260,10188,4123,15.58,1.437,5924
Bangladesh,,325364,131667,13.32,1.228,161714,265264,107347,14.05,1.296,139086
