District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
57,Nilphamari,47,50,144.97,23,0,0,254,109,295.94,274,109,295.94
58,Panchagar,183,185,190.01,45,202,47.81,394,11,402.37,303,213,450.18
59,Rangpur,50,95,121.22,71,0,50.25,286,44,310.38,343,44,360.63
60,Thakurgaon,1164,957,1225.25,84,142,89,210,42,237.14,351,184,326.14
7,Rangpur Divison,1981,1839,2430.83,423,613,386.59,2440,773,2648.47,2715,1386,"3035.0
6"
61,Habiganj,66,75,212.41,657,548,286.99,252,286,547.10,923,834,834.09
62,Moulvibazar,872,780,1101,2749,2285,741.44,7145,7627,9156.56,9894,9912,9898
63,Sunamganj,20,147,147,71,0,0,72,295,764,143,295,764
64,Sylhet,107,201,235,270,250,35.34,139,92,276.66,407,342,312
8,Sylhet Division,1065,1203,1695.41,2747,3083,1063.77,7514,8300,"10744.3
2",10273,11383,"11808.
09"
BANGLADESH,,158842,156440,"162242.
69",22957,22242,"20709.7
1",34086,36310,"60894.7
5",57043,58552,"81604.
46"
