District,River,"Sundar
bans",Beel,"Kaptai
Lake","Flood
Plain",Pond,"Seasonal
cultured
water
body",Baor,"Shrimp
/ Prawn
Farm","Pen
Culture","Cage
Culture",Total
Dinajpur,296,0,562,0,6114,49573,2089,0,16,0,14,58664
Gaibandha,2132,0,577,0,6356,25884,760,0,13,38,0,35760
Kurigram,4010,0,1703,0,11502,20955,5003,0,5,161,174,43513
Lalmonirhat,207,0,586,0,1847,14176,4104,0,3,28,6,20957
Nilphamari,202,0,512,0,3773,20224,794,0,5,12,4,25526
Panchagarh,125,0,58,0,3012,13913,475,0,6,6,0,17595
Rangpur,164,0,1892,0,8505,31003,3762,0,18,28,0,45372
Thakurgaon,118,0,213,0,4071,25512,441,0,8,11,9,30383
"Rangur
Division",7254,0,6103,0,45180,201240,17428,0,74,284,207,277770
Bogura,914,0,2638,0,4947,88240,716,0,6,50,9,97520
"Chapai
Nawabganj",1933,0,3072,0,1543,13020,239,0,0,164,30,20001
Joypurhat,197,0,275,0,162,23385,602,0,24,0,4,24649
Naogaon,1305,0,5323,0,15881,58615,677,0,2,0,13,81816
Natore,878,0,1078,0,16470,48039,432,0,3,0,28,66928
Pabna,4266,0,2740,0,11380,46262,2991,0,0,8,154,67801
Rajshahi,2495,0,4205,0,6589,63399,6403,0,0,0,0,83091
Sirajganj,4532,0,797,0,34251,26093,1277,0,0,21,1354,68325
"Rajshahi
Division",16520,0,20128,0,91223,367053,13337,0,35,243,1592,510131
Bandarban,152,0,0,0,168,1366,363,0,0,0,0,2049
Brahmanbaria,1996,0,502,0,21186,36469,2232,0,0,545,137,63067
Chandpur,35695,0,299,0,24879,37916,2757,0,196,186,1004,102932
Chattogram,6881,0,53,0,734,66515,3574,0,1504,0,0,7926
Cumilla,1038,0,336,0,74872,138708,78123,0,150,82,242,293551
Cox’s Bazar,2412,0,0,0,1357,4811,164,0,22810,0,0,31554
Feni,1346,0,0,0,7193,24941,316,0,68,7,22,33893
Khagrachhari,203,0,55,0,0,2919,461,0,0,0,0,3638
Lakshmipur,22145,0,0,0,10734,31549,901,0,158,0,72,65553
Noakhali,10107,0,0,0,28647,49413,1189,0,391,0,0,89747
Rangamati,234,0,0,12345,4,1160,561,0,0,50,104,14458
"Chattogram
Division",82209,0,1245,12345,169774,395761,90641,0,25277,870,1581,779703
Habiganj,1027,0,2659,0,29081,18642,236,0,18,0,0,51663
Moulvibazar,490,0,2977,0,24738,22548,794,0,0,0,5,51552
Sunamganj,871,0,24354,0,70143,10650,1506,0,0,17,0,107541
Sylhet,874,0,5416,0,43042,20169,1594,0,3,10,22,71130
"Sylhet
Division",3262,0,35406,0,167004,72009,4130,0,21,27,27,281886
TOTAL,337051,21544,104871,12345,825433,2090787,226608,11319,290754,14282,4995,3939989
%,8.55,0.55,2.66,0.31,20.95,53.07,5.75,0.29,7.38,0.36,0.13,100
