Commodity,Unit,2018-19,,2019-20,,2020-21,
"08021290-Almonds, shelled",Kg,764300,118818,1399890,218417,2852029,446262
1205 Rape seed broken or not,Kg,144280440,5715196,460005254,16468819,444155471,19036812
"12075090 Mustard seeds broken
or not",Kg,16232250,797228,5894444,265963,18612921,898644
"1207 Oil seeds, other",Kg,16458639,867513,6338596,428243,19220688,1089547
"1208 Flours/meal of other oil
seeds nec",Kg,57531,37305,1844320,119916,1783859,118852
"12091000Beet seed for sowing,
other",Kg,,23,113488,5107,152,676
"12099100Vegetable seeds for
sowing",Kg,1674723,1725494,150501920,1722239,1792714,2453135
"12099900 Seeds, for sowing
other",Kg,6485277,1415987,4594232,783490,7462139,1122899
"1211 Plant & part etc use in
perfumery",Kg,21612217,1652515,21492892,1440187,27686542,1909089
"12119019 Plant & part herb etc
for medicine",Kg,181524,11498,653541,38604,24969,3899
"12119091 Plant & part for
insecticidal etc",Value,102380,9930,75911,7719,167705,18127
"13021900 Vegetable saps &
extract: other",Kg,54981,163720,454870,174500,40430,169273
13023100 Mucilages &thickners:,Kg,16580,17722,19226,12221,20034,10089
"14049091 Vegetable products,",kg,71965,7558,3300,1136,8045,697
"other, nec degummed or not",kg,-,-,-,-,-,-
"1507 Soyabean oil/ fractions
other",Kg,1935064747,114490388,"127485147
0",81219126,1415361093,111819513
1508 Groundnut oil/fraction,Kg,2524797,9051,27239,8880,27832,10515
"15091000 other Olive oil, virgin",Kg,290171,81009,1291023,351517,-,-
15099000 Olive oil/fraction other,Kg,631989,114540,-,-,1190,294
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
1511 Palm oil crude,Kg,342921015,16752311,"287516296
8",152879778,2589561372,186823760
"151190090 Palm
oil/fractions,other",Kg,,,"263056266
1",141073458,2547783995,183579571
15131100 Coconut (copra) oil/,Kg,2456801,180150,4402436,281702,1247,170
15131900-fraction other,,1001865,141643,663056,92620,985392,139054
15132100 Palm kernel or,Kg,8956808,862397,8657027,811361,9806981,1109249
"babassu oil, crude",,-,-,-,-,-,-
15132900 Palm kernel/babasu,Kg,4276507,616167,3292005,479455,3481182,508906
oil/frcton other,,-,-,-,-,-,-
"15132900 Castor oil and its
fraction",Kg,268473,98670,307113,92435,3481182,508906
"15155000 Sesame oil and its
fraction",Kg,136385,21714,95859,11951,56966,8656
"15162000 Veg fat oil/fraction
hydrogenated",Kg,13482110,1404040,12688093,1340312,15241059,1753127
"15161000 Animal/veg oil fat boil
oxid other",Kg,546828,28985,225381,26593,18300,14360
1520 Glycerol (glycerine) crude,Liter,,236,-,79,5,3
"15211000 Vegetable waxes
refine/colour or not",Kg,48980,17085,52511,18521,114067,33058
"15219000 Beeswax and other
insect waxs",Kg,13235,9092,10465,6524,29937,12341
"17011400 Cane sugar raw not
add flavor/color",M.ton,2295029093,68301991,"342401081
6",103220692,4016301478,125532393
"17011200 Beet sugar raw not
add flavor/color",M.ton,,22,-,1,17,7
"17019900 Sugar cane/beet
chem pure/solid other",M.ton,19714264,816637,12132629,4625887,90749741,3578761
"17021900 Sugar: Lactose, solid
form",kg,109714,81531,60060,35960,56972,17432
"17023090 Sugar glucose solid
<20% fructose",Kg,17506537,87170,2528848,122970,2919316,165189
"17026000 Sugar: glucose syrup
<=20% fructose",Kg,13338,3180,8071,893,7659,562
"17024000 Sugar: fructose/syrup
50% + other",Kg,9719,945,34427,2765,24805,681
"17041000 Chewing gum (sugar
coated or not)",Kg,,84,142122,38348,2112,340
"1805Cocoa powder not added
sugar/sweet",Kg,1784010,248725,2177542,316662,2400656,363412
"1806 Chocolate/food prep contain
coca",Kg,2570309,707489,2114264,684510,3194732,971627
"19011000 Malt/other prep for
infant/invalid",Kg,8014404,3123308,8067460,3343204,8769538,3636443
"19019011 Malt extract not for retail
sale",Kg,12534733,2070242,1386887,184201,19827637,3732259
"1903 Tapioca subst from potato,
other",Kg,8199664,426850,9314848,489516,8365166,444136
"19053100 Sweet biscuits,waffles &
wafers",Kg,241613,70990,177298,66245,337120,118572
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"2006 Fruit nut fruit peel prsrv by
sugr",Kg,287943,18946,281029,20681,389259,28824
"2007 Jam fruit jelly marma- led
fruit cook",Kg,120401,33328,137312,50454,153615,54400
"20084000 -Pears prep/prsrv /sugar
or not",Kg,1148,256,1173,386,-,-
20091100 Orange juice other nec,Liter,30919,6521,40976,7751,41362,7718
20099000 Mixture of fruit juice,Liter,773362,101714,675382,91177,667095,90802
2102100 Active yeasts,Kg,4839141,783553,5420286,861385,5345125,859516
"21023000 Prepared baking
powders",Kg,566130,77748,481257,65508,496696,64777
"21039090 Sauces and
preparation, other",Kg,2358061,342029,2338501,330974,2496136,341499
"2104 Soup homogenise composite
food prep",Kg,679136,154610,754183,180887,988495,240267
"2105 Ice cream/Ice cont cocoa or
not",Kg,38993,28459,21438,16048,11485,9852
"2106 Food preparation, other",Kg,26972929,6743178,12847758,5935568,13798578,7376229
"22019000-Water, nec",Liter,237167,16368,244071,17646,134303,9049802
"22021000-Mineral water cont
sugar/sweet/flvr",Liter,305607,20567,177713,16906,17100,14859
2203000-Beer made from malt,Liter,3487336,202740,2436406,161694,2161459,113733
22041000-Sparkling wine,Liter,144018,30091,82426,34509,44465,16366
"22042100-Wine other grape must
cont <=2 liter",Liter,73618,21792,73453,26908,13490,7197
"22051000-Vermouth/other wine
cont <=2 liter",Liter,,,-,16,30,6
"22060000-Fermented beverage,
other not cider",Liter,1780,265,-,6,3,1
"22082000 Ethyl alchol/other spirit
denatured",Liter,8832,7757,19741,19824,581142,238076
22083000-Whiskies,Liter,1039557,393283,772811,337034,444510,20034
22084000-Rum and Tafia,Liter,6222,1732,7153,2696,20153,4242
"22071000-Undenatured ethyl
alcohol other",Liter,453355,82422,1100512,180972,450111,149899
22090000 Vinegar/substi from,Liter,274240,27913,533605,54541,729302,79478
23040000-Soyabean oil-cake,Kg,412082198,16893117,375949421,13818860,691087436,26897640
"23091000-Preparations use in
animal feed nec",Kg,322550,29327,442648,21685,824688,31351
"24011000-Tobacco N/stem/strip
flucure virginia",Kg,210014,83259,13982,639,42348,1759
24012000-Tobacco whole/part,Kg,1059890,612844,1688507,1015894,1449008,819289
stem/strip virg,,-,-,-,-,-,-
"31021000-Urea Aqueous solution
or not",Kg,1480427158,46561812,"119480252
5",31827256,1088493741,28691608
31022100-Ammonium sulphate,Kg,23727399,436563,22985443,420532,22679818,407682
3103-Super phosphate fertilizer,Kg,610050533,20785763,586420430,18683839,571030219,17949551
"31039000-Mineral/chemical
fertilizer nec",Kg,26500,440,2720,64,23,216
31042000-Potassium chloride,Kg,77039811,18749597,828815493,20800326,888149690,17871914
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
310430000-Potassiam sulphate,Kg,8551016,401572,9258465,428420,9147902,400136
"38085000-Malathion,",Kg,,,-,-,-,-
"38089110-Insecticides, nec",Kg,16070536,9761921,16495814,9160799,24249749,13514340
"38092010-Fungicides for
agricultural purpose",Kg,,,--,-,-,-
3808401-Disinfectants,Kg,,,-,-,-,-
"40011000-Nturl rubber latex
vulcan or not",Kg,760099,115072,844347,150607,262364,59833
"40012110 Smoked sheet of natural
rubber",Kg,7086058,907467,8533984,1117966,6007600,871590
"40013000-Balata Gutta-percha
guavule chicle",Kg,57600,9415,19200,3211,57955,12549
"4403-Wood in the rough, other","Cu-
Mtr",232647094,8150684,262086190,8570176,2152234,132259
"45031000-Corks and stoppers,
natural",Kg,21196,4383,-,484,701,77-
"47020000-Wood pulp chemical
dissolving grade",Kg,244666,19580,-,-,-,-
"47032100 Wood pulp chem
semiblch/blch coni",Kg,26668375,1901954,33057020,1877346,33015661,1946316
"47032900 Wood pulp chem
semiblch/blch N/coni",Kg,285212025,18093734,356371,15598793,252850376,11680610
"47041100 Wood pulp chem
sulphite blech conifer",Kg,,,-,-,-,-
"47072900 Wood pulp chem
sulphite blch N/conifer",Kg,,,-,-,-,-
5002-Raw silk (not thrown),Kg,26648,20793,28727,22401,30387,23296
5105-Wool top,Kg,135277,309113,224729,285012,265554,144962
"5201 Cotton American RG(rolled
ginned)",M.ton,1525789158,268091695,"167477360
7",290565357,1830801900,321373435
"84081000 Agri pistonengine
disel/semi-disel",No.,6114015,4149235,4895,3164073,3842762,2986993193
"84089090-Internal piston engine
comp igni other",No,,294749,-,78854,143947,163337
84136000 Rotary pumps,No.,20828608,6019639,9214311,266412,15376816,4675424
"84242010-Appliance other
Agri/horticultural",No.,460367,202853,478170,381435,407693,246158
"84248110-Spraying machine used
in Agri",No.,,2054,-,277159,-,-
8432-Ploughs,No.,33159016,5091639,9417755,3562814,33908715,4469053
84322100-Disc harrows,No.,,1642,-,2800,1395615,108220
"84329000-Parts, Agri horti mchnry
exel tractor",KG,8490416,524341,9399107,626048,6370592,485858
"84361000-Mchnry preparing
animal feed stuff",No.,6421,3451976,5268,2401074,4629945,2421124
"843621000-Poultry-keep mchnry
incubator broodr",No.,804,444230,1158,871101,857746,449393
"84362900-Poultry farming
machinery",No.,981,362674,1149,389664,1561453,456815
"84378010-Machry other for the
working of rice",No.,1299,21085,-,26221,201382,58283
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"84379010--Parts nec of mchnry for
rice huller",Kg,2895801,302318,2523159,304575,2505853,368003
"84379090-Parts nec of grain
milling machnry",Kg,672621,2288101,1031704,179072,1257751,242317
"8701-Tractor pedestrian control
Agri, wheel",No.,62558,9158358,1028,5456510,1935744,6582791
