District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,168,65,107,0,0,0,36,50,35,36,50,35
2,Barishal,530,199,204,0,0,0,301,280,282,301,280,282
3,Bhola,208,66,65,0,0,0,32,40,44,32,40,44
4,Jhallokati,238,92,99,0,0,0,63,72,76,63,72,76
5,Patuakhali,204,77,76,0,0,0,28,48,52,28,48,52
6,Pirojpur,241,90,49,0,0,0,94,93,91,94,93,91
1,Barishal Division,1588,589,600,0,0,0,554,583,580,554,583,580
7,Bandarban,161,23,91,25,26,28,47,126,135,72,152,163
8,Brahmanbaria,213,215,222,39,0,7,150,177,187,189,177,194
9,Chandpur,265,0,200,0,0,0,123,243,243,123,243,243
10,Chattogram,454,0,68,0,0,0,416,404,895,416,404,895
11,Cumilla,451,47,70,17,0,0,334,300,540,351,300,540
12,Cox’s Bazar,301,0,28,0,0,0,281,200,251,281,200,251
13,Feni,149,46,43,0,0,0,59,56,45,59,56,45
14,Khagrachari,363,178,159,38,37,39,405,414,428,443,451,467
15,Lakshmipur,478,400,420,0,0,0,185,184,219,185,184,219
16,Noakhali,232,156,24,0,0,0,207,82,111,207,82,111
17,Rangamati,479,426,460,1,2,10,299,557,519,300,559,529
2,"Chattogram
Division",3549,1491,1785,120,65,84,2506,2743,3573,2626,2808,3657
18,Dhaka,92,15,7,0,0,0,86,87,67,86,87,67
19,Faridpur,90,90,41,0,0,0,49,51,60,49,51,60
20,Gazipur,289,324,84,23,157,100,272,146,229,295,303,329
21,Gopalganj,180,28,9,0,0,0,36,44,37,36,44,37
22,Kishoreganj,562,128,129,15,0,0,489,384,50,504,384,50
23,Madaripur,24,3,31,0,0,0,13,15,14,13,15,14
24,Manikganj,108,28,52,0,0,0,105,110,108,105,110,108
25,Munshiganj,41,5,22,0,0,0,24,20,17,24,20,17
26,Narayanganj,106,26,58,0,0,0,103,116,116,103,116,116
27,Narsingdi,684,98,56,437,0,210,939,728,662,1376,728,872
28,Rajbari,40,0,31,0,0,0,15,0,35,15,0,35
29,Shariatpur,152,7,65,0,0,0,54,50,21,54,50,21
30,Tangail,1037,130,66,62,126,0,830,679,0,892,805,0
3,Dhaka Division,3405,882,651,537,283,310,3015,2430,1416,3552,2713,1726
31,Bagerhat,386,0,32,0,0,0,139,146,248,139,146,248
32,Chuadanga,15,4,4,0,0,0,9,15,15,9,15,15
33,Jashore,317,79,57,31,31,36,239,203,252,270,234,288
34,Jhenaidah,141,38,24,0,0,0,55,67,77,55,67,77
35,Khulna,197,57,58,0,0,0,140,132,107,140,132,107
36,Kushtia,42,5,5,0,0,0,31,31,32,31,31,32
37,Magura,102,17,15,0,0,0,113,93,170,113,93,170
38,Meherpur,3,4,3,0,0,0,2,2,2,2,2,2
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,36,6,60,0,15,10,30,12,15,30,27,25
40,Satkhira,110,100,53,0,0,15,95,93,92,95,93,107
4,Khulna Division,1349,310,311,31,46,61,853,794,1010,884,840,1071
41,Jamalpur,822,409,196,0,0,0,1120,1335,1126,1120,1335,1126
42,Mymensingh,2193,0,351,342,204,172,1904,1815,2001,2246,2019,2173
43,Netrokona,696,2,100,0,0,0,629,847,812,629,847,812
44,Sherpur,343,36,53,0,0,0,294,303,493,294,303,493
5,"Mymensingh
Division",4055,447,700,342,204,172,3947,4300,4432,4289,4504,4604
45,Bogura,428,85,91,0,0,0,392,391,395,392,391,395
46,Joypurhat,252,17,27,0,0,0,148,150,381,148,150,381
47,Naogaon,469,58,55,29,44,39,271,396,485,300,440,524
48,Natore,110,9,10,0,0,0,210,176,156,210,176,156
49,Chapai Nawabganj,0,0,1,0,0,0,0,0,4,0,0,4
50,Pabna,33,2,3,0,0,0,24,27,26,24,27,26
51,Rajshahi,57,28,32,0,0,0,119,130,133,119,130,133
52,Sirajganj,291,20,23,0,0,0,332,220,288,332,220,288
6,Rajshahi Division,1641,219,242,29,44,39,1496,1490,1868,1525,1534,1907
53,Dinajpur,280,47,51,0,0,0,277,350,309,277,350,309
54,Gaibandha,220,121,34,0,0,0,228,276,279,228,276,279
55,Kurigram,214,23,23,0,0,0,207,209,210,207,209,210
56,Lalmonirhat,681,52,105,0,0,0,635,738,751,635,738,751
57,Nilphamari,457,63,65,0,0,0,467,503,515,467,503,515
58,Panchagar,288,48,49,0,0,0,398,319,423,398,319,423
59,Rangpur,213,18,17,0,0,0,194,214,46,194,214,46
60,Thakurgaon,186,22,22,0,0,0,453,449,453,453,449,453
7,Rangpur Divison,2539,394,366,0,0,0,2859,3058,2986,2859,3058,2986
61,Habiganj,39,50,8,0,0,0,46,39,28,46,39,28
62,Moulvibazar,1173,130,132,0,0,0,850,665,671,850,665,671
63,Sunamganj,1055,126,124,0,0,0,531,498,671,531,498,671
64,Sylhet,526,128,131,7,0,0,239,205,205,246,205,205
8,Sylhet Division,2793,434,395,7,0,0,1666,1407,1575,1673,1407,1575
BANGLADESH,,20918,4766,5050,1066,642,666,16896,16805,17440,17962,17447,18106
