District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
26,Narayanganj,1108,448,3.83,9.464,4244,7592,3072,4.75,11.738,36062
27,Narsingdi,6289,2545,4.57,11.293,28741,6642,2688,4.66,11.515,30952
28,Rajbari,120134,48616,4.28,10.576,514174,118368,47901,4.16,10.280,492411
29,Shariatpur,59272,23986,4.29,10.601,254277,47819,19351,3.36,8.303,160672
30,Tangail,44670,18077,4.43,10.947,197888,34317,13887,3.94,9.736,135209
3,Dhaka Division,642801,260127,4.21,10.393,2703447,644826,260947,4.08,10.080,2630420
31,Bagerhat,2723,1102,4.43,10.947,12063,3404,1377,4.96,12.257,16882
32,Chuadanga,56909,23030,5.25,12.973,298772,40729,16482,6.41,15.840,261073
33,Jashore,70066,28354,5.03,12.430,352432,49599,20072,5.58,13.789,276762
34,Jhenaidah,57343,23205,5.37,13.270,307932,50321,20364,6.23,15.395,313500
35,Khulna,4820,1951,4.67,11.540,22509,3185,1289,4.50,11.120,14333
36,Kushtia,105770,42803,5.33,13.171,563754,91845,37168,5.74,14.184,527190
37,Magura,97875,39608,3.95,9.761,386606,81292,32897,4.67,11.540,379634
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
38,Meherpur,63721,25786,5.13,12.677,326889,48072,19454,6.19,15.296,297566
39,Narail,53660,21715,5.26,12.998,282252,"5060
4",20478,5.72,14.135,289455
40,Satkhira,23589,9546,5.25,12.973,123842,24303,9835,5.18,12.800,125890
4,Khulna Division,536476,217100,4.99,12.331,2677051,443354,179415,5.64,13.947,2502284
41,Jamalpur,91785,37143,4.81,11.886,441486,51825,20972,4.35,10.749,225439
42,Mymensingh,15241,6168,3.74,9.242,57001,14788,5984,4.14,10.230,61222
43,Netrokona,13763,5570,5.71,14.110,78587,13004,5262,4.35,10.749,56567
44,Sherpur,4691,1898,3.13,7.735,14683,3178,1286,4.18,10.329,13284
5,"Mymensingh
Division",125480,50779,4.72,11.654,591757,82795,33505,4.31,10.640,356513
45,Bogura,17508,7085,5.03,12.430,88065,25333,10252,5.37,13.270,136040
46,Joypurhat,6964,2818,5.11,12.627,35588,4290,1736,5.51,13.616,23638
47,Naogaon,15072,6099,5.27,13.023,79429,12632,5112,6.17,15.247,77939
48,Natore,61767,24996,4.61,11.392,284746,57912,23436,4.59,11.342,265816
49,"Chapai
Nawabganj",2714,1098,4.96,12.257,13461,2726,1103,4.95,12.232,13494
50,Pabna,112690,45603,4.93,12.183,555562,101974,41267,5.34,13.196,544541
51,Rajshahi,33892,13715,5.04,12.454,170816,34434,13935,5.52,13.640,190076
52,Sirajganj,35527,14377,4.56,11.268,162003,29534,11952,4.67,11.540,137924
6,"Rajshahi
Division",286134,115792,4.86,12.001,1389670,268835,108792,5.17,12.772,1389467
53,Dinajpur,22690,9182,4.24,10.477,96206,10804,4372,5.17,12.776,55857
54,Gaibandha,32048,12969,4.98,12.306,159599,29593,11976,5.24,12.949,155067
55,Kurigram,41839,16931,5.28,13.047,220910,43274,17512,5.38,13.295,232814
56,Lalmonirhat,10086,4082,5.42,13.393,54666,14194,5744,5.68,14.036,80622
57,Nilphamari,25953,10503,4.90,12.108,127170,21135,8553,5.63,13.912,118990
58,Panchagar,27323,11057,4.19,10.354,114483,21852,8843,4.69,11.589,102486
59,Rangpur,29768,12046,5.39,13.319,160450,21135,8553,5.61,13.863,118567
60,Tahkurgaon,21811,8826,5.11,12.627,111454,23809,9635,5.28,13.047,125712
7,"Rangpur
Division",211518,85597,4.94,12.208,1044937,185796,75188,5.33,13.169,990115
61,Habigonj,883,357,4.11,10.150,3627,988,400,5.53,13.670,5466
62,Moulvibazar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
63,Sunamganj,2512,1017,2.05,5.066,5150,1339,542,3.07,7.585,4110
64,Sylhet,1303,527,1.55,3.298,1739,0,0,0.00,0.000,0
8,Sylhet Division,4698,1901,2.24,5.531,10516,2327,942,2.19,10.169,9576
BANGLADESH,,1852479,749658,4.63,11.440,8576087,1679096,679493,4.79,11.840,8045197
