Means of Irrigation,Irrigated area 2018-19,Irrigated area 2019-20,Percentage of increase/decrease,
,,,2018-2019,2019-20
Power Pump,3200,3318,(-)0.06%,(+)3.69%
Deep Tube-well,3059,3166,(-)0.75%,(+)3.50%
Shallow Tube-well,12189,12246,(+)2.19%,(+)0.47%
Hand Tube-well,31,29,(-)11.43%,(-)6.45%
Traditional,738,718,(-)0.40%,(-)2.71%
