Types,"Domestic
production","Total estimated
demand",Total sales,Import
1,2,3,4,5
Urea,12.00,28.18,25.33,13.75
TSP,0.45,4.75,1.61,3.00
MOP,-,4.00,0.82,2.35
SSP,-,,,
Gypsum,-,-,-,-
ASP,-,-,-,-
Zinc,-,-,-,-
DAP,0.28,2.50,0.18,0.18
NPKS,-,-,-,-
Total,12.73,29.43,27.42,19.28
