District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,0,442,454,0,0,0,495,500,350,495,500,350
2,Barishal,18,257,266,125,33,34,269,437,456,394,470,490
3,Bhola,6,262,258,37,18,16,360,419,410,397,437,426
4,Jhallokati,2,288,360,6,6,66,308,314,501,314,320,567
5,Patuakhali,0,225,314,0,0,0,342,345,415,342,345,415
6,Pirojpur,18,226,212,125,120,101,269,260,270,394,380,371
1,Barishal Division,44,1700,1864,293,177,217,2043,2275,2402,2336,2452,2619
7,Bandarban,8,170,170,29,29,29,402,407,397,431,436,426
8,Brahmanbaria,0,381,378,0,0,0,1141,1038,1050,1141,1038,1050
9,Chandpur,0,514,302,0,0,0,1088,1012,912,1088,1012,912
10,Chattogram,2,1512,1546,10,17,12,3439,3763,3660,3449,3780,3672
11,Cumilla,0,2064,1582,0,91,214,3212,3824,4211,3212,3915,4425
12,Cox’s Bazar,7,369,569,29,11,560,1345,1365,5250,1374,1376,5810
13,Feni,115,270,267,20,0,0,228,273,270,248,273,270
14,Khagrachari,66,440,431,31,31,32,656,666,705,687,697,737
15,Lakshmipur,0,466,457,0,396,76,547,161,484,547,557,560
16,Noakhali,452,472,487,0,0,0,983,741,767,983,741,767
17,Rangamati,44,510,508,161,378,402,1259,1272,1286,1420,1650,1688
2,"Chattogram
Division",694,7168,6698,280,953,1325,14300,14522,18992,14580,15475,20317
18,Dhaka,167,722,713,0,26,0,3343,1591,1601,3343,1617,1601
19,Faridpur,23,433,515,62,66,70,516,519,596,578,585,666
20,Gazipur,21,299,298,56,111,120,395,427,442,451,538,562
21,Gopalganj,4,624,520,13,113,0,633,529,454,646,642,454
22,Kishoreganj,291,477,474,3,0,0,1330,1491,1504,1333,1491,1504
23,Madaripur,1,759,419,75,0,0,2871,3175,3184,2946,3175,3184
24,Manikganj,77,330,326,54,54,54,621,615,632,675,669,686
25,Munshiganj,0,130,163,0,0,0,278,285,278,278,285,278
26,Narayanganj,80,178,174,13,12,12,362,362,366,375,374,378
27,Narsingdi,13,382,375,338,84,79,160,625,606,498,709,685
28,Rajbari,16,300,343,44,56,53,361,395,350,405,451,403
29,Shariatpur,0,1293,1262,0,0,0,1106,1134,1160,1106,1134,1160
30,Tangail,34,1314,1300,265,1049,1051,1929,1450,1500,2194,2499,2551
3,Dhaka Division,727,7241,6883,923,1571,1439,13905,12598,12673,14828,14169,14112
31,Bagerhat,27,733,711,114,107,62,703,1105,1234,817,1212,1296
32,Chuadanga,70,776,768,1772,438,1829,290,1626,299,2062,2064,2128
33,Jashore,189,1206,1167,2031,2098,1995,915,906,1003,2946,3004,2998
34,Jhenaidah,172,698,708,1219,1231,1229,646,616,642,1865,1847,1871
35,Khulna,85,586,578,214,158,158,736,855,855,950,1013,1013
36,Kushtia,58,1478,1508,631,720,715,1034,1142,1171,1665,1862,1886
37,Magura,27,656,668,427,433,7120,1401,1402,869,1828,1835,1579
38,Meherpur,66,330,429,421,403,411,90,806,712,511,1209,1123
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,57,487,483,334,650,640,820,611,617,1154,1261,1257
40,Satkhira,167,846,877,614,812,817,1204,1077,1523,1818,1889,2340
4,Khulna Division,918,7796,7894,7777,7050,8566,7839,10146,8925,15616,17196,17491
41,Jamalpur,19,936,899,353,485,0,2642,2004,2503,2995,2489,2503
42,Mymensingh,81,2126,2068,815,1201,1073,6352,4439,4680,7167,5640,5753
43,Netrokona,0,439,446,0,12,0,1105,1306,2543,1105,1318,2543
44,Sherpur,4,387,368,111,145,317,26012,27352,32399,26123,27497,32716
5,"Mymensingh
Division",104,3888,3781,1279,1843,1390,36111,35101,42125,37390,36944,43515
45,Bogura,20,1013,899,599,600,514,1781,1810,1604,2380,2410,2145
46,Joypurhat,5,490,495,59,72,73,1034,5198,1326,1093,5270,1399
47,Naogaon,158,532,649,315,381,812,876,925,1613,1191,1306,2425
48,Natore,38,833,830,743,1316,1123,2313,1332,12680,3056,2648,2803
49,Chapai Nawabganj,358,807,786,1760,1564,1420,372,1580,452,2132,3144,1872
50,Pabna,51,821,820,397,438,413,1238,1241,1267,1635,1679,1680
51,Rajshahi,478,2806,2332,6608,8535,7570,821,1020,1067,7429,9555,8637
52,Sirajganj,8,454,448,51,90,21,1387,5180,1296,1438,5270,1317
6,Rajshahi Division,1116,7756,7259,10532,12996,11973,9822,18286,10305,20354,31282,22278
53,Dinajpur,115,472,461,332,418,408,783,798,800,1115,1216,1208
54,Gaibandha,70,351,346,136,129,129,237,274,274,373,403,403
55,Kurigram,97,171,170,45,47,44,288,290,292,333,337,336
56,Lalmonirhat,30,200,198,37,42,42,128,185,188,165,227,230
57,Nilphamari,97,712,673,377,389,370,699,771,728,1076,1160,1098
58,Panchagar,76,152,152,70,75,172,355,355,301,425,430,473
59,Rangpur,37,337,335,209,168,181,337,383,385,546,551,566
60,Thakurgaon,28,144,143,28,30,31,395,469,476,423,499,507
7,Rangpur Divison,550,2539,2479,1234,1298,1377,3222,3525,3444,4456,4823,4821
61,Habiganj,0,194,191,0,23,0,659,641,659,659,664,659
62,Moulvibazar,5,397,389,84,19,86,1829,2687,1828,1913,2706,1914
63,Sunamganj,13,408,399,68,37,214,606,1173,910,674,1210,1124
64,Sylhet,121,676,669,79,112,56,1308,2118,2061,1387,2230,2117
8,Sylhet Division,139,1675,1647,231,191,356,4402,6619,5458,4633,6810,5814
BANGLADESH,,4292,39763,38506,22549,26079,26643,91644,103072,104324,114193,129151,130967
