2018-19,,2019-20,,"% Change over previous
year"
"Yield rate per acre
(Bales)","Yield rate per hector
(Bales)","Yield rate
per acre
(Bales)","Yield rate
per hector
(Bales)",
4.63,11.440,4.79,11.840,(+) 3.50
