District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,70,72,73,0,0,0,101,100,48,101,100,48
2,Barishal,220,225,223,0,0,0,306,347,355,306,347,355
3,Bhola,163,103,101,0,0,0,159,110,89,159,110,89
4,Jhallokati,70,220,195,0,0,0,102,170,191,102,170,191
5,Patuakhali,138,195,136,0,0,0,173,118,103,173,118,103
6,Pirojpur,84,62,66,0,0,0,124,79,82,124,79,82
1,Barishal Division,745,783,794,0,0,0,965,924,868,965,924,868
7,Bandarban,57,58,60,27,27,27,176,178,174,203,205,201
8,Brahmanbaria,89,78,77,0,0,0,290,238,237,290,238,237
9,Chandpur,163,175,172,0,0,0,270,302,302,270,302,302
10,Chattogram,178,177,179,0,0,0,584,545,560,584,545,560
11,Cumilla,227,242,309,0,0,0,650,612,855,650,612,855
12,Cox’s Bazar,83,79,87,0,0,0,271,280,280,271,280,280
13,Feni,129,134,132,0,0,0,63,195,195,63,195,195
14,Khagrachari,98,104,101,0,0,0,234,246,257,234,246,257
15,Lakshmipur,282,280,275,0,0,0,390,29,333,390,29,333
16,Noakhali,171,172,171,0,0,0,190,161,170,190,161,170
17,Rangamati,196,204,200,9,12,10,442,464,464,451,476,474
2,"Chattogram
Division",1673,1671,1763,36,39,37,3560,3250,3827,3596,3289,3864
18,Dhaka,54,278,66,0,0,0,133,203,192,133,203,192
19,Faridpur,55,58,58,0,0,0,113,45,45,113,45,45
20,Gazipur,93,94,95,12,55,11,142,276,242,254,331,253
21,Gopalganj,53,54,124,0,39,0,81,32,61,81,71,61
22,Kishoreganj,143,127,124,0,0,0,434,419,396,434,419,396
23,Madaripur,27,28,34,0,17,15,24,22,17,24,39,32
24,Manikganj,48,50,50,0,0,1,118,130,25,118,130,26
25,Munshiganj,46,46,46,0,0,0,89,28,90,89,28,90
26,Narayanganj,54,54,59,0,0,0,154,154,185,154,154,185
27,Narsingdi,63,64,63,115,0,0,536,132,128,651,132,128
28,Rajbari,21,29,38,0,42,0,25,24,26,25,66,26
29,Shariatpur,154,132,165,0,0,16,114,127,1,114,127,17
30,Tangail,275,282,267,0,0,0,509,521,527,509,521,527
3,Dhaka Division,1085,1092,1186,127,153,43,2472,2113,1935,2599,2266,1978
31,Bagerhat,131,234,218,0,36,0,48,0,244,48,36,244
32,Chuadanga,10,11,11,0,15,0,16,8,20,16,23,20
33,Jashore,85,87,88,0,0,0,139,141,141,139,141,141
34,Jhenaidah,12,15,19,0,0,0,15,18,24,15,18,24
35,Khulna,67,68,68,0,0,2,87,92,46,87,92,48
36,Kushtia,19,19,1,0,0,0,37,37,2,37,37,2
37,Magura,57,58,55,0,51,0,240,1,215,240,52,215
38,Meherpur,2,2,2,0,0,0,2,1,1,2,1,1
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,10,19,19,0,11,0,20,13,19,20,24,19
40,Satkhira,20,21,23,0,0,0,12,17,17,12,17,17
4,Khulna Division,414,526,503,0,113,2,616,328,729,616,441,731
41,Jamalpur,149,155,154,0,0,0,427,490,398,427,490,398
42,Mymensingh,372,432,414,0,0,0,773,626,1004,773,626,1004
43,Netrokona,61,62,85,0,0,0,151,150,546,151,150,546
44,Sherpur,105,112,112,0,0,0,282,226,493,282,226,493
5,"Mymensingh
Division",688,748,765,0,0,0,1633,1492,2441,1633,1492,2441
45,Bogura,73,74,72,0,0,0,215,213,212,215,213,212
46,Joypurhat,67,68,66,0,0,0,131,105,134,131,105,134
47,Naogaon,144,125,124,0,46,0,454,261,331,454,307,331
48,Natore,73,7,73,0,0,0,204,210,215,204,210,215
49,Chapai Nawabganj,0,6,7,0,0,0,0,8,9,0,8,9
50,Pabna,34,37,36,0,0,0,91,95,61,91,95,61
51,Rajshahi,52,54,58,0,0,0,240,247,277,240,247,277
52,Sirajganj,69,56,71,0,0,0,187,103,178,187,103,178
6,Rajshahi Division,512,469,506,0,46,0,1522,1242,1417,1522,1288,1417
53,Dinajpur,122,124,131,0,0,0,303,309,341,303,309,341
54,Gaibandha,92,94,97,0,13,13,163,167,181,163,180,194
55,Kurigram,566,58,60,0,0,0,101,104,141,101,104,141
56,Lalmonirhat,179,179,178,0,0,0,357,322,330,357,322,330
57,Nilphamari,149,135,136,0,0,0,437,330,335,437,330,335
58,Panchagar,66,67,67,0,0,0,173,203,229,173,203,229
59,Rangpur,74,78,77,0,0,0,171,188,199,171,188,199
60,Thakurgaon,68,59,58,0,0,0,390,431,437,390,431,437
7,Rangpur Divison,1315,1294,805,0,13,13,2095,2054,2193,2095,2067,2206
61,Habiganj,15,15,15,0,0,0,31,25,25,31,25,25
62,Moulvibazar,346,36,352,0,0,0,1083,958,958,1083,958,958
63,Sunamganj,146,149,146,0,0,0,260,263,262,260,263,262
64,Sylhet,241,231,227,41,39,50,319,277,268,360,316,318
8,Sylhet Division,748,574,740,41,39,50,1693,1523,1513,1734,1562,1563
BANGLADESH,,7181,7156,7062,204,403,145,14556,12926,14923,14760,13329,15068
