District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,666,701,814,754,840,747,1382,960,1127,2136,1800,1874
2,Barishal,978,1115,1116,1521,1521,1523,1368,1229,1267,2889,2750,2790
3,Bhola,5040,5336,5358,8773,8671,8987,4116,2106,6012,12889,10777,14999
4,Jhallokati,996,1052,1053,855,1282,1089,1306,1313,1113,2161,2595,2202
5,Patuakhali,701,737,720,746,746,1129,1199,1486,1466,1945,2232,2595
6,Pirojpur,2963,3201,3238,3154,3333,3881,3979,3200,3209,7133,6533,7090
1,Barishal Division,11345,12142,12299,15803,16393,17356,13350,10294,14194,29153,26687,31550
7,Bandarban,27,29,29,88,80,88,119,131,124,207,211,212
8,Brahmanbaria,120,218,218,8,9,10,570,1188,1188,578,1197,1198
9,Chandpur,599,566,566,646,1011,674,647,215,553,1293,1226,1227
10,Chattogram,1525,1506,1543,5192,6116,6612,5362,5731,4773,10554,11847,11385
11,Cumilla,257,263,263,190,582,582,1187,1011,1013,1377,1593,1595
12,Cox’s Bazar,2380,2421,2421,35339,48749,42513,3181,7330,13567,38520,56079,56080
13,Feni,1423,1536,1536,204,307,461,1756,1332,1179,1960,1639,1640
14,Khagrachari,79,83,83,40,41,41,219,264,265,259,305,306
15,Lakshmipur,47351,49639,49639,48633,49033,49032,840,84531,84532,49473,"13356
4","13356
4"
16,Noakhali,1498,1573,1573,325,491,491,2278,2931,3332,2603,3422,3823
17,Rangamati,195,0,209,183,176,527,365,424,146,548,600,673
2,"Chattogram
Division",55455,57834,58081,90848,"10659
5","10103
1",16524,"10508
8","11067
2","10737
2","21168
3","21170
3"
18,Dhaka,322,280,277,120,19,18,582,1056,877,702,1075,895
19,Faridpur,276,310,268,362,295,194,576,625,590,938,920,784
20,Gazipur,191,277,241,252,144,304,901,1088,1044,1153,1232,1348
21,Gopalganj,223,264,241,759,652,149,1632,1760,466,2391,2412,615
22,Kishoreganj,752,482,495,184,161,167,859,1230,1084,1043,1391,1251
23,Madaripur,240,252,252,56,56,33,553,531,498,609,587,531
24,Manikganj,130,140,200,156,93,149,325,193,274,481,286,423
25,Munshiganj,35,31,30,0,0,0,159,161,212,159,161,212
26,Narayanganj,77,76,76,16,21,20,135,139,127,151,160,147
27,Narsingdi,70,74,74,8,8,7,372,380,321,380,388,328
28,Rajbari,588,625,674,1162,447,1876,802,1557,161,1964,2004,2037
29,Shariatpur,252,141,365,427,89,735,408,921,336,835,1010,1071
30,Tangail,639,665,670,435,478,476,1425,1568,1571,1860,2046,2047
3,Dhaka Division,3796,3617,3863,3937,2463,4128,8729,11209,7561,12666,13672,11689
31,Bagerhat,3933,4644,4727,3625,2694,3432,546,1653,4515,4171,4347,7947
32,Chuadanga,83,89,89,86,87,218,22,29,98,108,116,316
33,Jashore,501,530,536,600,602,990,658,589,400,1258,1191,1390
34,Jhenaidah,170,181,183,97,67,67,448,482,503,545,549,570
