District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,1580,1497,1476,0,0,0,4148,1103,821,1039,1103,821
2,Barishal,1592,1531,1593,0,0,0,1433,1900,1950,2811,1900,1950
3,Bhola,1278,1084,1070,0,0,0,0,1400,959,683,1400,959
4,Jhallokati,1014,940,975,0,0,0,775,893,887,953,893,887
5,Patuakhali,1912,1838,1888,0,0,0,3693,585,2595,629,585,2595
6,Pirojpur,2440,2303,2177,0,0,0,4395,2700,2450,3071,2700,2450
1,Barishal Division,9816,9193,9180,0,0,0,14444,8581,9662,9186,8581,9662
7,Bandarban,13,0,0,0,0,0,0,9,0,9,9,0
8,Brahmanbaria,54,51,50,0,0,0,0,127,112,131,127,112
9,Chandpur,1403,1363,1416,0,0,0,0,4277,3948,4488,4277,3948
10,Chattogram,1114,1097,1029,0,0,0,0,2798,2862,2838,2798,2862
11,Cumilla,490,471,443,0,0,0,0,875,586,875,875,600
12,Cox’s Bazar,117,113,72,0,0,0,0,396,343,396,396,343
13,Feni,963,914,866,0,2,0,0,1105,1092,1142,1107,1094
14,Khagrachari,105,105,109,0,0,0,0,390,414,375,390,414
15,Lakshmipur,1686,1621,1521,0,0,395,0,4689,3789,4692,4689,4184
16,Noakhali,917,843,703,0,0,0,0,2018,1593,145,2018,1593
17,Rangamati,227,226,236,4,30,23,6,172,270,121,202,293
2,"Chattogram
Division",7090,6804,6445,4,32,434,6,16856,15009,15212,16888,154453
18,Dhaka,134,74,79,0,0,0,144,333,69,565,333,69
19,Faridpur,2609,2260,2273,52,419,396,2133,4252,3913,6027,4671,4309
20,Gazipur,540,513,535,0,83,77,827,1460,1335,1692,1543,1412
21,Gopalganj,2654,2551,2348,1407,49,35,12767,2774,1992,2588,2823,2027
22,Kishoreganj,86,80,84,0,0,0,116,48,48,32,48,48
23,Madaripur,2872,2680,2681,0,0,0,10127,5755,5833,5303,5755,5833
24,Manikganj,1086,1039,1075,0,204,199,206,50,2328,2356,254,2527
25,Munshiganj,218,137,139,0,0,0,21,557,375,1093,557,375
26,Narayanganj,84,80,81,0,0,0,45,280,267,289,280,267
27,Narsingdi,136,122,127,0,0,0,0,295,295,3534,295,295
28,Rajbari,1004,1417,10772,3,220,3,716,178,3537,3432,398,3540
29,Shariatpur,1512,1295,1192,0,22,1253,1201,1388,51,3145,1410,1304
30,Tangail,720,650,676,0,103,104,0,1889,1888,1591,1992,1992
3,Dhaka Division,13654,12898,22061,1462,1100,2067,28303,19259,21931,31647,20359,23998
31,Bagerhat,1926,1850,2069,13,0,160,4540,1838,1990,4101,1838,2150
32,Chuadanga,1344,1299,1347,26,2100,1995,850,3778,3308,9720,5878,5303
33,Jashore,4969,4029,5060,89,5950,6063,2700,6744,6257,8427,12694,12320
34,Jhenaidah,4466,4368,4427,346,2960,1754,1720,8938,8413,8870,11898,10167
35,Khulna,2046,1672,1476,0,137,177,1551,2783,2437,3727,2920,2614
36,Kushtia,1451,1161,1593,28,1605,236,632,2269,3394,8386,3874,3630
37,Magura,1140,1056,1001,0,96,0,2072,1401,1728,1737,1497,1728
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,170,165,163,0,0,0,289,304,279,286,304,279
39,Narail,989,941,994,1296,0,160,13093,981,838,978,981,998
40,Satkhira,3760,3585,3280,122,3420,811,6476,12905,3515,16326,16325,4326
4,Khulna Division,22263,20126,21726,1920,16268,11356,33923,41941,32159,62558,58209,43515
41,Jamalpur,101,99,50,0,0,0,0,84,103,81,84,103
42,Mymensingh,2028,1971,2116,0,0,0,0,4902,2751,3739,4902,2751
43,Netrokona,0,0,8,0,0,0,5,0,10,0,0,10
44,Sherpur,92,35,39,0,0,0,32,102,717,371,102,717
5,"Mymensingh
Division",2221,2105,2213,0,0,0,37,5088,3581,4191,5088,3581
45,Bogura,1555,1498,1559,0,0,0,575,5178,5195,5176,5178,5195
46,Joypurhat,288,277,332,0,0,0,179,1334,1467,1334,1334,1467
47,Naogaon,1569,1412,1588,0,0,0,2536,3688,3677,3601,3688,3677
48,Natore,4040,3902,4059,0,1497,1481,2149,20453,20581,24274,21950,22062
49,Chapai Nawabganj,136,153,172,0,0,0,618,477,502,356,477,502
50,Pabna,1646,650,1647,0,0,198,393,3130,2568,3078,3130,2766
51,Rajshahi,3155,2975,3031,0,466,495,4277,17752,18218,17793,18218,18713
52,Sirajganj,189,183,144,0,0,119,22,602,300,656,602,419
6,Rajshahi Division,12578,11050,12532,0,1963,2293,10749,52614,52508,56268,54577,54801
53,Dinajpur,390,378,376,0,0,0,182,427,430,449,427,430
54,Gaibandha,142,136,139,0,0,28,24,213,181,241,213,209
55,Kurigram,178,172,179,0,0,0,3,327,327,326,327,327
56,Lalmonirhat,51,50,50,0,0,0,0,350,153,334,350,153
57,Nilphamari,61,61,63,0,0,0,9,140,147,100,140,147
58,Panchagar,0,30,25,0,0,0,2,19,15,0,19,15
59,Rangpur,216,211,221,0,0,0,130,389,380,308,389,380
60,Tahkurgaon,33,39,40,7,0,0,11,83,85,45,83,85
7,Rangpur Division,1071,1077,1094,7,0,28,361,1948,1718,1803,1948,1746
61,Habigonj,0,0,0,0,0,0,0,0,0,0,0,0
62,Moulvibazar,0,0,0,0,0,0,0,0,0,0,0,0
63,Sunamganj,0,0,0,0,0,0,0,0,0,0,0,0
64,Sylhet,0,8,9,0,0,0,0,1,1,0,1,1
8,Sylhet Division,0,8,9,0,0,0,0,1,1,0,1,1
BANGLADESH,,68693,63261,75260,3393,19363,16178,87823,146288,136569,180865,165651,152747
