District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,81853,33124,28.22,2.603,86222,71723,29025,25.41,2.344,68028
2,Barishal,112502,45527,28.01,2.584,117625,116890,47303,25.67,2.368,112003
3,Bhola,307044,124254,29.19,2.692,334551,285434,115509,28.15,2.597,299924
4,Jhalokathi,23297,9428,28.03,2.585,24375,24105,9755,29.25,2.698,26318
5,Patuakhali,208931,84550,29.01,2.676,226244,206300,83485,30.91,2.851,238027
6,Pirojpur,24128,9764,29.02,2.677,26136,23755,9613,29.35,2.707,26025
1,"Barishal
Division",757755,306647,28.82,2.658,815154,728207,294689,28.34,2.614,770326
7,Bandarban,23890,9668,29.07,2.681,25923,24888,10072,30.30,2.795,28149
8,Brahmanbaria,103117,41729,30.49,2.812,117359,117883,47705,31.98,2.950,140720
9,Chandpur,51458,20824,27.37,2.525,52572,46037,18630,28.97,2.672,49783
10,Chattogram,356317,144194,29.83,2.752,396750,354609,143502,27.81,2.565,368110
11,Cumilla,241577,97761,29.66,2.736,267458,233349,94431,27.16,2.505,236572
12,Cox’s Bazar,171584,69436,29.72,2.741,190350,191072,77323,30.45,2.809,217176
13,Feni,135780,54947,29.82,2.751,151137,143447,58050,28.66,2.644,153460
14,Khagrachari,62355,25234,30.18,2.784,70245,63208,25579,32.67,3.013,77081
15,Laxmipur,157984,63933,29.43,2.715,173552,149826,60631,29.84,2.752,166883
16,Noakhali,232008,93889,29.31,2.704,253832,242008,97935,29.91,2.759,270193
17,Rangamati,23038,9323,29.05,2.68,24981,23092,9345,31.83,2.936,27436
2,"Chattogram
Division",1559108,630937,29.63,2.733,1724159,1589419,643203,29.25,2.698,1735564
18,Dhaka,4277,1731,32.59,3.006,5203,14655,5931,33.03,3.047,18068
19,Faridpur,156058,63153,31.38,2.894,182796,161681,65429,32.00,2.952,193124
20,Gazipur,92096,37269,31.14,2.872,107050,96564,39077,30.58,2.821,110225
21,Gopalgonj,15450,6252,29.24,2.697,16863,37610,15220,28.98,2.673,40685
22,Kishoregonj,162711,65846,31.05,2.864,188584,159799,64667,32.65,3.012,194753
23,Madaripur,15331,6204,29.56,2.727,16916,15371,6220,30.20,2.786,17327
24,Manikgonj,17519,7090,29.07,2.681,19010,19788,8008,29.26,2.699,21612
25,Munsigonj,987,399,30.03,2.77,1106,1178,477,27.25,2.514,1198
26,Narayangonj,5741,2323,29.01,2.676,6217,4426,1791,29.39,2.711,4856
27,Narsingdi,75941,30732,30.7,2.832,87025,82239,33280,32.97,3.041,101211
28,Rajbari,112968,45716,31.3,2.887,131986,104067,42114,25.94,2.393,100765
29,Shariatpur,3393,1373,29.4,2.712,3724,4301,1741,31.41,2.897,5043
30,Tangail,158557,64165,31.09,2.868,184007,172205,69688,29.32,2.704,188468
3,"Dhaka
Division",821029,332253,31.01,2.861,950486,873884,353642,30.57,2.820,997335
31,Bagerhat,74359,30091,28.5,2.629,79105,87342,35345,32.32,2.981,105371
32,Chuadanga,79879,32325,29.94,2.762,89271,81295,32898,28.12,2.594,85331
33,Jashore,308443,124820,31.47,2.903,362326,322179,130379,34.04,3.140,409368
34,Jhenaidah,244731,99037,30.88,2.848,282094,252018,101986,32.55,3.002,306203
35,Khulna,169961,68779,28.15,2.597,178589,173335,70145,31.97,2.949,206850
36,Kushtia,206012,83369,31.19,2.877,239847,214914,86971,34.23,3.157,274599
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
37,Magura,138785,56163,29.39,2.711,152254,140365,56803,31.80,2.933,166615
38,Meherpur,62560,25317,29.77,2.746,69519,63458,25680,29.43,2.715,69711
39,Narail,67526,27326,28.01,2.584,70601,79924,32343,30.24,2.789,90217
40,Satkhira,206601,83607,31.05,2.864,239454,213696,86478,32.07,2.958,255813
4,"Khulna
Division",1558857,630835,30.3,2.795,1763060,1628526,659029,32.41,2.989,1970078
41,Jamalpur,197590,79960,28.45,2.624,209833,208455,84357,27.71,2.556,215614
42,Mymensingh,542824,219669,28.06,2.588,568557,543761,220048,28.72,2.649,582935
43,Netrokona,227184,91936,28.08,2.59,238123,258120,104456,29.79,2.748,287025
44,Sherpur,146129,59135,28.89,2.665,157584,141072,57089,29.35,2.707,154553
5,"Mymensingh
Division",1113727,450701,28.24,2.605,1174097,1151408,465950,28.85,2.662,1240125
45,Bogura,421003,170371,29.26,2.699,459819,430299,174133,29.68,2.738,476718
46,Joypurhat,185890,75226,31.25,2.882,216837,185876,75220,30.86,2.847,214115
47,Naogaon,340790,137910,31.31,2.888,398288,409502,165716,31.37,2.894,479510
48,Natore,146241,59181,30.18,2.784,164746,141914,57429,30.62,2.824,162203
49,"Chapai
Nawabganj",123079,49807,29.83,2.752,137045,123079,49807,28.51,2.630,130981
50,Pabna,118159,47816,32.75,3.021,144446,121590,49205,33.37,3.078,151454
51,Rajshahi,176713,71512,29.55,2.726,194919,178883,72390,30.29,2.794,202253
52,Sirajganj,159814,64673,29.19,2.692,174131,167277,67693,31.33,2.890,195625
6,"Rajshahi
Division",1671689,676496,30.29,2.794,1890231,1758420,711594,30.67,2.829,2012859
53,Dinajpur,634723,256858,32.24,2.974,763847,678573,274604,30.94,2.854,783690
54,Gaibandha,284646,115190,31.53,2.908,335009,266678,107919,31.35,2.892,312070
55,Kurigram,243625,98590,31.52,2.907,286639,236059,95528,32.15,2.966,283288
56,Lalmonirhat,205932,83336,31.08,2.867,238909,203120,82198,31.57,2.912,239362
57,Nilphamari,276380,111845,32.75,3.021,337867,217230,87908,30.01,2.768,243340
58,Panchagarh,235134,95154,32.35,2.984,283934,213802,86521,32.22,2.972,257137
59,Rangpur,405910,164263,32.18,2.969,487637,404160,163555,33.48,3.088,505087
60,Thakurgaon,329929,133515,31.17,2.875,383870,319735,129390,31.37,2.894,374397
7,"Rangpur
Division",2616279,1058751,31.92,2.945,3117712,2539357,1027622,25.76,2.918,2998370
61,Habiganj,180554,73066,31.89,2.942,214926,185476,75058,32.16,2.966,222654
62,Moulvibazar,250877,101524,31.65,2.919,296389,247370,100105,30.41,2.805,280796
63,Sunamganj,141554,57284,31.84,2.937,168237,156961,63519,33.92,3.129,198735
64,Sylhet,228679,92541,31.87,2.94,272042,234501,94897,32.10,2.961,280981
"8 Sylhet
Division
Bangladesh",,"801664
10900108","324416
4411035","31.8
30.44","2.933
2.808","951594
12386495","824308
11093529","333579
4489308","31.95
30.69","2.947
2.831","983166
12707824"
