District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,131780,53328,24.92,2.298,122564,94100,38080,27.09,2.499,95152
2,Barishal,53796,21770,19.04,1.757,38239,36159,14633,15.19,1.401,20507
3,Bhola,209401,84740,22.02,2.031,172102,180929,73218,23.71,2.187,160144
4,Jhallokati,34909,14127,26.31,2.426,34279,26600,10764,30.89,2.849,30672
5,Patuakhali,75057,30374,24.14,2.226,67620,63604,25739,21.69,2.001,51492
6,Pirojpur,42670,17268,24.72,2.280,39368,32504,13154,24.29,2.240,29466
1,"Barishal
Division",547613,221607,23.20,2.140,474172,433896,175588,23.92,2.206,387433
7,Bandarban,31498,12747,20.13,1.857,23672,30419,12310,19.85,1.831,22540
8,Brahmanbaria,21312,8624,26.39,2.434,20992,27849,11270,26.12,2.410,27157
9,Chandpur,24152,9774,29.16,2.689,26286,21009,8502,25.33,2.337,19866
10,Chattogram,89102,36058,29.34,2.706,97581,82059,33207,28.57,2.636,87523
11,Cumilla,175597,71060,29.20,2.693,191367,180885,73200,28.05,2.587,189367
12,Cox’s Bazar,7861,3181,30.50,2.813,8950,4508,1824,28.99,2.674,4878
13,Feni,29258,11840,25.73,2.373,28102,26313,10648,26.50,2.444,26024
14,Khagrachari,9952,4027,25.75,2.376,9567,7914,3203,26.23,2.419,7748
15,Lakshmipur,68036,27533,26.49,2.444,67283,44850,18150,26.91,2.482,45051
16,Noakhali,95096,38483,24.88,2.295,88331,88433,35787,24.24,2.236,80022
17,Rangamati,15814,6400,16.57,1.528,9781,14365,5813,15.58,1.437,8356
2,"Chattogram
Division",567678,229727,26.99,2.490,571912,528603,213914,26.28,2.424,518533
18,Dhaka,1201,486,24.50,2.260,1098,1583,641,25.41,2.344,1502
19,Faridpur,30377,12293,14.00,1.291,15869,21606,8743,13.63,1.257,10990
20,Gazipur,3293,1333,31.84,2.937,3914,5396,2184,31.91,2.943,6427
21,Gopalganj,7588,3071,16.82,1.552,4765,7796,3155,15.20,1.402,4424
22,Kishoreganj,32770,13261,27.95,2.578,34193,54364,22000,29.07,2.682,58994
23,Madaripur,3465,1402,13.98,1.290,1808,3316,1342,17.77,1.640,2200
24,Manikganj,4529,1833,18.65,1.721,3153,5951,2408,17.99,1.660,3997
25,Munshiganj,306,124,30.70,2.832,351,453,183,26.83,2.474,454
26,Narayanganj,2965,1200,15.42,1.422,1707,4608,1865,26.07,2.405,4484
27,Narsingdi,1174,475,29.24,2.697,1281,1858,752,27.96,2.579,1939
28,Rajbari,3096,1253,14.13,1.303,1633,4493,1818,19.20,1.771,3221
29,Shariatpur,21406,8663,18.38,1.695,14686,29030,11748,15.30,1.411,16578
30,Tangail,2210,894,18.41,1.698,1519,1860,753,26.34,2.429,1828
3,Dhaka Division,114380,46287,20.14,1.857,85977,142314,57592,22.03,2.032,117016
31,Bagerhat,11669,4722,26.75,2.467,11650,12748,5159,29.17,2.690,13879
32,Chuadanga,93348,37776,31.45,2.901,109585,96922,39222,29.04,2.678,105055
33,Jashore,48075,19455,27.63,2.548,49574,43119,17449,32.34,2.983,52054
34,Jhenaidah,76044,30773,28.73,2.650,81538,75694,30632,33.27,3.069,93996
35,Khulna,6924,2802,15.38,1.418,3974,9546,3863,18.74,1.729,6677
36,Kushtia,74658,30212,28.41,2.620,79165,66222,26799,29.14,2.688,72030
37,Magura,6593,2668,25.58,2.360,6296,7651,3096,23.49,2.167,6709
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
38,Meherpur,35138,14220,32.15,2.966,42168,37820,15305,33.95,3.132,47928
39,Narail,13374,5412,19.27,1.777,9619,15868,6421,17.96,1.656,10636
40,Satkhira,15318,6199,28.66,2.644,16387,16556,6700,30.67,2.829,18954
4,"Khulna
Division",381141,154239,28.82,2.658,409957,382146,154646,29.52,2.723,421142
41,Jamalpur,6545,2649,25.27,2.331,6174,4290,1736,24.50,2.260,3924
42,Mymensingh,38610,15625,28.94,2.669,41708,34571,13990,26.61,2.454,34338
43,Netrokona,1525,617,29.10,2.684,1657,1404,568,25.22,2.326,1322
44,Sherpur,6604,2672,27.71,2.556,6831,8291,3355,24.41,2.252,7555
5,"Mymensingh
Division",53284,21563,28.34,2.614,56370,48556,19649,26.01,2.399,47138
45,Bogura,49995,20232,30.75,2.836,57385,66686,26986,27.38,2.526,68154
46,Joypurhat,423,171,29.82,2.751,471,463,187,27.83,2.567,481
47,Naogaon,152254,61614,31.61,2.916,179648,152617,61761,31.37,2.894,178708
48,Natore,18306,7408,26.41,2.436,18043,20621,8345,29.20,2.693,22475
49,"Chapai
Nawabganj",128535,52015,28.85,2.661,138418,94915,38410,28.89,2.665,102365
50,Pabna,38584,15614,23.48,2.166,33819,46487,18812,21.40,1.974,37135
51,Rajshahi,115102,46579,30.71,2.833,131950,116870,47295,30.80,2.841,134357
52,Sirajganj,14707,5952,22.86,2.109,12552,20788,8412,26.51,2.446,20574
6,"Rajshahi
Division",517906,209585,29.60,2.731,572285,519447,210209,29.10,2.684,564250
53,Dinajpur,17084,6914,31.87,2.940,20324,17023,6889,26.44,2.439,16801
54,Gaibandha,5948,2407,27.73,2.558,6157,18451,7467,24.52,2.262,16889
55,Kurigram,4018,1626,24.61,2.270,3692,8914,3607,25.09,2.314,8347
56,Lalmonirhat,11990,4852,31.58,2.913,14134,27244,11025,27.50,2.537,27966
57,Nilphamari,1010,409,29.61,2.731,1116,2941,1190,25.21,2.325,2768
58,Panchagar,932,377,30.16,2.782,1049,4930,1995,28.45,2.625,5236
59,Rangpur,40313,16314,31.31,2.888,47115,46442,18794,29.03,2.678,50325
60,Thakurgaon,37342,15111,31.72,2.926,44214,36260,14674,32.13,2.964,43488
7,"Rangpur
Divison",118637,48010,31.12,2.870,137799,162205,65641,28.38,2.618,171818
61,Habiganj,110953,44900,29.43,2.714,121870,115473,46729,26.87,2.478,115798
62,Moulvibazar,140169,56723,29.43,2.715,153990,138985,56244,32.72,3.018,169741
63,Sunamganj,34241,13857,27.13,2.503,34677,47081,19053,25.70,2.371,45169
64,Sylhet,145374,58830,28.83,2.660,156469,187614,75923,28.18,2.599,197358
8,"Sylhet
Division",430737,174310,29.05,2.679,467006,489153,197950,28.92,2.668,528065
Bangladesh,,2731376,1105328,27.22,2.511,2775478,2706320,1095188,27.28,2.516,2755396
