District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,0,0,0,0,0,0,0,0,0,0,0,0
2,Barishal,1,11,13,0,0,0,29,10,12,29,10,21
3,Bhola,0,0,0,0,0,0,0,0,0,0,0,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,0,0,0,0,0,0,0,0,0,0,0,0
1,Barishal Division,1,11,13,0,0,0,29,10,12,29,10,12
7,Bandarban,0,0,30,0,0,0,6,7,25,6,7,25
8,Brahmanbaria,17,56,45,0,0,0,61,226,222,61,226,222
9,Chandpur,2,0,23,0,0,0,8,9,10,8,9,10
10,Chattogram,6,33,32,0,0,0,71,125,126,71,125,126
11,Cumilla,5,16,48,0,0,0,52,74,76,52,74,76
12,Cox’s Bazar,4,11,32,0,0,0,72,75,70,72,75,70
13,Feni,4,11,18,4,0,15,7,71,52,11,71,67
14,Khagrachari,4,18,18,0,0,0,92,99,94,92,99,94
15,Lakshmipur,3,0,8,0,0,0,20,21,18,20,21,18
16,Noakhali,10,29,7,0,0,0,89,88,98,89,88,98
17,Rangamati,29,838,882,0,0,0,637,672,637,637,672,637
2,"Chattogram
Division",84,1012,1143,4,0,15,1115,1467,1428,1119,1467,1443
18,Dhaka,8,19,19,0,0,0,99,101,180,99,101,180
19,Faridpur,16,215,215,0,0,0,231,242,242,231,242,242
20,Gazipur,22,57,57,0,0,0,319,197,209,319,197,209
21,Gopalganj,22,30,51,0,0,0,570,519,230,570,519,230
22,Kishoreganj,15,215,200,0,0,0,176,242,174,176,242,174
23,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0
24,Manikganj,6,1,41,0,0,0,70,35,75,70,35,75
25,Munshiganj,0,5,5,0,0,0,0,12,12,0,12,12
26,Narayanganj,3,10,9,0,0,0,42,30,65,42,30,65
27,Narsingdi,19,43,37,0,0,0,292,242,244,292,242,244
28,Rajbari,30,263,250,0,220,92,461,359,400,461,579,492
29,Shariatpur,4,15,13,0,106,0,162,75,136,162,181,136
30,Tangail,24,334,420,0,0,0,333,250,270,333,250,270
3,Dhaka Division,169,1207,1317,0,326,92,2755,2304,2237,2755,2630,2329
31,Bagerhat,27,70,33,0,0,0,246,294,275,246,294,275
32,Chuadanga,13,10736,6632,0,13,91,307,197,190,307,210,281
33,Jashore,35,140,172,0,0,0,836,847,859,836,847,859
34,Jhenaidah,39,72,101,0,0,0,783,719,589,783,719,589
35,Khulna,28,70,107,0,0,0,394,392,237,394,392,237
36,Kushtia,112,200,261,0,0,0,3517,3540,3423,3517,3540,3423
37,Magura,28,151,250,0,0,0,738,811,827,738,811,827
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,17,21,36,0,0,0,315,327,386,315,327,386
39,Narail,19,86,104,0,167,0,541,367,555,541,534,555
40,Satkhira,25,4,299,0,0,98,5715,585,370,5715,585,468
4,Khulna Division,342,11550,7995,0,180,189,13392,8079,7711,13392,8259,7900
41,Jamalpur,24,228,402,0,0,0,615,478,538,615,478,538
42,Mymensingh,44,652,838,0,15,0,1022,1833,1074,1022,1848,1074
43,Netrokona,5,0,58,0,0,0,181,212,223,181,212,223
44,Sherpur,21,38,192,0,0,0,368,346,387,368,346,387
5,"Mymensingh
Division",94,918,1490,0,15,0,2186,2869,2222,2186,2884,2222
45,Bogura,94,617,617,0,0,0,2121,1885,2099,2121,1885,2099
46,Joypurhat,20,68,54,0,0,0,470,501,528,470,501,528
47,Naogaon,64,189,507,0,0,0,179,2072,2144,179,2072,2144
48,Natore,40,85,165,0,0,0,1362,1378,920,1362,1378,920
49,Chapai Nawabganj,42,115,123,0,0,0,515,594,653,515,594,653
50,Pabna,47,193,150,0,0,122,1011,945,552,1011,945,674
51,Rajshahi,110,442,478,0,0,0,2228,2295,2562,2228,2295,2562
52,Sirajganj,7,14,15,0,0,0,124,141,144,124,141,144
6,Rajshahi Division,424,1723,2109,0,0,122,8010,9811,9602,8010,9811,9724
53,Dinajpur,42,119,135,0,0,0,713,755,712,713,755,712
54,Gaibandha,115,158,161,0,0,0,639,678,898,639,678,898
55,Kurigram,19,40,40,0,0,0,370,369,415,370,369,415
56,Lalmonirhat,12,39,56,0,0,0,249,255,292,249,255,292
57,Nilphamari,28,54,56,0,0,0,402,8,425,402,8,425
58,Panchagar,20,59,59,0,0,0,360,400,450,360,400,450
59,Rangpur,34,44,44,0,0,0,783,781,812,783,781,812
60,Thakurgaon,10,22,21,0,0,0,190,204,216,190,204,216
7,Rangpur Divison,280,535,572,0,0,0,3706,3450,4220,3706,3450,4220
61,Habiganj,2,1,1,0,0,0,62,60,48,62,60,48
62,Moulvibazar,1,3,4,0,0,0,23,23,28,23,23,28
63,Sunamganj,8,6,7,0,0,0,125,121,114,125,121,114
64,Sylhet,4,1,10,0,0,0,30,30,33,30,30,33
8,Sylhet Division,15,11,22,0,0,0,240,234,223,240,234,223
BANGLADESH,,1409,16967,14661,4,521,418,31433,28224,27655,31437,28745,28073
