District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,42,993,998,716,446,941,1692,3455,2854,2408,3901,3795
2,Barishal,10,1195,980,113,120,276,3121,3120,6670,3234,3240,6946
3,Bhola,0,377,457,0,604,69,1148,649,2797,1148,1253,2866
4,Jhallokati,11,370,367,39,40,45,808,888,974,847,928,1019
5,Patuakhali,0,1544,1030,0,0,0,2624,2227,8500,2624,2227,8500
6,Pirojpur,22,541,567,297,315,538,1106,1162,1913,1403,1477,2451
1,Barishal Division,85,5020,4399,1165,1525,1869,10499,11501,23708,11664,13026,25577
7,Bandarban,153,153,53,1190,1115,1260,534,529,900,1724,1644,2160
8,Brahmanbaria,3,12,38,121,182,175,1052,1175,1173,1173,1357,1348
9,Chandpur,0,0,172,0,180,106,2628,2633,2618,2628,2813,2724
10,Chattogram,41,2090,1210,490,494,214,3377,3368,3577,3867,3862,3791
11,Cumilla,1,1,414,198,220,511,1817,1891,1546,2015,2111,2057
12,Cox’s Bazar,35,34,74,550,550,1248,1259,1259,1266,1809,1809,2514
13,Feni,0,95,98,0,100,115,542,442,473,542,542,588
14,Khagrachari,123,264,297,621,643,992,1487,1466,1856,2108,2109,2848
15,Lakshmipur,0,0,0,0,0,0,3112,3114,3048,3112,3114,3048
16,Noakhali,0,221,220,0,0,0,1628,1314,1314,1628,1314,1314
17,Rangamati,215,403,479,3495,4650,5405,2250,3117,3402,5745,7767,8807
2,"Chattogram
Division",571,3273,3055,6665,8134,10026,19686,20308,21173,26351,28442,31199
18,Dhaka,49,111,113,592,894,1178,2198,1430,1884,2790,2324,3062
19,Faridpur,60,475,475,1336,156,642,2526,3345,3850,3862,3501,4492
20,Gazipur,246,3908,2908,2717,2717,4416,1270,1270,1679,3987,3987,6095
21,Gopalganj,3,431,518,161,1072,0,1522,5289,2227,1683,6361,2227
22,Kishoreganj,40,190,85,1744,2964,2540,1484,2962,2270,3228,5926,4810
23,Madaripur,61,61,300,163,163,271,2550,2550,2389,2713,2713,2660
