District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,5087,2689,2594,0,0,0,635,0,821,0,0,821
2,Barishal,2104,2266,2377,0,0,0,896,58,1950,896,896,1950
3,Bhola,963,2070,1763,1,0,0,546,5,959,547,547,959
4,Jhallokati,676,533,633,0,0,0,340,13,887,340,340,887
5,Patuakhali,4067,4356,4420,0,0,0,1413,8,2595,1413,1413,2595
6,Pirojpur,2032,2188,1008,6,0,0,457,4,2450,463,463,2450
1,Barishal Division,14929,14102,12795,7,0,0,4287,88,9662,4294,4294,9662
7,Bandarban,13,14,30,0,0,0,6,1,0,6,6,0
8,Brahmanbaria,43,30,15,0,0,0,63,29,112,63,63,112
9,Chandpur,1279,0,145,0,0,0,1177,9,3948,1177,1177,3948
10,Chattogram,1597,0,280,0,0,0,1210,9,2862,1210,1210,2862
11,Cumilla,700,0,150,0,16,78,1133,9,586,1133,1133,600
12,Cox’s Bazar,102,110,115,4,0,0,86,0,343,90,90,343
13,Feni,1198,252,153,0,0,0,345,2,1092,345,345,1094
14,Khagrachari,91,104,66,0,0,0,124,2,414,124,124,414
15,Lakshmipur,1834,4,19,0,0,0,598,0,3789,598,598,4184
16,Noakhali,1229,170,161,0,0,0,481,6,1593,481,248,1593
17,Rangamati,200,221,196,17,0,188,212,225,270,229,229,293
2,"Chattogram
Division",8286,905,1300,21,16,266,5435,292,15009,5456,5223,15443
18,Dhaka,343,24,28,0,0,0,178,20,69,178,178,69
19,Faridpur,2724,403,410,98,0,156,1067,51,3913,1165,1165,4309
20,Gazipur,563,87,92,129,0,350,437,16,1335,566,566,1412
21,Gopalganj,2006,484,452,47,0,0,951,65,1992,998,998,2027
22,Kishoreganj,131,7,23,0,0,0,63,19,48,63,63,48
23,Madaripur,4147,1144,1201,27,0,0,2017,161,5833,2044,2044,5833
24,Manikganj,1025,414,541,0,0,0,469,117,2328,469,469,2527
25,Munshiganj,220,24,32,0,0,0,704,193,375,704,704,375
26,Narayanganj,432,50,49,0,0,0,302,30,267,302,302,267
27,Narsingdi,112,16,20,0,0,221,101,39,295,101,101,295
28,Rajbari,4717,142,142,0,4,9,592,15,3537,592,592,3540
29,Shariatpur,1277,22,65,20,0,0,538,11,51,558,558,1304
30,Tangail,895,18,30,16,0,431,397,127,1888,413,413,1992
3,Dhaka Division,18592,2835,3085,337,4,1167,7816,864,21931,8153,8153,23998
31,Bagerhat,3215,190,198,0,0,0,341,0,1990,341,341,2150
32,Chuadanga,1224,151,151,355,0,567,608,5,3308,963,963,5303
33,Jashore,3902,122,122,865,0,593,500,120,6257,1365,1365,12320
34,Jhenaidah,3532,36,36,194,0,325,1186,46,8413,1380,1380,10167
35,Khulna,1975,36,55,10,0,6,613,7,2437,623,623,2614
36,Kushtia,12138,120,113,44,0,49,786,26,3394,830,830,3630
37,Magura,903,0,70,0,0,0,619,0,1728,619,619,1728
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,148,0,35,0,0,0,59,8,279,59,59,279
39,Narail,1093,804,800,56,4,0,1260,5,838,1316,1316,998
40,Satkhira,4137,234,230,229,0,88,516,0,3515,745,745,4326
4,Khulna Division,32268,1693,1860,1753,4,1628,6488,217,32159,8241,8241,43515
41,Jamalpur,171,185,219,0,0,0,137,11,103,137,137,103
42,Mymensingh,2786,2458,2410,54,0,1552,2213,8,2751,2267,2267,2751
43,Netrokona,88,44,1,0,0,0,86,24,10,86,86,10
44,Sherpur,56,49,5,0,0,0,17,3,717,17,17,717
5,"Mymensingh
Division",3101,2707,2635,54,0,1552,2453,46,3581,2507,2507,3581
