Name,2017-18,,2018-19,,2019-20,
,Area,Production,Area,Production,Area,Production
Aus Rice,,,,,,
Local,396308,222892,433685,241733,325364,161714
HYV*,2260276,2486751,2297691,2533745,2380957,2593681
Total Aus,2656584,2709643,2731376,2775478,2706320,2755396
Aman Rice,,,,,,
Broadcast,903078,442201,837169,400722,574311,263316
Local Trans.,2313473,1340511,2155120,1267655,2071387,1232057
HYV*,10817952,12210162,10900108,12386495,11093529,12707824
Total Aman,14034503,13992874,13892398,14054872,13739227,14203197
Boro Rice,,,,,,
Local,80262,62343,122021,84779,81928,60510
HYV*,9992250,15835103,9612305,15364347,9496436,15457679
Hybrid,1935471,3678373,2107983,4111420,2189336,4127145
Total Boro,12007983,19575819,11832309,19560546,11767700,19645334
Total Rice,28699070,36278336,28456083,36390896,28213247,36603927
Wheat,867884,1099373,816322,1016811,821081,1029354
Total OfMojar Cereals,29566954,37377709,29272405,37407707,29034328,37633281
