District name,February-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,382,240
Khagrachari,360,250,-,-,-,-,400,229
Rangamati,325,238,275,222,-,-,405,283
Chattogram,462,357,457,330,450,318,490,380
Coxbazar,500,338,460,331,443,250,525,375
Cumilla,436,357,412,353,370,300,462,421
Chandpur,-,-,-,-,-,-,360,-
Brahmmanbaria,400,300,360,-,305,227,406,320
Noakhali,500,-,-,-,485,-,522,-
Lakshmipur,-,-,-,-,-,-,400,-
Feni,-,-,-,-,486,-,595,-
Chattogram Division,426,307,393,309,423,274,450,321
Sylhet,424,350,372,282,347,-,431,370
Moulvibazar,387,308,380,300,-,-,426,343
Sunamganj,437,387,-,-,-,-,405,355
Habiganj,300,-,-,-,-,-,333,258
Sylhet Division,387,348,376,291,347,-,399,332
Dhaka,-,-,450,-,440,-,469,-
Gazipur,515,385,-,-,467,307,518,392
Manikganj,405,325,384,252,367,225,457,350
Munshiganj,426,300,-,-,400,-,432,330
Narayanganj,467,346,435,340,395,325,498,403
Narsingdi,-,-,360,-,311,-,468,-
Faridpur,500,-,-,-,450,-,520,-
Rajbari,453,350,433,315,415,300,440,375
Madaripur,460,340,-,-,-,330,450,350
Gopalganj,472,-,-,-,394,-,501,275
Shariatpur,401,341,367,330,341,320,442,370
Tangail,353,-,350,-,336,-,432,350
Kishoreganj,473,-,421,-,389,-,500,400
Dhaka Division,448,341,400,309,392,301,471,360
Mymensingh,410,-,384,-,344,-,420,-
Jamalpur,390,-,388,-,365,-,453,-
Sherpur,433,-,417,-,413,-,443,-
Netrokona,425,330,415,300,405,-,445,-
Mymensingh Division,415,330,401,300,382,-,440,-
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,440,-,412,-,-,-,500,-
Jhalokathi,450,400,-,-,-,-,510,-
Perojpur,480,-,470,370,450,350,500,-
Bhola,490,-,-,-,-,-,500,-
Patuakhali,425,-,-,-,-,-,480,-
Barguna,450,-,430,-,-,-,480,-
Barishal Division,456,400,437,370,450,350,495,-
Jashore,-,-,-,-,-,-,295,225
Jhenaidah,337,220,311,211,305,210,380,246
Magura,355,-,230,-,304,-,391,-
Narail,333,-,-,-,362,-,362,297
Khulna,-,-,-,-,-,-,483,371
Bagerhat,416,280,411,-,475,-,421,200
Satkhira,-,-,-,-,-,-,310,214
Kushtia,366,-,340,-,320,-,420,-
Chuadanga,275,-,-,-,-,-,293,-
Meherpur,257,-,-,-,-,-,300,-
Khulna Division,334,250,323,211,353,210,365,259
Rajshahi,373,300,361,283,350,-,395,314
Naogaon,341,287,333,283,330,280,369,300
Natore,350,280,342,282,325,272,375,300
Chapai Nawabganj,320,257,285,250,280,230,341,265
Bogra,353,-,305,-,330,-,300,-
Joypurhat,400,280,-,-,375,250,412,305
Pabna,420,360,400,358,-,-,444,370
Sirajganj,-,-,-,-,-,-,337,300
Rajshahi Division,365,294,337,291,332,258,372,308
Rangpur,355,235,-,-,-,-,365,245
Gaibandha,-,-,-,-,-,-,337,267
Kurigram,320,220,-,-,-,-,343,275
Nilphamari,356,232,-,-,-,-,350,240
Lalmonirhat,330,230,320,227,-,-,350,225
Dinajpur,339,261,328,270,320,-,341,291
Thakurgaon,331,278,-,-,-,-,340,290
Panchagarh,340,238,-,-,-,-,345,262
Rangpur Division,339,242,324,249,320,-,346,262
BANGLADESH,398,302,377,294,379,281,419,309
