"Agriculture
Products",2017-18,,2018-19,,2019-20,
,"Quantity
(M.Ton)","Value in
‘000’Tk","Quantity
(M.Ton)","Value in
‘000’Tk","Quantity
(M.Ton)","Value in
‘000’Tk"
Tea,861,227688,657,237177,1034,239735
Fish,11598,3617220,13461,3941167,11903,2761311
Raw Cotton,3907,720519,54710,2570738,76473,10233413
Spices,337,87127,185,65314,160,47049
