District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,0,6137,6116,0,0,0,85671,10000,9133,85671,10000,9133
2,Barishal,200,12386,13397,600,0,0,11377,14086,14086,11977,14086,14086
3,Bhola,41,13135,13168,153,1766,1543,21402,27573,27615,21555,29339,29158
4,Jhallokati,0,4971,3323,0,0,0,5981,6500,7094,5981,6500,7094
5,Patuakhali,0,6934,1886,0,0,0,11953,10000,11370,11953,10000,11370
6,Pirojpur,228,3325,3219,2320,2526,3405,20922,21396,19353,23242,23922,22758
1,Barishal Division,469,46888,41109,3073,4292,4948,157306,89555,88651,160379,93847,93599
7,Bandarban,75,31,387,462,462,464,622,622,627,1084,1084,1091
8,Brahmanbaria,0,167,1541,0,0,0,6102,5323,5298,6102,5323,5298
9,Chandpur,0,2252,3067,0,0,0,9822,12146,11411,9822,12146,11411
10,Chattogram,200,7028,4232,838,837,1021,6022,6035,7029,6860,6872,8050
11,Cumilla,0,609,3240,0,3108,2475,7427,5767,4507,7427,8875,6982
12,Cox’s Bazar,698,729,1861,3259,7773,5153,7359,5282,8274,10618,13055,13427
13,Feni,10,503,910,97,102,102,2196,2223,2212,2293,2325,2314
14,Khagrachari,17,166,450,32,33,33,827,888,899,859,921,932
15,Lakshmipur,0,0,9050,0,0,0,13036,13036,13084,13036,13036,13084
16,Noakhali,0,671,1448,1491,0,0,16021,16303,14610,17512,16303,14610
17,Rangamati,245,230,2428,2066,19,2144,2105,653,1892,4171,672,4036
2,"Chattogram
Division",1244,12386,28614,8245,12334,11392,71539,68278,69843,79784,80612,81235
18,Dhaka,29,171,1142,0,109,0,2670,2717,2360,2670,2826,2360
19,Faridpur,37,464,468,220,216,221,4420,4635,4846,4640,4851,5067
