Sector,"Bagda
(Tiger)","Harina
(Brown)","Chaka
(White)",Others,Total,"Growth Rate
(%)"
Trawl Fishing,206,1170,28,1329,2733,(-)25.77
Artisanal Fishing,2000,3395,4075,30546,40016,(-)11.40
Total,2206,4565,4103,31875,42749,(-)12.48
