District name,May-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,382,230
Khagrachari,346,250,-,-,-,-,400,275
Rangamati,337,250,322,236,-,-,415,291
Chattogram,500,365,480,350,465,300,552,380
Coxbazar,500,350,470,340,453,328,590,375
Cumilla,522,467,456,425,450,-,548,480
Chandpur,-,-,-,-,-,-,360,-
Brahmmanbaria,464,375,425,350,406,338,497,413
Noakhali,481,-,-,-,460,-,500,-
Lakshmipur,-,-,-,-,-,-,400,-
Feni,-,-,-,-,398,-,480,-
Chattogram Division,450,343,431,340,439,322,466,349
Sylhet,420,350,391,288,370,-,440,370
Moulvibazar,393,260,385,300,-,-,426,348
Sunamganj,499,400,-,-,-,-,472,422
Habiganj,433,-,-,-,-,-,511,400
Sylhet Division,436,337,388,294,370,-,462,385
Dhaka,563,450,525,440,575,430,590,475
Gazipur,515,392,-,-,417,307,543,648
Manikganj,541,400,531,338,536,350,620,430
Munshiganj,500,380,480,-,470,-,530,400
Narayanganj,480,413,435,400,420,390,511,412
Narsingdi,-,-,400,-,338,-,556,-
Faridpur,417,-,-,-,400,-,492,-
Rajbari,400,350,367,340,317,335,520,400
Madaripur,400,300,-,-,380,-,447,356
Gopalganj,487,-,-,-,433,-,500,430
Shariatpur,466,400,450,378,440,370,500,420
Tangail,598,-,578,-,554,500,673,530
Kishoreganj,500,-,450,-,440,-,539,400
Dhaka Division,489,386,468,379,440,383,540,446
Mymensingh,400,,380,,370,,460,
Jamalpur,438,,415,,430,,450,
Sherpur,465,,456,,423,,482,
Netrokona,475,345,465,365,435,,480,400
Mymensingh Division,445,345,429,365,415,-,468,400
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
Barishal,420,-,-,-,-,-,450,-
Jhalokathi,480,-,-,-,-,-,500,-
Perojpur,460,360,450,-,430,350,520,380
Bhola,400,-,380,-,,,450,-
Patuakhali,450,-,-,-,-,-,480,-
Barguna,518,-,500,-,-,-,532,-
Barishal Division,455,360,443,-,430,350,489,380
Jashore,-,-,-,-,-,-,327,250
Jhenaidah,402,278,390,265,387,256,407,311
Magura,458,-,331,-,390,-,501,-
Narail,364,-,-,-,350,-,373,318
Khulna,-,-,-,-,-,-,456,326
Bagerhat,440,350,430,340,420,330,458,370
Satkhira,-,-,-,-,-,-,289,189
Kushtia,366,-,340,-,320,-,420,-
Chuadanga,300,-,-,-,-,-,313,-
Meherpur,350,-,-,-,-,-,367,-
Khulna Division,383,314,373,303,373,293,391,294
Rajshahi,406,288,388,278,375,-,423,306
Naogaon,368,310,362,305,350,295,374,283
Natore,350,275,317,265,300,252,344,292
Chapai Nawabganj,320,252,300,250,285,230,385,287
Bogra,365,-,350,-,342,-,400,300
Joypurhat,350,285,-,-,320,272,415,305
Pabna,-,-,-,-,-,-,466,-
Sirajganj,-,-,-,-,-,-,462,350
Rajshahi Division,360,282,350,275,329,262,409,303
Rangpur,385,245,-,-,-,-,400,260
Gaibandha,-,-,-,-,-,-,414,333
Kurigram,343,230,-,-,-,-,339,250
Nilphamari,357,262,-,-,-,-,396,275
Lalmonirhat,337,270,330,260,-,-,345,201
Dinajpur,428,362,328,-,350,-,443,345
Thakurgaon,313,279,-,-,-,-,318,267
Panchagarh,359,253,-,-,-,-,336,232
Rangpur Division,360,272,329,260,350,-,374,270
BANGLADESH,427,327,416,326,405,331,453,349
