District name,January-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,382,230
Khagrachari,346,250,-,-,-,-,400,280
Rangamati,325,238,275,220,-,-,405,283
Chattogram,460,350,450,340,450,300,527,450
Coxbazar,500,338,462,331,367,300,590,375
Cumilla,440,400,430,380,426,367,440,410
Chandpur,-,-,-,-,-,-,360,-
Brahmmanbaria,411,350,400,330,360,326,410,354
Noakhali,506,-,450,-,477,-,537,-
Lakshmipur,-,-,-,-,-,-,400,-
Feni,-,-,-,-,598,-,480,-
Chattogram Division,427,321,411,320,446,323,448,340
Sylhet,408,300,382,280,-,-,422,330
Moulvibazar,387,320,363,317,-,-,408,334
Sunamganj,426,375,-,-,-,-,452,402
Habiganj,388,-,-,-,-,-,411,308
Sylhet Division,402,332,373,299,-,-,423,344
Dhaka,446,400,450,390,380,390,500,450
Gazipur,450,350,430,330,400,320,475,375
Manikganj,400,320,380,300,375,300,430,350
Munshiganj,431,-,-,-,391,350,438,370
Narayanganj,450,400,445,413,410,350,480,420
Narsingdi,-,-,410,-,350,-,450,-
Faridpur,410,-,400,-,390,-,469,-
Rajbari,430,250,420,240,410,250,457,300
Madaripur,393,300,-,-,350,-,393,325
Gopalganj,478,-,-,-,471,-,500,400
Shariatpur,364,250,319,240,303,230,416,280
Tangail,440,-,394,-,411,-,443,300
Kishoreganj,-,-,424,-,407,-,495,400
Dhaka Division,426,324,407,319,388,313,457,361
Mymensingh,530,-,500,-,470,-,550,-
Jamalpur,415,250,370,220,327,200,491,270
Sherpur,440,-,420,-,395,-,445,-
Netrokona,435,-,420,-,400,-,455,-
Mymensingh Division,455,250,428,220,398,200,485,270
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,418,-,400,-,-,-,420,-
Jhalokathi,400,-,-,-,-,-,420,-
Perojpur,400,340,,-,-,-,450,350
Bhola,400,-,-,-,-,-,450,-
Patuakhali,390,-,-,-,-,-,410,-
Barguna,380,-,-,-,-,-,400,-
Barishal Division,398,340,400,-,-,-,425,350
Jashore,-,-,-,-,-,-,311,201
Jhenaidah,334,245,320,230,321,220,366,260
Magura,405,-,273,-,335,-,448,-
Narail,343,-,-,-,304,-,367,295
Khulna,-,-,-,-,-,-,484,372
Bagerhat,438,-,409,-,400,-,446,350
Satkhira,-,-,-,-,-,-,308,250
Kushtia,366,-,340,-,320,-,420,-
Chuadanga,340,-,-,-,-,-,385,-
Meherpur,278,-,-,-,-,-,317,-
Khulna Division,358,245,335,230,336,220,385,288
Rajshahi,369,300,340,300,327,-,386,320
Naogaon,343,301,341,293,339,280,401,323
Natore,388,300,320,250,300,230,400,315
Chapai Nawabganj,313,275,312,270,300,263,350,290
Bogra,353,-,305,-,330,-,370,-
Joypurhat,335,250,-,-,320,230,380,305
Pabna,358,247,334,219,-,-,425,257
Sirajganj,-,-,-,-,-,-,345,250
Rajshahi Division,351,279,325,266,319,251,382,294
Rangpur,330,220,-,-,-,-,340,240
Gaibandha,-,-,-,-,-,-,350,267
Kurigram,320,200,-,-,-,-,343,225
Nilphamari,313,210,-,-,-,-,348,238
Lalmonirhat,335,230,330,220,-,-,350,270
Dinajpur,341,270,328,263,300,-,353,276
Thakurgaon,331,278,-,-,-,-,342,290
Panchagarh,337,238,-,-,-,-,363,261
Rangpur Division,330,235,329,242,300,-,349,258
BANGLADESH,392,292,381,290,378,289,418,316
