SL.No,Items,Year,,,,,
,,2017-18,,2018-19,,2019-20,
,,Area in (`000`acre),,Area in (`000`acre),,Area in (`000`acre),
,,Acre,Hectare,Acre,Hectare,Acre,Hectare
1.,Net cropped Area,19774,8002,19973,8083,20081,8126
2.,Gross Cropped Area,38536,15595,39357,15927,39678,16057
3.,Single Cropped Area,5514,2231,5271,2133,5216,2110
4.,Double Cropped Area,9800,3966,10065,4073,10194,4125
5.,Triple Cropped Area,4418,1788,4594,1859,4613,1867
6.,Quadruple Cropped Area,42,17,43,17,56,23
7.,Current Fallow Area,907,367,1126,456,1066,431
8.,Intensity of Cropping (%),195,79,197,80,198,80
9.,Total Irrigated area,18990,7685,19217,7777,19469,7879
10.,"Total Cereals
(`000’ M.ton)",40666,,40978,,41647,
11.,Agriculture holding,"165,62,974(Agriculture census -2019 preliminary report)",,,,,
