District name,October-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,400,264
Khagrachari,346,200,-,-,-,-,350,250
Rangamati,369,290,320,245,-,-,428,322
Chattogram,483,360,475,350,465,300,540,370
Coxbazar,500,340,470,335,367,260,590,375
Cumilla,400,350,390,340,380,331,420,360
Chandpur,-,-,-,-,-,-,360,-
Brahmmanbaria,350,300,340,-,265,230,400,300
Noakhali,425,-,400,-,485,-,517,-
Lakshmipur,-,-,-,-,-,-,400,-
Feni,-,-,-,-,598,-,480,-
Chattogram Division,410,307,399,318,427,280,444,320
Sylhet,415,350,397,290,388,-,421,300
Moulvibazar,376,318,370,272,-,-,420,346
Sunamganj,465,415,-,-,-,-,436,386
Habiganj,375,-,-,-,-,-,406,350
Sylhet Division,408,361,384,281,388,-,421,345
Dhaka,467,400,425,350,420,300,500,400
Gazipur,369,307,320,290,310,245,437,380
Manikganj,480,300,440,247,327,-,493,316
Munshiganj,-,450,-,-,455,-,499,300
Narayanganj,430,375,423,363,370,320,464,398
Narsingdi,-,-,440,275,407,-,467,300
Faridpur,450,-,-,-,430,-,465,-
Rajbari,390,300,333,200,300,200,478,350
Madaripur,350,300,-,-,400,350,425,367
Gopalganj,464,-,450,-,440,-,464,250
Shariatpur,384,238,333,205,316,230,470,300
Tangail,420,360,400,350,380,340,450,380
Kishoreganj,-,-,445,-,413,-,542,-
Dhaka Division,420,337,401,285,382,284,473,340
Mymensingh,384,290,350,270,340,-,422,300
Jamalpur,390,-,370,-,360,-,450,-
Sherpur,410,-,400,-,390,-,465,-
Netrokona,360,310,300,310,270,-,420,350
Mymensingh Division,386,300,355,290,340,-,439,325
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,450,-,418,-,-,-,500,-
Jhalokathi,390,-,-,-,-,-,400,-
Perojpur,518,400,470,350,413,300,523,450
Bhola,469,-,424,-,-,540,400,-
Patuakhali,380,-,-,-,-,-,390,-
Barguna,500,-,490,-,-,-,525,-
Barishal Division,451,400,451,350,413,420,456,450
Jashore,-,-,-,-,-,-,392,267
Jhenaidah,350,275,325,270,300,265,343,300
Magura,378,-,370,-,360,-,408,-
Narail,330,-,-,-,320,-,403,370
Khulna,-,-,-,-,-,-,388,292
Bagerhat,382,280,370,-,360,-,389,300
Satkhira,-,-,-,-,-,-,398,261
Kushtia,385,-,360,-,340,-,436,-
Chuadanga,275,-,-,-,-,-,295,-
Meherpur,283,-,-,-,-,-,333,-
Khulna Division,340,278,356,270,336,265,379,298
Rajshahi,360,324,350,300,-,-,396,330
Naogaon,329,257,320,240,310,230,350,270
Natore,317,249,305,230,300,200,381,292
Chapai Nawabganj,283,250,270,240,260,235,298,270
Bogra,347,-,333,-,320,-,353,-
Joypurhat,385,250,-,-,300,240,400,305
Pabna,420,320,400,-,-,-,450,350
Sirajganj,-,-,-,-,-,-,326,200
Rajshahi Division,349,275,330,253,298,226,369,288
Rangpur,295,185,-,-,-,-,305,190
Gaibandha,-,-,-,-,-,-,276,189
Kurigram,290,220,-,-,-,-,306,230
Nilphamari,290,222,288,215,-,-,310,230
Lalmonirhat,293,220,-,-,-,-,289,240
Dinajpur,340,262,295,247,-,-,357,253
Thakurgaon,317,263,-,-,-,-,336,264
Panchagarh,321,231,-,-,-,-,330,250
Rangpur Division,307,229,292,231,-,-,314,231
BANGLADESH,383,299,378,283,367,284,414,307
