District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,72,51,68,0,0,0,82,100,72,82,82,72
2,Barishal,562,405,537,0,0,0,527,521,520,527,521,520
3,Bhola,132,95,145,0,0,0,107,164,152,107,164,152
4,Jhallokati,106,77,143,0,0,0,67,70,94,67,70,94
5,Patuakhali,494,352,463,0,0,0,542,550,587,542,550,587
6,Pirojpur,116,52,111,0,0,0,80,85,81,80,85,81
1,Barishal Division,1483,1482,1467,0,0,0,1405,1490,1506,1405,1472,1506
7,Bandarban,82,2126,79,30,30,30,131,131,136,161,161,166
8,Brahmanbaria,192,83,154,0,0,0,472,455,400,472,455,400
9,Chandpur,213,22,203,0,0,0,308,307,316,308,307,316
10,Chattogram,636,1078,550,12,13,119,1120,1365,1306,1132,1378,1425
11,Cumilla,348,553,364,0,232,170,679,457,551,679,689,721
12,Cox’s Bazar,80,119,143,2,19,0,90,270,93,92,289,93
13,Feni,130,42,116,0,0,0,73,85,87,73,85,87
14,Khagrachari,667,261,676,115,143,140,1075,1106,1194,1190,1249,1334
15,Lakshmipur,115,0,105,0,0,0,71,73,71,71,73,71
16,Noakhali,189,32,177,0,0,0,95,205,204,95,205,204
17,Rangamati,414,354,404,67,112,132,866,633,746,933,745,878
2,"Chattogram
Division",3065,3075,2972,226,549,591,4980,5087,5104,5206,5636,5695
18,Dhaka,174,174,189,0,0,0,216,243,245,216,243,245
19,Faridpur,452,690,580,0,0,0,546,483,662,546,483,662
20,Gazipur,292,349,1275,16,184,184,334,166,1550,350,350,1734
21,Gopalganj,342,84,439,0,0,33,464,476,431,464,476,464
22,Kishoreganj,445,86,421,0,0,0,1067,1038,1054,1067,1038,1054
23,Madaripur,189,70,174,0,0,0,401,234,192,401,234,192
24,Manikganj,165,138,159,0,0,0,278,301,288,278,301,288
25,Munshiganj,105,20,98,0,0,0,147,147,147,147,147,147
26,Narayanganj,100,33,109,0,0,0,188,189,195,188,189,195
27,Narsingdi,288,39,264,85,0,0,838,501,666,923,501,666
28,Rajbari,149,108,145,0,0,0,238,274,230,238,274,230
29,Shariatpur,1271,1271,1361,0,688,700,693,2,53,693,690,753
30,Tangail,483,53,540,0,0,0,628,656,655,628,656,655
3,Dhaka Division,4456,4474,5753,101,872,917,6038,4710,6368,6139,5582,7285
31,Bagerhat,490,181,464,0,0,0,302,377,482,302,377,482
32,Chuadanga,98,98,94,0,0,0,244,255,246,244,255,246
33,Jashore,548,110,522,0,0,0,946,938,912,946,938,912
34,Jhenaidah,208,48,198,0,0,0,398,404,395,398,404,395
35,Khulna,493,184,475,0,0,0,562,577,583,562,577,583
36,Kushtia,235,35,276,0,0,0,1079,1076,1222,1079,1076,1222
37,Magura,538,0,512,0,0,0,1229,1247,1247,1229,1247,1247
38,Meherpur,60,36,57,0,0,0,136,130,130,136,130,130
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,100,37,116,0,31,20,309,153,163,309,184,183
40,Satkhira,408,226,430,0,0,113,673,680,597,673,680,710
4,Khulna Division,3179,3034,3144,0,31,133,5878,5837,5977,5878,5868,6110
41,Jamalpur,316,154,330,0,0,0,554,512,485,554,512,485
42,Mymensingh,916,760,1149,0,88,73,1532,1813,1598,1532,1901,1671
43,Netrokona,322,342,320,0,0,0,554,519,1042,554,519,1042
44,Sherpur,278,27,169,0,0,0,389,385,321,389,385,321
5,"Mymensingh
Division",1832,2143,1968,0,88,73,3029,3229,3446,3029,3317,3519
45,Bogura,466,67,326,0,0,0,861,862,638,861,862,638
46,Joypurhat,136,23,128,0,0,0,186,184,183,186,184,183
47,Naogaon,274,146,219,0,0,0,533,398,403,533,398,403
48,Natore,593,117,627,0,0,0,1342,923,1031,1342,923,1031
49,Chapai Nawabganj,111,59,125,0,0,0,224,233,246,224,233,246
50,Pabna,362,115,342,0,116,105,990,1763,902,990,1879,1007
51,Rajshahi,216,200,240,0,0,0,500,513,573,500,513,573
52,Sirajganj,231,26,260,0,0,0,445,424,455,445,424,455
6,Rajshahi Division,2388,2572,2267,0,116,105,5081,5300,4431,5081,5416,4536
53,Dinajpur,181,36,160,0,0,0,171,171,180,171,171,180
54,Gaibandha,61,11,70,0,0,0,69,65,64,69,65,64
55,Kurigram,90,22,84,0,0,0,175,157,158,175,157,158
56,Lalmonirhat,188,45,192,0,0,0,208,184,189,208,184,189
57,Nilphamari,154,28,144,0,0,0,174,190,183,174,190,183
58,Panchagar,93,44,113,0,0,0,111,106,115,111,106,115
59,Rangpur,100,15,118,0,0,0,181,174,175,181,174,175
60,Thakurgaon,49,311,56,0,0,0,67,68,69,67,68,69
7,Rangpur Divison,916,913,937,0,0,0,1156,1115,1133,1156,1115,1133
61,Habiganj,53,54,53,0,0,0,61,64,71,61,64,71
62,Moulvibazar,54,51,58,0,0,0,130,121,132,130,121,132
63,Sunamganj,47,8,70,0,0,0,35,35,62,35,35,62
64,Sylhet,59,221,95,0,0,0,58,62,67,58,62,67
8,Sylhet Division,214,208,276,0,0,0,284,282,332,284,282,332
BANGLADESH,,17532,17901,18784,327,1656,1819,27851,27050,28297,28178,28706,30116
