Variety,2018-19,,2019-20,,"Percentage (%)
changes over
previous year"
,"Area
(Acre)","Area
(Hector)","Area
(Acre)","Area
(Hector)",
Local,"1,72,569","69,835","1,80,851","73,189",(+)4.80
High Yielding Variety,"9,84,833","3,98,540","9,59,064","3,88,128",(-)2.61
Total (Local+HYV),"11,57,402","4,68,375","11,39,914","4,61,317",(-)1.51
