District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
1,Barguna,129065,52230,25.12,2.317,121020,92360,37376,27.23,2.512,93877
2,Barishal,18185,7359,26.96,2.487,18300,17800,7203,18.91,1.744,12564
3,Bhola,109881,44466,27.36,2.524,112219,129602,52447,27.25,2.514,131827
4,Jhallokati,29720,12027,28.20,2.601,31284,23020,9316,32.90,3.035,28270
5,Patuakhali,57073,23096,28.01,2.584,59672,38890,15738,25.99,2.397,37729
6,Pirojpur,30672,12412,28.60,2.638,32744,23202,9389,28.29,2.609,24501
1,"Barishal
Division",374596,151591,26.84,2.475,375239,324874,131469,27.11,2.501,328768
7,Bandarban,8342,3376,34.05,3.141,10603,8444,3417,28.05,2.587,8841
8,Brahmanbaria,20798,8416,26.68,2.461,20712,27281,11040,26.38,2.433,26863
9,Chandpur,23145,9366,29.84,2.752,25780,20275,8205,25.84,2.383,19556
10,Chattogram,72293,29256,32.65,3.012,88107,68393,27677,31.26,2.883,79805
11,Cumilla,175182,70892,29.23,2.696,191137,180650,73105,28.07,2.589,189281
12,Cox’s Bazar,7861,3181,30.50,2.813,8950,4385,1775,29.58,2.728,4842
13,Feni,22143,8961,29.25,2.698,24176,20364,8241,30.15,2.781,22918
14,Khagrachari,4340,1756,28.14,2.596,4559,3965,1605,31.09,2.868,4601
15,Lakshmipur,58880,23827,28.20,2.601,61979,43617,17651,27.25,2.514,44366
16,Noakhali,76688,31034,27.06,2.496,77461,77136,31215,26.07,2.405,75063
17,Rangamati,1614,653,27.83,2.567,1677,1358,550,26.34,2.430,1335
2,"Chattogram
Division",471286,190719,29.28,2.701,515140,455868,184480,28.06,2.588,477471
18,Dhaka,1183,479,24.54,2.264,1084,1397,565,26.00,2.398,1356
19,Faridpur,3718,1505,25.65,2.366,3560,3434,1390,24.88,2.295,3189
20,Gazipur,3293,1333,31.84,2.937,3914,5396,2184,31.91,2.943,6427
21,Gopalganj,1128,456,28.35,2.615,1194,3108,1258,23.46,2.164,2722
22,Kishoreganj,32459,13135,28.02,2.585,33949,54327,21985,29.08,2.682,58971
23,Madaripur,547,221,26.41,2.436,539,1121,454,26.34,2.430,1102
24,Manikganj,2034,823,25.58,2.359,1942,3157,1278,26.30,2.426,3099
25,Munshiganj,284,115,32.42,2.990,344,438,177,27.46,2.533,449
26,Narayanganj,1539,623,20.25,1.868,1163,4538,1836,26.31,2.427,4457
27,Narsingdi,1163,471,29.42,2.714,1277,1858,752,27.96,2.579,1939
28,Rajbari,368,149,31.77,2.930,436,1701,688,27.37,2.525,1738
29,Shariatpur,4597,1860,26.46,2.441,4540,6773,2741,26.27,2.423,6642
30,Tangail,520,210,29.42,2.714,571,1606,650,28.13,2.595,1686
3,"Dhaka
Division",52833,21380,27.64,2.550,54513,88854,35957,28.27,2.608,93777
31,Bagerhat,10049,4067,28.95,2.670,10859,11907,4819,30.10,2.776,13378
32,Chuadanga,93348,37776,31.45,2.901,109585,85625,34651,31.08,2.867,99337
33,Jashore,47915,19390,27.66,2.551,49471,41681,16867,33.00,3.044,51343
34,Jhenaidah,75626,30604,28.80,2.657,81300,75274,30462,33.35,3.076,93706
35,Khulna,829,335,28.89,2.665,894,3410,1380,25.81,2.381,3285
36,Kushtia,54763,22161,33.10,3.053,67662,56071,22691,31.96,2.948,66892
,,Area,,Yield Rate,,Production,Area,,,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,,,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
37,Magura,5958,2411,26.79,2.471,5958,6921,,,2801,24.63,2.272,6363
38,Meherpur,35138,14220,32.15,2.966,42168,37820,,,15305,33.95,3.132,47928
39,Narail,5059,2047,27.83,2.567,5255,3583,,,1450,32.55,3.002,4353
40,Satkhira,15318,6199,28.66,2.644,16387,16556,,,6700,30.67,2.829,18954
4,"Khulna
Division",344003,139210,30.34,2.798,389540,338849,,,137125,32.06,2.957,405539
41,Jamalpur,5219,2112,28.21,2.602,5496,3956,,,1601,25.29,2.333,3734
42,Mymensingh,38538,15595,28.97,2.672,41674,34571,,,13990,26.61,2.454,34338
43,Netrokona,1158,469,32.78,3.024,1417,1048,,,424,28.10,2.592,1099
44,Sherpur,6366,2576,28.23,2.604,6708,7950,,,3217,24.85,2.292,7374
5,"Mymensingh
Division",51281,20752,28.89,2.665,55295,47525,,,19232,26.24,2.420,46546
45,Bogura,49995,20232,30.75,2.836,57385,66686,,,26986,27.38,2.526,68154
46,Joypurhat,423,171,29.82,2.751,471,463,,,187,27.83,2.567,481
47,Naogaon,152254,61614,31.61,2.916,179648,,152617,,61761,31.37,2.894,178708
48,Natore,16206,6558,28.07,2.589,16980,19917,,,8060,29.76,2.745,22125
49,"Chapai
Nawabganj",109522,44321,31.19,2.877,127509,85777,,,34712,30.44,2.808,97464
50,Pabna,21012,8503,32.79,3.025,25718,29431,,,11910,27.19,2.508,29870
51,Rajshahi,112242,45422,31.10,2.869,130300,115621,,,46789,30.97,2.857,133661
52,Sirajganj,7620,3084,31.10,2.869,8846,15235,,,6165,30.97,2.857,17612
6,"Rajshahi
Division",469274,189905,31.22,2.880,546857,485747,,,196571,30.23,2.788,548076
53,Dinajpur,17084,6914,31.87,2.940,20324,17023,,,6889,26.44,2.439,16801
54,Gaibandha,5948,2407,27.73,2.558,6157,18331,,,7418,24.56,2.265,16805
55,Kurigram,2684,1086,30.52,2.815,3058,8889,,,3597,25.12,2.317,8335
56,Lalmonirhat,11990,4852,31.58,2.913,14134,27244,,,11025,27.50,2.537,27966
57,Nilphamari,1010,409,29.61,2.731,1116,2941,,,1190,25.21,2.325,2768
58,Panchagar,730,295,34.76,3.206,947,4876,,,1973,28.63,2.641,5211
59,Rangpur,40313,16314,31.31,2.888,47115,46442,,,18794,29.03,2.678,50325
60,Thakurgaon,37342,15111,31.72,2.926,44214,36260,,,14674,32.13,2.964,43488
7,"Rangpur
Divison",117101,47388,31.36,2.892,137064,162006,,,65560,28.39,2.619,171698
