District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,96,123,98,469,77,62,329,619,472,798,696,534
2,Barishal,173,228,210,290,344,346,1605,1986,2154,1895,2330,2500
3,Bhola,46,64,51,0,185,214,699,653,751,699,838,965
4,Jhallokati,24,30,102,0,0,0,213,300,1399,213,300,1399
5,Patuakhali,98,123,174,50,36,0,1168,841,273,1218,877,273
6,Pirojpur,82,113,90,157,174,190,584,601,602,741,775,792
1,Barishal Division,518,538,724,966,816,812,4598,5000,5651,5564,5816,6463
7,Bandarban,82,104,82,1328,1260,1338,829,2167,839,2157,3427,2177
8,Brahmanbaria,28,37,30,0,150,123,498,419,407,498,569,530
9,Chandpur,117,149,162,91,64,215,2154,1583,1432,2245,1647,1647
10,Chattogram,238,328,240,469,463,663,2569,2964,2146,3038,3427,2809
11,Cumilla,151,201,158,12,1055,1053,1931,1113,1114,1943,2168,2167
12,Cox’s Bazar,83,127,78,590,3361,560,1400,2448,616,1990,5809,1176
13,Feni,59,58,50,0,0,0,674,493,492,674,493,492
14,Khagrachari,156,213,167,973,814,814,1348,1512,1512,2321,2326,2326
15,Lakshmipur,258,323,255,0,0,0,3395,3048,3423,3395,3048,3423
16,Noakhali,119,152,120,1772,0,0,1830,2032,1945,3602,2032,1945
17,Rangamati,358,428,333,2729,2657,2551,2524,1981,2014,5253,4638,4565
2,"Chattogram
Division",1650,1669,1676,7964,9824,7317,19152,19760,15940,27116,29584,23257
18,Dhaka,133,165,130,1015,554,362,1231,889,1300,2246,1443,1662
19,Faridpur,100,126,100,98,265,207,574,315,850,672,580,1057
20,Gazipur,183,22,182,1062,918,627,519,645,1026,1581,1563,1653
21,Gopalganj,203,258,161,173,230,9,1085,1321,782,1258,1551,791
22,Kishoreganj,74,95,77,210,247,263,886,858,963,1096,1105,1226
23,Madaripur,202,376,208,812,216,710,2388,364,1528,3200,580,2238
24,Manikganj,94,119,94,120,210,235,1142,1155,1197,1262,1365,1432
25,Munshiganj,42,52,41,24,21,22,439,440,476,463,461,498
26,Narayanganj,85,107,69,159,169,225,737,764,712,896,933,937
27,Narsingdi,131,189,163,656,1049,1776,594,631,871,1250,1680,2647
28,Rajbari,120,75,122,616,440,957,648,289,1009,1264,729,1966
29,Shariatpur,121,153,115,0,1205,22,1941,689,1838,1941,1894,1860
30,Tangail,360,457,384,542,4770,1102,3359,949,3268,3901,5719,4370
3,Dhaka Division,1847,1937,1846,5487,10294,6517,15543,9309,15820,21030,19603,22337
31,Bagerhat,85,105,82,72,0,0,655,1014,1022,727,1014,1022
32,Chuadanga,73,93,73,1397,984,1409,533,3120,516,1930,4104,1925
33,Jashore,143,159,140,1638,1707,1688,1530,1535,1624,3168,3242,3312
34,Jhenaidah,76,97,78,1288,1133,673,881,17,463,2169,1150,1136
35,Khulna,112,203,157,249,157,168,869,863,586,1118,1020,754
36,Kushtia,166,184,155,14,84,1371,3074,4695,3997,3088,4779,5368
37,Magura,106,144,114,814,2352,1557,2183,52,897,2997,2404,2454
38,Meherpur,48,62,60,379,743,1064,769,330,383,1148,1073,1447
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,45,65,49,102,959,647,1411,721,705,1513,1680,1352
40,Satkhira,242,305,238,855,659,678,1219,1565,974,2074,2224,1652
4,Khulna Division,1095,1135,1147,6808,8778,9255,13124,13912,11167,19932,22690,20422
41,Jamalpur,164,209,165,453,460,493,992,2490,2612,1445,2950,3105
42,Mymensingh,264,208,390,353,298,682,2966,3623,4096,3319,3921,4778
43,Netrokona,56,74,77,45,87,148,847,1167,2502,892,1254,2650
44,Sherpur,115,135,70,216,311,42,1229,1195,951,1445,1506,993
5,"Mymensingh
Division",599,564,703,1067,1156,1365,6034,8475,10161,7101,9631,11526
45,Bogura,269,342,270,2640,2641,2261,1457,1459,2526,4097,4100,4787
46,Joypurhat,47,60,44,398,480,256,225,105,68,623,585,594
47,Naogaon,78,100,80,129,119,321,1672,1795,1580,1801,1914,1901
48,Natore,258,446,318,5616,2242,2988,10816,10807,6011,16432,13049,8999
49,Chapai Nawabganj,50,80,65,378,29,505,556,1200,809,934,1229,1314
50,Pabna,427,521,411,755,770,759,3715,2357,3802,4470,3127,4561
51,Rajshahi,262,395,493,2836,6057,6140,4067,1728,2757,6903,7785,8897
52,Sirajganj,224,285,217,58,65,55,2622,2921,2757,2680,2986,2812
6,Rajshahi Division,1616,1757,8198,12810,12403,13555,25130,22372,20310,37940,34775,33865
53,Dinajpur,153,204,161,389,380,381,1373,1504,1520,1762,1884,1901
54,Gaibandha,158,158,123,1543,626,555,306,994,970,1849,1620,1525
55,Kurigram,112,141,221,128,71,88,1302,1473,1434,1430,1544,1522
56,Lalmonirhat,48,61,94,260,130,142,572,611,667,832,741,809
57,Nilphamari,84,104,80,166,215,229,1112,1456,1373,1278,1671,1602
58,Panchagar,54,69,54,402,526,395,568,499,722,970,1025,117
59,Rangpur,99,127,101,395,392,400,923,979,1014,1318,1371,1414
60,Thakurgaon,36,45,36,35,35,35,487,489,509,522,524,544
7,Rangpur Divison,743,717,823,3318,2375,2225,6643,8005,8209,9961,10380,10434
61,Habiganj,21,26,25,162,172,117,317,309,299,479,481,416
