Variety,2018-19,2019-20,"Percentage (%)
changes over previous
year"
,"Production
(M. Ton)","Production
(M. Ton)",
Local,"2,41,733","1,61,714",(-) 33.10
HYV,"25,33,745","25,93,681",(+) 2.37
Total (Local+ HYV),"27,75,478","27,55,396",(-) 0.72
