District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,136,137,142,0,0,0,73,68,66,73,68,66
2,Barishal,443,450,493,0,0,0,398,461,750,398,461,750
3,Bhola,248,276,207,0,0,0,205,245,262,205,245,262
4,Jhallokati,354,353,291,0,0,0,111,160,92,111,160,92
5,Patuakhali,290,290,126,0,0,0,60,67,30,60,67,30
6,Pirojpur,249,214,200,0,3,0,188,100,10,188,103,13
1,Barishal Division,1720,1707,1459,0,3,3,1035,1101,1210,1035,1104,1213
7,Bandarban,142,75,226,122,122,127,123,122,124,245,244,251
8,Brahmanbaria,330,333,335,615,1336,1485,562,596,757,1177,1932,2242
9,Chandpur,243,243,244,0,0,0,19,126,130,19,126,130
10,Chattogram,1135,1496,975,772,390,623,1382,404,1449,2154,794,2072
11,Cumilla,238,258,200,0,188,52,318,173,189,318,361,241
12,Cox’s Bazar,280,281,180,64,64,161,345,350,408,409,414,569
13,Feni,146,146,136,0,0,0,35,36,39,35,36,39
14,Khagrachari,1662,177,224,600,189,417,528,97,196,1128,286,613
15,Lakshmipur,118,118,109,0,0,0,95,96,85,95,96,85
16,Noakhali,155,158,125,0,0,0,93,87,79,93,87,79
17,Rangamati,1687,1720,1278,1140,1174,1152,942,984,953,2082,2158,2105
2,"Chattogram
Division",6135,5071,4032,3313,3463,4017,4442,3071,4409,7755,6534,8426
18,Dhaka,141,18,25,0,0,0,103,123,129,103,123,129
19,Faridpur,457,457,480,0,0,1299,515,515,589,515,515,1888
20,Gazipur,607,258,263,136,303,425,740,550,759,876,853,1184
21,Gopalganj,312,312,314,55,201,0,158,207,275,213,408,275
22,Kishoreganj,1472,1472,1435,203,1479,240,3053,1777,3495,3256,3256,3735
23,Madaripur,185,51,52,0,0,0,315,268,74,315,268,74
24,Manikganj,122,116,117,0,0,0,188,199,45,188,199,84
25,Munshiganj,52,47,40,0,0,0,98,90,84,98,90,338
26,Narayanganj,102,28,28,0,187,200,135,141,138,135,328,765
27,Narsingdi,464,460,450,341,37,39,355,735,726,696,772,248
28,Rajbari,553,232,228,333,446,460,1299,1334,1286,1632,1780,1099
29,Shariatpur,342,343,345,0,0,0,187,203,248,187,203,11610
30,Tangail,843,851,751,48,46,48,994,1049,1051,1042,1095,628
3,Dhaka Division,5653,5845,4528,1116,2699,2711,8140,7191,8899,9256,9890,310
31,Bagerhat,469,41,46,3,0,5,372,626,6543,375,626,2950
32,Chuadanga,156,172,165,125,154,154,147,149,23,272,303,395
33,Jashore,1388,1684,1378,1010,1099,1126,1250,1853,42,2260,2952,369
34,Jhenaidah,516,566,330,298,618,69,734,375,331,1032,993,3012
35,Khulna,450,457,460,0,0,0,361,368,404,361,368,1011
36,Kushtia,935,992,890,836,1024,1084,1552,1888,978,2388,2912,861
37,Magura,1209,770,506,2398,547,30,1295,505,981,3693,1052,1011
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,363,367,380,515,653,671,282,198,190,797,851,861
39,Narail,496,543,393,44,201,210,820,727,728,864,928,929
40,Satkhira,513,514,350,161,228,338,501,410,300,662,638,638
4,Khulna Division,6495,6830,4898,5390,4524,3678,7314,7099,7416,12704,11623,11094
41,Jamalpur,768,840,751,346,636,488,1872,1244,1416,2218,1880,1923
42,Mymensingh,2385,3165,2530,56,221,0,7486,6260,4228,7542,6481,4228
43,Netrokona,384,385,304,0,0,0,557,520,767,557,520,767
44,Sherpur,334,342,50,0,2,0,0,548,556,0,550,556
5,"Mymensingh
Division",3872,4733,3635,402,859,488,9915,8572,6986,10317,9431,7474
45,Bogura,936,940,624,59,65,617,2051,2017,1333,2110,2082,1950
46,Joypurhat,127,132,133,50,43,98,307,286,227,357,329,325
47,Naogaon,492,507,407,346,338,332,908,915,903,1254,1253,1235
48,Natore,2632,2376,1290,5352,1026,1533,8987,1723,1021,14339,2749,2554
49,Chapai Nawabganj,227,276,300,260,238,242,310,459,472,570,697,714
50,Pabna,2088,1991,1992,4564,4013,4013,1961,3169,3169,6525,7182,7182
51,Rajshahi,1083,1000,722,2790,2056,2019,2669,2082,1709,5459,4138,3728
52,Sirajganj,269,281,231,17,22,15,594,594,594,611,616,609
6,Rajshahi Division,7854,7763,5699,13438,7801,8869,17787,11245,9428,31225,19046,18297
53,Dinajpur,3097,3127,1957,6315,6490,6543,3605,3711,3807,9920,10201,10350
54,Gaibandha,419,434,210,18,23,23,353,388,408,371,411,431
55,Kurigram,402,418,211,126,40,42,660,561,559,786,601,601
56,Lalmonirhat,380,380,320,301,299,331,340,366,399,641,665,730
57,Nilphamari,838,838,607,395,390,404,1268,1244,1109,1663,1634,1513
58,Panchagar,1292,3980,1787,952,947,978,1676,1672,1813,2628,2619,2791
59,Rangpur,913,939,739,287,369,504,1311,1384,1562,1598,1753,2066
60,Thakurgaon,800,809,322,851,1153,1184,1198,1335,1368,2049,2488,2525
7,Rangpur Divison,8141,10924,6153,9245,9711,10009,10411,10661,11025,19656,20372,21034
61,Habiganj,169,177,141,100,56,64,397,262,315,497,318,379
62,Moulvibazar,333,77,205,38,41,38,804,798,804,842,839,842
63,Sunamganj,328,329,733,38,25,0,464,281,304,502,306,304
