"Table: 2.1.1 Area, Yield Rate and Production of Crops 2017 to 2020.",,,,,,,,,
Crop,2017-18,,,2018-19,,,2019-20,,
,"Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield
(Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
DRUG & NARCOTICS,,,,,,,,,
Patal,24,3542,85,24,3504,85,26,3471,91
Lady’s Finger,28,1984,56,29,1891,54,29,1961,56
Jhinga,25,2024,50,25,2072,52,25,2096,53
Karala,26,2186,58,26,2055,54,27,2160,59
Green Banana,28,5599,157,28,5776,161,29,5712,167
Chalkumra,25,3044,75,25,3116,79,25,3226.08,81
Cucumber,24,3764,65,25,2975,73,24,3398,83
Khirai,14,3372,47,13,3631,46,14,3342,47
Puisak,26,3198,82,26,3192,83,27,3240,88
Chichinga,19,2017,37,19,2031,38,20,2171,43
Danta,27,2786,75,27,2824,75,27,2856,77
Barbati,16,1575,26,18,1650,29,17,1646,28
Dundal,10,2010,20,11,2001,21,11,1981,21
Crop,2017-18,,,2018-19,,,2019-20,,
,"Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield
(Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
Kachur lati,17,2466,42,17,2481,42,18,2641,47
Shajna,1,-,31,17,27,29,15,26.27,28
Katcha Papya,6,28,257,22,39,353,20,43,391
Maan Kachu,0,0,0,5,3530,17,6,3104,18
Mura Kachhu,0,0,0,10,3576,37,10,3465,34
Kachhu shak,0,0,0,4,1487,6,4,1524,6
Owl Kachhu,0,0,0,2,5495,12,2,7368,16
Mukhi Kachhu,0,0,0,25,4322,109,23,4317,98
Pani kachu,0,0,0,13,4390,57,14,4458.04,62
Kachu,55,,230,0,,0,0,0,0
Pat Shak,0,0,0,7,1807,12,7,1903,13
Data Shak,0,0,0,13,2793,27,14,2065,29
Kalmi Shak,0,0,0,6,1814,10,5,1899,10
"Other summer
vegetables",25,-,48,0,-,-,-,-,-
"Total Summer
Vegetables",481,-,1742,524,,1871,535,3738,2000
"Total Vegetables
(Winter & Summer)",1020,4034,4115,1072,4044,4336,1110,4121,4575
OTHER FOOD CROPS,,,,,,,,,
Potato,,,,,,,,,
Local,181,4836,874,173,4935,852,181,122.71,828
HYV,996,8888,8851,985,8938,8803,959,245.18,8777
Total Potato,1174,8266,9725,1158,3376,9655,1140,184,9606
Sweet Potato,59,4166,247,57,4148,236,61,4052,246
Total,1239,,9991,1214,,9891,1201,,9851
"Fodder (Bhadoi &
Rabi)",43,11819,242,50,4779,237,44,5959,266
Mulbery,0.314,30,27,0.292,30,27,1,29.98,26
Total Fodder,43.31,,269,50.29,,264,45,,292
FLOWERS:,,,,,,,,,
Rose Flower,0.451,5,16,1,6,16,1,6.43,19
Marry Gold flower,1,1669,2,1,3164,4,1,2245.27,3
Tube Rose,0.371,1774,1,1,1988,2,1,2385.38,2
Belly,-,,-,0.027,741,0.020,0.273,656.67,0.018
Gladiolas,,,,1,4393,4,1,4389.39,4
Cosmos,,,,0.009,642,0.006,0.015,1149,0.013
Chrysanthemum,,,,0.030,626,0.019,0.029,527.17,0.156
Total Flower,3,,19,05,,26,4,,29
FRUITS(Temporary),,,,,,,,,
Banana (Ripe),121,6676,810,121,6903,833,122,6716,818
Pineapple,35,5914,208,37,5909,217,37,5864,218
Melon (Bangi),9,4512,41,9,4555,41,9,4593,41
Water Melon,29,7833,227,27,6878,188,30,8420,255
Strawberry,,,-,0.001,,0.054,0.036,2703,0.098
Waterfruites,,,,0.36,,1.39,0.326,4003,1
Crop,2017-18,,,2018-19,,,2019-20,,
,"Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield
(Kg)","Production
'000'M.
Tons","Area
'000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons"
"Total Temporary
Fruits",194,,1286,194,,1281,198,,1333
PERMANENT FRUITS,,,,,,,,,
Mango,110,76,1166,235,78,1220,235,77,1222
Jack Fruit,25,121,1076,41,116,1038,41,118.30,1002
Papaya (ripe),8,25,132,8,25,136,9,23,131
Litchi,41,66,94,44,56,80,32,56.10,81
Guava,11,23,242,97,24,237,67,23.98,226
Ber,4,48,114,40,52,129,39,53.83,131
Orange,221,25,3,45,20,3,2,24,3
Pamelo,1,37,68,31,39,72,32,43.50,81
Lime & Lemon,4,12,67,159,15,67,156,16,59
Tetul,15,44,12,15,42,12,11,42.70,11
Jamrul,0.008,34,11,6,37,13,6,36.97,12
Green Coconut,193,68,445,77,74,473,77,73.23,480
Wood apple,18,50,28,18,50,29,19,51,30
Black Berry,47,44,50,50,43,52,37,47.13,57
Kamranga,7,38,15,7,36,13,7,37,15
Jalpai,21,39,18,5,39,17,5,39,18
Amra,18,53,40,18,53,41,19,54,46
Atha,0,0,0,1,26,6,1,25,6
Dewya,0,0,0,0.056,24,2,0.052,23,1
Lotkon,0,0,0,0.348,27,2,0.354,28,2
Amlocki,0,0,0,3,28,3,3,29.63,3
