Sector of Fisheries,"Water Area
(Hectare)","Production (Metric
Ton)","% Of
Production",Productivity,
A. Inland Fisheries,,,,,
(i) Inland Open Water,,,,,
( C1.a Rptivuerer )a nd Estuary,853863,320598,7.50,376,kg/ha
2. Sundarbans,177700,18225,0.43,103,kg/ha
3. Beel,114161,99197,2.32,869,kg/ha
4. Kaptai Lake,68800,10152.,0.24,148,kg/ha
5. Floodplain,2712618,768367,17.97,283,kg/ha
Capture Total,3927142,1216539,28.45,,
(ii) Inland Closed Water,,,,,
6. (PCounldtu re),391753,1900298,44.43,485,kg/ha
7. Seasonal cultured water,136622,216353,5.06,1518,kg/ha
8. Baboord y,5488,8072,0.19,1447,kg/ha
9. Shrimp/Prawn Farm,258681,254367,5.95,9813,kg/ha
10. Crab*,9854*,11787,0.28,119,kg/ha
11. Pen Culture,5294,11015,0.24,2068,kg/ha
12. Cage Culture**,1.29 lakh,3523,0.10,217,kg/cu.
Culture Total,797851,2405415,56.24,,m
Inland Fisheries Total,"cu. meter**
4724993",3621954,84.69,,
B. Marine Fisheries,,,,,
13. Industrial (Trawl),,120087,2.81,,
14. Artisanal,,534600,12.50,,
Marine Fisheries Total,,654687,15.31,,
COUNTRY TOTAL,,4276641,100.00,,
