Year,Production,,,,,,,Import,,,,,,
,Urea,TSP,SSP,NPKS,ASP,Gypsum,Total,Urea,TSP,MOP,SSP,DAP,*Others,Total
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"1982-83
1983-84
1984-85
1985-86
1986-87
1987-88
1988-89
1989-90
1990-91
1991-92
1992-93
1993-94
1994-95
1995-96
1996-97
1997-98
1998-99
1999-00
2000-01
2001-02
2002-03
2003-04
2004-05
2005-06
2006-07
2007-08","508.80
724.25
741.55
842.28
846.46
1286.14
1446.83
1472.20
1421.03
1646.00
1996.00
2183.00
1973.00
2131.00
1639.00
1884.00
1607.00
1705.00
1883.00
1545.00
2056.74
1986.20
1878.30
1730.26
1816.86
1474.88","68.60
81.24
55.19
100.76
137.50
116.86
142.61
146.20
96.64
90.52
44.49
73.03
76.58
27.50
31.34
48.57
60.00
64.78
67.70
65.56
65.22
67.00
53.84
56.39
50.00
47.17","-
-
-
-
-
-
-
0.23
14.46
44.75
111.77
108.41
81.77
79.11
98.40
95.58
111.30
125.80
119.30
136.38
135.36
141.00
162.53
135.14
130.00
55.01","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
10.00
13.00
30.00
57.00
100.00
125.00
125.00
100.00","12.28
11.03
9.63
10.00
9.02
5.89
9.08
3.02
1.82
4.66
5.42
6.23
5.07
6.72
9.11
7.32
9.00
7.49
5.92
8.00
6.10
5.75
7.75
4.91
5.00
2.90","-
-
-
-
-
-
-
-
-
-
-
80.00
87.00
35.00
52.00
73.00
82.00
87.00
77.60
73.37
-
32.70
40.45
46.87
47.00
41.58","-
-
-
-
-
-
-
1621.65
1533.95
1785.93
2157.68
2450.67
2223.42
2279.33
1839.85
2108.47
1869.30
1990.07
2163.52
1841.73
2293.42
2289.65
2242.87
2098.57
2173l.86
1801.25","42.00
94.00
171.00
196.00
-
-
-
61.00
-
14.00
-
-
-
63.00
196.02
337.68
226.12
511.13
302.00
522.35
285.67
235.00
567.33
770.30
775.00
1161.35","134.00
124.00
408.00
356.00
93.00
191.00
379.00
232.00
312.00
466.00
239.12
125.08
54.51
64.00
-
28.20
151.00
215.29
363.00
340.90
327.58
359.00
451.42
373.93
290.00
254.04","43.00
60.00
75.00
87.00
47.00
83.00
148.00
75.50
145.00
120.00
78.32
101.14
228.46
102.43
208.00
202.88
244.00
214.63
123.00
247.92
278.45
271.50
407.25
208.06
230.00
224.60","-
-
-
-
-
-
-
-
-
-
-
-
558.94
502.02
427.77
246.57
262.00
43.32
-
-
-
-
-
-
-","-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
48.57
30.00
115.49
126.00
87.68
118.47
101.00
175.95
125.19
125.00
10.00","80.00
79.00
14.00
1.00
12.00
19.00
8.00
3.00
-
-
33.00
94.71
33.30
38.69
35.90
33.20
40.00
39.41
50.00
79.78
47.19
11.00
32.71
59.49
61.00","299.00
357.00
668.00
640.00
152.00
293.00
3535.00
371.50
457.00
600.00
350.44
320.93
875.21
770.14
867.69
897.10
953.12
1139.27
964.00
1278.63
1057.36
977.50
1634.66
1536.97
1481.00
1649.99"
