District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,120158,48625,15.89,1.466,71270,120158,48625,15.77,1.455,70731
2,Barishal,186581,75505,12.88,1.188,89704,200846,81278,12.53,1.156,93938
3,Bhola,123564,50004,19.29,1.779,88972,109299,44231,19.62,1.810,80046
4,Jhallokati,93945,38017,13.89,1.281,48708,93945,38017,19.77,1.824,69328
5,Patuakhali,213921,86569,12.23,1.128,97658,214639,86860,12.39,1.143,99267
6,Pirojpur,127925,51768,16.79,1.549,80174,127207,51478,19.47,1.796,92450
1,"Barishal
Division",866094,350489,14.74,1.359,476485,866094,350489,15.64,1.443,505761
7,Bandarban,390,158,19.68,1.815,286,753,305,17.28,1.594,486
8,Brahmanbaria,8895,3600,12.21,1.126,4054,8735,3535,12.91,1.191,4209
9,Chandpur,14567,5895,15.56,1.435,8461,21938,8878,12.60,1.162,10318
10,Chattogram,63076,25525,16.56,1.527,38990,62708,25377,17.70,0.000,41431
11,Cumilla,20122,8143,15.56,1.435,11687,9425,3814,15.73,1.451,5534
12,Cox’s Bazar,9782,3959,15.78,1.456,5762,7246,2932,15.26,1.408,4127
13,Feni,16819,6806,15.23,1.405,9562,16532,6690,14.89,1.373,9189
14,Khagrachari,3768,1525,19.45,1.794,2736,3834,1552,18.79,1.733,2689
15,Lakshmipur,10542,4266,15.45,1.425,6080,36156,14632,14.22,1.312,19192
16,Noakhali,131158,53077,15.23,1.405,74563,130826,52942,18.17,1.676,88731
17,Rangamati,578,234,15.89,1.466,343,594,240,15.85,1.462,351
2,"Chattogram
Division",279697,113187,15.57,1.436,162523,298747,120896,16.70,1.541,186257
18,Dhaka,5449,2205,17.02,1.57,3462,4785,1936,19.48,1.797,3479
19,Faridpur,9439,3820,16.54,1.526,5828,7659,3099,17.88,0.000,5112
20,Gazipur,15530,6285,16.04,1.48,9298,8324,3368,18.41,1.698,5720
21,Gopalganj,11488,4649,17.12,1.579,7341,10523,4258,17.33,1.599,6807
22,Kishoreganj,12588,5094,17.25,1.591,8105,12573,5088,15.03,1.386,7054
23,Madaripur,13544,5481,16.01,1.477,8094,19603,7933,16.41,1.514,12008
24,Manikganj,518,210,15.01,1.385,290,471,191,17.25,1.591,303
25,Munshiganj,0,0,0,0,0,0,0,0,0,0
26,Narayanganj,1935,783,16.22,1.496,1172,1687,683,16.30,1.504,1026
27,Narsingdi,21577,8732,16.14,1.489,12999,7394,2992,14.37,1.325,3966
28,Rajbari,4113,1664,17.05,1.573,2618,995,403,17.44,1.609,648
