District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,31,322,317,28,32,27,175,184,189,203,203,216
2,Barishal,0,893,981,0,0,0,1141,1907,1219,1141,1141,1219
3,Bhola,0,269,336,0,0,2,208,252,265,208,208,267
4,Jhallokati,0,1490,1530,0,3,4,264,249,246,264,264,250
5,Patuakhali,0,353,389,0,0,0,494,223,511,494,494,262
6,Pirojpur,2,458,469,26,24,27,463,495,2692,489,489,538
1,Barishal Division,33,3785,4022,54,59,60,2745,928,116,2799,2799,2452
7,Bandarban,362,3383,3240,303,303,347,180,154,116,483,483,463
8,Brahmanbaria,0,79,108,0,0,0,560,628,674,560,560,674
9,Chandpur,0,119,82,0,43,37,912,223,229,912,912,266
10,Chattogram,99,69182,65350,1174,5105,3626,6506,158550,3323,7680,5000,6952
11,Cumilla,2,1024,1278,20,2,406,2365,2,1907,2389,2389,2313
12,Cox’s Bazar,118,70218,70193,235,206,233,625,644,650,860,860,883
13,Feni,0,193,72,0,541,2,233,6687,146,233,143,148
14,Khagrachari,219,264,250,272,206,215,437,260,242,709,709,457
15,Lakshmipur,9,488,490,29,0,0,221,332,332,250,250,332
16,Noakhali,0,73,99,0,0,0,406,374,353,406,406,353
17,Rangamati,173,661,660,1009,2342,117,772,1128,1673,1781,1781,1790
2,"Chattogram
Division",982,145684,141822,3042,8748,4986,13217,168982,9645,16263,13493,14631
18,Dhaka,742,552,413,8028,6763,4510,1727,57,619,9755,3820,5129
19,Faridpur,14,146,151,26,277,248,290,26,22,316,316,270
20,Gazipur,184,511,350,297,175,224,432,336,87,729,729,311
21,Gopalganj,0.3,611,735,5,0,0,238,374,193,243,243,193
22,Kishoreganj,38,57,72,44,0,19,428,504,689,472,472,708
23,Madaripur,0,111,120,0,78,0,187,30,463,187,187,463
24,Manikganj,47,255,290,390,2900,458,57,392,389,447,447,847
25,Munshiganj,0,42,39,0,0,0,107,96,103,107,107,103
26,Narayanganj,2,35,34,14,131,22,130,23,131,144,144,153
27,Narsingdi,48,80,120,143,353,194,371,438,2386,514,514,2580
28,Rajbari,37,19,97,72,267,196,216,77,56,288,288,252
29,Shariatpur,0,25,35,0,0,0,259,21,9,259,259,9
30,Tangail,81,344,390,132,0,271,587,0,543,719,719,814
3,Dhaka Division,1193,2788,2846,9151,10944,6142,5029,2374,5690,14180,8245,11832
31,Bagerhat,11,10,41,21,0,320,269,531,18,290,290,338
32,Chuadanga,9,47,46,55,64,64,126,34,33,181,181,97
33,Jashore,134,663,750,372,611,544,493,427,478,865,865,1022
34,Jhenaidah,6,111,150,16,331,0,421,121,700,437,437,700
35,Khulna,30,100,120,30,666,387,655,30,37,685,685,424
36,Kushtia,0,135,180,0,1273,253,137,491,45,137,137,298
37,Magura,9,17,85,78,0,447,612,327,975,690,690,1422
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,61,154,195,423,328,303,326,470,496,749,749,799
39,Narail,4,266,322,68,497,548,642,220,245,710,710,793
40,Satkhira,88,138,166,107,269,216,241,91,219,348,348,435
4,Khulna Division,352,1641,2055,1170,4039,3082,3922,2742,3246,5092,5092,6328
41,Jamalpur,3,154,350,18,0,88,274,512,806,292,292,894
42,Mymensingh,320,760,790,1366,1816,2054,5844,85,41,7210,1901,2095
43,Netrokona,7,1,105,41,0,0,324,1773,1346,365,365,1350
44,Sherpur,8,27,58,14,0,32,324,385,174,338,338,206
5,"Mymensingh
Division",338,942,1303,1439,1816,2174,6766,2755,2371,8205,2896,4545
45,Bogura,0,94,77,0,0,0,295,295,139,295,295,139
46,Joypurhat,9,9,27,33,83,38,78,31,66,111,111,104
47,Naogaon,11,349,370,40,609,51,570,121,524,610,610,575
48,Natore,57,49,120,386,624,627,744,311,491,1130,1130,1118
49,Chapai Nawabganj,145,0,150,260,0,299,288,0,293,548,548,592
50,Pabna,69,71,150,431,652,464,1483,1358,1378,1914,1914,1842
51,Rajshahi,48,378,420,148,768,623,823,196,125,971,971,748
52,Sirajganj,6,6,35,7,833,0,870,7,577,877,877,577
6,Rajshahi Division,345,956,1349,1305,3569,2102,5151,2319,3593,6456,6456,5695
53,Dinajpur,50,293,239,100,113,186,0,601,41,741,741,230
54,Gaibandha,0,101,127,0,0,0,255,265,143,255,255,143
55,Kurigram,0.8,66,92,2,6,0,174,113,58,176,176,58
56,Lalmonirhat,14,77,94,32,81,80,240,317,325,272,272,405
57,Nilphamari,1.4,47,50,0,23,0,274,254,109,274,274,109
58,Panchagar,5,183,185,10,45,202,293,394,11,303,303,213
59,Rangpur,33,50,95,54,71,0,289,286,44,343,343,44
60,Thakurgaon,12,1164,957,106,84,142,245,210,42,351,351,184
7,Rangpur Divison,116.2,1981,1839,304,423,613,1770,2440,773,2715,2715,1386
61,Habiganj,66,66,75,269,657,548,654,252,286,923,923,834
62,Moulvibazar,872,872,780,7145,2749,2285,2749,7145,7627,9894,9894,9912
63,Sunamganj,20,20,147,72,71,0,71,72,295,143,143,295
64,Sylhet,107,107,201,115,270,250,292,139,92,407,407,342
8,Sylhet Division,1065,1065,1203,7601,2747,3083,3766,7514,8300,11367,10273,11383
BANGLADESH,,4425,158842,156440,24066,22957,22242,42366,34086,36310,67077,57043,58552
