Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
Dhaka,27.2,28.4,31.5,33.7,34.6,33.6,33,33.8,33.3,32.1,30.3,24.8
Tangail,26.3,28,31.3,33.2,34.8,34.1,33.4,34.1,33.1,32,29.9,24.1
Mymensingh,26.3,27,29.8,31.7,32.5,32.4,32.5,33.6,32.4,31.2,30,24.5
Faridpur,26.6,28.2,31.9,34.3,35.11,34.1,33.5,33.5,33.1,32.1,30.5,24.9
Madaripur,26.9,28.3,31.8,33.9,35.2,34.3,33,33.2,32.8,32.1,29.9,25.2
Srimangal,27.1,28.3,31,33,33.7,33.4,32.7,34,33.4,31.6,29.8,25.5
Sylhet,27.9,28.3,31.1,32.5,32.3,32.8,32.4,34.4,33.2,31.6,30.1,26.2
Bogura,26.7,27.7,31.1,32.5,33.8,33.6,32.7,33.9,32.4,31.4,30.7,24.8
Dinajpur,25.8,26.6,30.7,31.4,34.1,34.2,32.9,34.6,31.9,30.7,30,23.4
Ishwardi,25.6,27.8,32.2,34.1,35.9,34.9,34,33.9,32.6,31.4,29.7,23.4
Rajshahi,25.5,27.6,32.1,34.5,36.1,35.8,34.5,34.5,33.4,31.4,30,24.4
Rangpur,25.7,26.4,30.1,31.1,32.1,33.7,32.8,34.2,31.6,30.7,29.9,23.5
Syedpur,26.5,26.9,31,31.8,33,34.1,32.8,34.6,32,31.1,30.2,24
chuadanga,25.9,28.1,32.4,34.6,36.1,35.2,34.1,33.6,32.9,31.8,29.9,24.5
Jashore,26.9,28.9,32.2,34.9,36.6,36,34.5,33.7,33.2,32.3,30.4,25.5
Khulna,26.9,28.6,31.8,34.6,36.2,35.2,33.7,33.1,32.9,32,29.7,24.6
Mongla,26.8,29.1,32,34.4,36.1,34.8,33.6,33,32.6,32.2,29.8,25.4
Satkhira,26.3,28.4,31.6,34.3,35.8,34.8,34,33.1,33,32.4,30.1,25.1
Barishal,27,28.9,31.9,33.8,34.9,34,32.3,32.7,32.3,32.2,30.3,25.8
Bhola,27.4,28.5,31.7,33.9,34.5,33.9,31.9,32.4,32.2,32,30.2,25.7
Khepupara,27.7,29.6,32.2,33.9,34.3,33.5,31.8,32.3,31.8,31.9,30.1,26.4
Patuakhali,27.2,29.1,32.5,34.5,35.1,34,32.2,32.3,32.3,32.3,29.9,26.1
Chandpur,27,28.3,31.7,34,34.8,34.3,32.5,33.3,33.3,32.6,30.9,25.7
Ambagan(Ctg,28.1,29.1,31.4,33.7,33.9,33,31.2,32.2,32.1,32.2,31.2,27.6
Chittagong,27.4,28.9,31,33.2,33.8,33.3,31.5,32.7,32.5,32.4,30.7,26.8
Cumilla,26.9,27.7,30.3,32.6,33.6,33.2,31.5,32.6,32.5,31.6,30,25
Cox's Bazar,28.2,29.6,31.3,33.8,34.2,32.6,31,31.5,31.5,32.4,31.3,27.6
Feni,28.2,29,31.6,34,34.5,33.9,31.9,33,32.8,32.2,30.7,25.9
Hatiya,27.6,28.6,31.2,33.5,34.1,33.3,30.9,31.8,31.9,32,29.7,25.4
Kutubdia,26.6,28,30.4,33.2,34.2,33.4,31.1,32.1,31.8,32,30.7,27.2
M.court,27.4,28.3,31.5,34,35.1,34,32,32.9,32.5,31.9,29.9,25.1
Rangamati,27.3,29.1,32,34.7,34.6,33.6,31.3,33,33.1,32.4,30.5,26.1
Sandwip,27.9,28.7,31.3,33.4,33.4,32.9,30.8,32.2,32.2,32.1,30.6,26
Sitakundu,29,29.8,32.1,33.7,33.6,33.5,31.6,32.6,32.7,32.7,31,26.9
Teknaf,28.5,29.7,31.5,33.4,34.1,32.4,30.6,31.6,31.6,32.4,31.9,28.6
Gopalgonj,26.3,28.2,31.2,33.6,34.8,34,32.7,32.4,32.2,31.4,29.5,24.7
Tarash,25.1,26.4,29.7,32.2,34.2,33.9,32.9,33.3,32.3,30.9,29.6,23.9
Netrokona,26.7,26.8,29.6,31.3,31.8,31.9,31.5,33,31.9,30.6,29.7,24.7
Rajarhat,25.4,25.9,30,30.7,30.9,33.1,31.9,34.1,31.6,30.3,29.5,23.3
Badalgachhi,25.6,26.3,30.1,31.6,33.8,33.7,32.8,33.1,31.5,30.4,29.6,23.5
Dimla,26,26.2,30.2,30.8,31,33.4,31.8,34.1,30.9,30.4,30,23.6
Netrokona,25.7,27.5,31.5,33.5,35.2,34.2,33.3,33.1,31.6,30.9,29.4,24.7
