Variety,2018-19,,2019-20,,"Percentage changes
over previous year"
,"Yield per acre
(Maunds)","Yield per
hector
(M. Ton)","Yield per acre
(Maunds)","Yield per
hector
(M. Ton)",
Local,20.28,1.870,20.21,1.825,(-) 2.41
HYV,42.82,3.950,43.61,4.022,(+) 1.82
Hybrid,52.25,4.820,50.50,4.658,(-) 3.36
"Total (Local+
HYV+ Hybrid)",44.29,4.085,44.72,4.125,(+) 0.98
