Item,Year,Area ‘000’ Acres,Production ‘000’ Metric Tons
Major cereals,2019-20,29855,37632
,2018-19,29272,37408
,2017-18,29566,37377
Aus Rice,2019-20,2706,2755
,2018-19,2731,2775
,2017-18,2657,2710
Aman Rice,2019-20,13739,14203
,2018-19,13892,14055
,2017-18,14035,13993
Boro Rice,2019-20,11768,19645
,2018-19,11832,19560
,2017-18,12008,19576
Wheat,2019-20,821,1029
,2018-19,816,1017
,2017-18,868,1099
Minor cereals,2019-20,1167,4015
,2018-19,1102,3570
,2017-18,993,3289
Total cereals,2019-20,29178,38142
,2018-19,30374,40978
,2017-18,30559,40666
Potato,2019-20,1140,9606
,2018-19,1158,9655
,2017-18,1180,9744
Jute (bales),2019-20,1679,8045
,2018-19,1852,8576
,2017-18,1873,8895
Maize,2019-20,1166,4015
,2018-19,1100,3569
,2017-18,990,3288
Pulses,2019-20,882,397
,2018-19,875,393
,2017-18,897,390
Oil Seeds,2019-20,1183,972
,2018-19,1098,954
,2017-18,1122,1026
Spices & Condiments,2019-20,1046,2998
,2018-19,995,2667
,2017-18,997,2587
Chillies,2019-20,239,158
,2018-19,239,149
,2017-18,250,141
Onion,2019-20,458,1954
,2018-19,426,1803
,2017-18,441,1738
Drugs & Narcotics,2019-20,398,719
,2018-19,431,747
,2017-18,402,597
Tea,2019-20,147,90
,2018-19,133,91
,2017-18,166,78
Tobacco,2019-20,100,86
,2018-19,147,129
,2017-18,105,89
Vegetables,2019-20,1111,4574
,2018-19,1072,4336
,2017-18,1020,4115
Tomato,2019-20,70,415
,2018-19,70,388
,2017-18,70,385
Sweet Potato,2019-20,61,246
,2018-19,57,236
,2017-18,59,247
Sugar Crops (Temporary),2019-20,213,3683
,2018-19,200,3142
,2017-18,223,3639
Sugar Crops (Permanent),2019-20,240,472
,2018-19,260,489
,2017-18,657,543
Fruits (Temporary),2019-20,198,1332
,2018-19,194,1281
,2017-18,194,1286
Fruits (Permanent),2019-20,811,3644
,2018-19,912,3667
,2017-18,1274,3615
