District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,0,0,20.95,0.000,0,0,0,0.00,0.000,0
2,Barishal,9162,3708,21.82,2.013,7462,6758,2735,18.86,1.740,4758
3,Bhola,3444,1394,20.63,1.903,2652,3430,1388,20.87,1.925,2672
4,Jhallokati,24,10,29.79,2.748,27,12,5,32.00,2.952,14
5,Patuakhali,1050,425,17.98,1.658,705,753,305,23.16,2.136,651
6,Pirojpur,155,63,20.79,1.918,120,100,40,19.16,1.767,72
1,"Barishal
Division",13835,5599,21.23,1.959,10966,11053,4473,19.79,1.826,8166
7,Bandarban,0,0,0,0.000,0,0,0,0.00,0.000,0
8,Brahmanbaria,722,292,13.51,1.246,364,179,73,12.51,1.154,84
9,Chandpur,776,314,20.88,1.926,605,457,185,17.71,1.634,302
10,Chattogram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
11,Cumilla,2961,1198,14.02,0.000,1550,1235,500,25.43,2.346,1172
12,Cox’s Bazar,1300,526,33.61,3.100,1631,2954,1196,30.61,2.823,3376
13,Feni,0,0,0.00,0.000,0,0,0,26.19,0.000,0
14,Khagrachari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
15,Lakshmipur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
16,Noakhali,0,0,0.00,0.000,0,0,0,0.00,0.000,0
17,Rangamati,0,0,0.00,0.000,0,0,0,0.00,0.000,0
2,"Chattogram
Division",5759,2331,19.30,1.780,4149,4825,1953,27.39,2.527,4934
18,Dhaka,1043,422,16.09,1.484,626,858,347,24.92,2.299,798
19,Faridpur,3794,1536,17.09,1.576,2421,3668,1484,20.89,1.927,2860
20,Gazipur,427,173,16.20,0.000,258,389,157,15.89,1.466,231
21,Gopalganj,189,76,22.74,2.098,160,212,86,22.58,2.083,179
22,Kishoreganj,812,329,18.11,1.670,549,912,369,21.46,1.979,731
23,Madaripur,0,0,0.00,0.000,0,821,332,19.25,1.776,590
24,Manikganj,419,170,17.14,1.581,268,2253,912,17.28,1.594,1453
25,Munshiganj,90,36,13.50,1.245,45,312,126,14.20,1.310,165
26,Narayanganj,429,174,19.61,1.809,314,248,100,17.65,1.628,163
27,Narsingdi,407,165,19.90,1.836,302,398,161,20.31,1.873,302
28,Rajbari,398,161,16.29,1.503,242,677,274,17.56,1.620,444
29,Shariatpur,4784,1936,18.87,1.741,3370,4817,1949,18.52,1.708,3330
30,Tangail,1957,792,36.70,3.385,2681,1811,733,19.98,1.843,1350
3,"Dhaka
Division",14749,5969,20.41,1.883,11237,17376,7032,19.42,1.791,12596
31,Bagerhat,3518,1424,22.84,2.107,2999,827,335,18.84,1.738,582
32,Chuadanga,0,0,0,0.000,0,0,0,0.00,0.000,0
33,Jashore,0,0,0,0.000,0,0,0,0.00,0.000,0
34,Jhenaidah,0,0,0,0.000,0,0,0,0.00,0.000,0
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
35,Khulna,216,87,20.60,1.900,166,216,87,19.26,1.777,155
36,Kushtia,0,0,0,0.000,0,0,0,0.00,0.000,0
37,Magura,0,0,0,0.000,0,0,0,0.00,0.000,0
38,Meherpur,0,0,0,0.000,0,0,0,0.00,0.000,0
39,Narail,60,24,27.41,2.528,61,42,17,25.41,0.000,40
40,Satkhira,0,0,0.00,0.000,0,0,0,0.00,0.000,0
4,"Khulna
Division",3794,1535,22.78,2.102,3227,1085,439,19.18,1.769,777
41,Jamalpur,1356,549,20.93,1.931,1059,1118,452,18.69,1.724,780
42,Mymensingh,377,153,24.65,2.274,347,293,119,25.89,2.388,283
43,Netrokona,791,320,22.89,2.111,676,796,322,24.23,2.235,720
44,Sherpur,168,68,17.60,1.623,110,173,70,18.63,1.718,120
5,"Mymensingh
Division",2692,1089,21.82,2.013,2192,2380,963,21.42,1.976,1903
45,Bogura,3717,1504,18.74,1.729,2600,2336,945,18.96,1.749,1653
46,Joypurhat,0,0,0.00,0.000,0,0,0,0,0.000,0
47,Naogaon,0,0,0.00,0.000,0,0,0,0,0.000,0
48,Natore,27,11,23.45,2.163,24,25,10,21.87,2.017,20
49,"Chapai
Nawabganj",0,0,0.00,0.000,0,0,0,0,0.000,0
50,Pabna,920,372,17.39,1.604,597,1016,411,17.62,1.625,668
51,Rajshahi,0,0,0.00,0.000,0,0,0,0,0.000,0
52,Sirajganj,5707,2309,22.86,2.109,4870,5181,2097,22.96,2.118,4440
6,"Rajshahi
Division",10371,4197,20.90,1.928,8091,8558,3463,21.23,1.958,6782
53,Dinajpur,0,0,0.00,0.000,0,0,0,0,0.000,0
54,Gaibandha,1647,667,18.67,1.722,1148,1568,635,18.55,1.711,1086
55,Kurigram,3088,1250,20.93,1.931,2413,3231,1308,18.39,1.696,2218
56,Lalmonirhat,0,0,0.00,0.000,0,0,0,0,0.000,0
57,Nilphamari,0,0,0.00,0.000,0,0,0,0,0.000,0
58,Panchagar,0,0,0.00,0.000,0,0,0,0,0.000,0
59,Rangpur,0,0,0.00,0.000,0,0,0,0,0.000,0
60,Thakurgaon,0,0,0.00,0.000,0,0,0,0,0.000,0
7,"Rangpur
Divison",4735,1916,20.14,1.858,3560,4799,1942,18.44,1.701,3304
61,Habiganj,93,38,19.89,1.835,69,139,56,16.17,1.492,84
62,Moulvibazar,775,314,20.61,1.901,596,763,309,21.75,2.006,619
63,Sunamganj,10298,4167,20.14,1.858,7742,9441,3821,18.24,1.682,6428
64,Sylhet,44920,18178,19.65,1.813,32950,21509,8704,18.58,1.714,14917
8,"Sylhet
Division",56086,22697,19.75,1.822,41357,31852,12890,20.21,1.711,22049
,Bangladesh,112021,45332,20.28,1.870,84779,81928,33154,20.21,1.825,60510
