"SL
No",Name of Region,Aman,Boro,Wheat,"Sugar-
cane",Cotton,Potato,Vegetables,"Other
Crops","Total
Irrigated
Area"
1,Bandarban,0,8,0,..,1,2,2,1,14
2,Khagrachari,11,25,0,1,2,2,12,8,61
3,Rangamati,0,18,0,1,0,1,7,4,31
4,Chattogram,4,165,..,2,0,10,62,27,270
5,Coxs Bazar,6,116,0,..,0,4,21,12,159
6,Cumilla,12,388,2,1,0,14,21,11,449
7,Chandpur,..,156,..,1,0,20,8,1,186
8,Brahmmanbaria,18,263,1,0,0,2,10,1,295
9,Noakhali,..,147,0,..,0,0,6,2,155
10,Lakshmipur,0,112,..,..,0,1,4,3,120
11,Feni,0,71,..,..,..,..,11,2,84
,Chattogram Division,51,1469,3,6,3,56,164,72,1824
12,Sylhet,52,136,1,0,0,2,20,11,222
13,Moulvibazar,4,96,..,0,..,4,10,5,119
14,Sunamganj,15,361,1,0,0,4,13,9,403
15,Habiganj,11,233,..,0,0,4,10,5,263
,Sylhet Division,82,826,2,0,0,14,53,30,1007
16,Dhaka,5,118,0,0,0,4,3,..,130
17,Gazipur,23,150,..,1,..,1,9,5,189
18,Manikganj,16,120,..,..,0,3,6,35,180
19,Munshiganj,0,59,..,..,0,74,8,8,149
20,Narayanganj,4,51,..,..,0,6,19,5,85
21,Narsingdi,17,122,..,..,0,..,29,1,169
22,Faridpur,50,74,77,5,0,1,17,72,296
23,Rajbari,75,79,36,0,0,..,8,13,211
24,Madaripur,7,84,12,..,0,2,8,28,141
25,Gopalganj,15,184,15,..,0,..,5,10,229
26,Shariatpur,15,58,7,..,0,3,10,10,103
27,Tangail,63,418,6,..,..,4,25,12,528
28,Kishoreganj,16,396,2,..,0,9,10,5,438
,Dhaka Division,306,1913,155,6,0,107,157,204,2848
29,Mymensingh,19,614,3,2,..,3,31,2,674
30,Jamalpur,45,310,16,11,0,11,17,14,424
31,Sherpur,11,222,2,..,0,8,17,6,266
32,Netrokona,12,411,1,..,0,1,7,5,437
,Mymensingh Division,87,1557,22,13,0,23,72,27,1801
33,Barishal,1,143,2,1,0,2,14,2,165
34,Jhalokathi,1,36,..,..,0,..,6,1,44
35,Perojpur,0,43,..,..,0,3,12,3,61
36,Bhola,0,110,1,..,0,6,17,8,142
37,Patuakhali,1,4,0,0,0,1,3,32,41
38,Barguna,..,15,0,..,0,1,12,4,32
,Barishal Division,3,351,3,1,0,13,64,50,485
39,Jashore,166,382,2,1,2,6,50,35,644
40,Jhenaidah,156,198,18,3,4,4,36,103,522
41,Magura,83,91,19,..,..,..,36,50,279
42,Narail,29,89,7,1,0,..,9,6,141
43,Khulna,6,148,..,..,0,2,18,7,181
44,Bagerhat,1,105,..,..,0,1,15,3,125
45,Satkhira,9,176,2,..,0,6,43,6,242
46,Kushtia,206,98,21,9,1,9,48,145,537
47,Chuadanga,102,118,12,14,1,5,85,191,528
48,Meherpur,59,53,20,2,1,4,56,94,289
,Khulna Division,817,1458,101,30,9,37,396,640,3488
49,Rajshahi,161,156,62,21,..,97,58,129,684
50,Naogaon,257,473,47,..,0,49,39,87,952
51,Natore,84,150,56,28,0,2,12,49,381
52,Chapai Nawabganj,89,105,57,3,0,3,10,88,355
53,Bogura,91,454,5,..,1,152,32,51,786
54,Joypurhat,17,172,6,2,0,79,11,4,291
55,Pabna,96,146,71,3,0,6,28,78,428
56,Sirajganj,121,348,7,..,0,3,14,61,554
,Rajshahi Division,916,2004,311,57,1,391,204,547,4431
57,Rangpur,43,334,5,3,..,113,25,28,551
58,Gaibandha,38,318,7,1,..,23,27,24,438
59,Kurigram,26,244,23,..,0,18,10,8,329
60,Nilphamari,55,208,12,0,0,57,17,46,395
61,Lalmonirhat,39,124,4,..,..,11,8,62,248
62,Dinajpur,201,442,26,5,..,132,52,103,961
63,Thakurgaon,51,143,129,26,0,59,16,81,505
64,Panchagarh,..,67,32,1,0,19,11,28,158
,Rangpur Division,453,1880,238,36,0,432,166,380,3585
,BANGLADESH,2715,11458,835,149,13,1073,1276,1950,19469
