District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,0,215,329,0,0,0,161,163,150,161,161,150
2,Barishal,0,891,783,0,0,0,1493,1519,1518,1493,1519,1518
3,Bhola,0,257,243,0,0,0,402,167,270,402,167,270
4,Jhallokati,0,602,512,0,0,0,815,806,800,815,806,800
5,Patuakhali,0,237,546,0,0,0,223,221,313,223,221,313
6,Pirojpur,0,603,2632,0,0,0,901,819,980,901,819,980
1,Barishal Division,0,2805,534,0,0,0,4001,3701,3701,3995,3693,3701
7,Bandarban,250,510,534,545,167,525,298,293,317,843,460,842
8,Brahmanbaria,12,401,317,467,570,410,1038,911,967,1505,1481,1377
9,Chandpur,0,254,169,0,0,35,431,417,231,431,417,266
10,Chattogram,31,35,542,354,364,834,3229,3228,5026,3583,3592,5860
11,Cumilla,0,612,486,0,0,575,1881,1554,1018,1881,1554,1593
12,Cox’s Bazar,32,321,381,139,143,172,566,568,279,705,711,451
13,Feni,0,23,159,0,0,565,162,167,6897,162,167,7462
14,Khagrachari,123,734,547,253,315,355,598,594,618,851,909,973
15,Lakshmipur,0,492,251,0,0,0,0,243,245,0,243,245
16,Noakhali,0,310,242,0,0,0,341,250,283,341,250,283
17,Rangamati,52,646,687,206,422,455,1298,2423,2568,1504,2845,3023
2,"Chattogram
Division",500,4338,4315,1964,1981,3926,9842,10648,18449,11806,12629,22375
18,Dhaka,0,449,342,0,0,0,920,869,1230,920,869,1230
19,Faridpur,0,63,134,0,28,28,735,560,570,735,588,598
20,Gazipur,78,465,482,254,550,159,614,290,542,868,840,701
21,Gopalganj,0,489,464,0,0,0,627,639,675,627,639,675
22,Kishoreganj,4,535,572,145,56,116,1288,1261,585,1433,1317,701
23,Madaripur,0,171,185,0,0,0,766,435,590,766,435,590
24,Manikganj,0,191,234,0,0,0,720,695,717,720,695,717
25,Munshiganj,0,76,127,0,0,0,153,156,165,153,156,165
26,Narayanganj,0,80,116,0,0,26,139,135,116,139,135,142
27,Narsingdi,3,22,165,17,0,64,829,771,936,846,771,1000
28,Rajbari,0,389,440,0,0,121,1519,1227,1062,1519,1227,1183
29,Shariatpur,0,429,581,0,0,192,535,319,226,535,319,418
30,Tangail,0,396,461,0,0,508,1789,1826,1081,1789,1826,1589
3,Dhaka Division,85,3755,4303,416,634,1214,10634,9183,8495,11050,9817,9709
31,Bagerhat,0,607,658,0,0,0,672,694,694,672,694,694
32,Chuadanga,0,115,158,0,56,56,294,145,150,294,201,206
33,Jashore,227,840,789,97,104,299,2180,2234,2106,2277,2338,2405
34,Jhenaidah,0,402,316,0,0,0,1395,1443,1454,1395,1443,1454
35,Khulna,0,521,527,0,0,0,1081,887,987,1081,887,987
36,Kushtia,30,600,584,273,255,263,1202,1282,1385,1475,1537,1648
37,Magura,0,334,434,0,0,0,1563,1478,4113,1563,1478,4113
38,Meherpur,0,163,173,0,0,0,703,712,714,703,712,714
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,0,472,528,0,381,364,1584,1206,1092,1584,1587,1456
40,Satkhira,0,274,283,0,0,0,598,622,816,598,622,816
4,Khulna Division,257,4328,4328,370,796,982,11272,10703,13511,11642,11499,14493
41,Jamalpur,0,372,419,0,0,0,888,823,827,888,823,827
42,Mymensingh,5,2140,2143,84,75,112,3961,3845,2406,4045,3920,2518
43,Netrokona,0,474,516,0,0,0,398,610,1398,398,610,1398
44,Sherpur,0,261,361,0,0,0,597,435,443,597,435,443
5,"Mymensingh
Division",5,3247,3439,84,75,112,5844,5713,5074,5928,5788,5186
45,Bogura,0,872,672,0,0,0,1615,1619,1617,1615,1619,1617
46,Joypurhat,0,98,135,0,0,0,221,203,257,221,203,257
47,Naogaon,0,329,389,0,27,27,540,584,583,540,611,610
48,Natore,2,574,540,11,10,13,3374,3235,3287,3385,3245,3300
49,Chapai Nawabganj,1,136,112,10,0,0,325,372,389,335,372,389
50,Pabna,0,337,353,0,0,69,550,643,527,550,643,596
51,Rajshahi,0,492,579,0,275,275,1779,1575,1322,1779,1850,1597
52,Sirajganj,0,396,591,0,0,0,1165,1148,1132,1165,1148,1132
6,Rajshahi Division,3,3234,3371,21,312,384,9569,9379,9114,9590,9691,9498
53,Dinajpur,0,416,447,33,37,33,1300,1279,1158,1333,1316,1191
54,Gaibandha,0,269,285,0,0,0,669,389,410,669,389,410
55,Kurigram,0,172,147,0,0,0,529,406,416,529,406,416
56,Lalmonirhat,0,226,159,0,0,0,628,557,561,628,557,561
