District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,202011,81749,20.89,1.927,157492,191881,77650,19.37,1.787,138760
2,Barishal,301636,122065,18.54,1.71,208723,321096,129941,17.34,1.599,207814
3,Bhola,430608,174258,26.35,2.43,423522,394733,159740,25.79,2.379,379971
4,Jhallokati,117242,47445,16.7,1.54,73084,118050,47772,21.71,2.002,95646
5,Patuakhali,422852,171119,20.52,1.893,323902,420939,170345,21.47,1.980,337294
6,Pirojpur,159253,64446,18.52,1.708,110101,157249,63635,20.60,1.900,120910
1,"Barishal
Division",1633602,661083,21.27,1.962,1296824,1603948,649083,21.39,1.973,1280395
7,Bandarban,24280,9826,28.92,2.667,26210,25641,10376,29.92,2.760,28634
8,Brahmanbaria,133122,53872,26.8,2.472,133161,137615,55690,29.33,2.705,150660
9,Chandpur,109143,44168,19.49,1.798,79413,88640,35871,20.39,1.881,67475
10,Chattogram,419393,169719,27.83,2.567,435740,417317,168879,26.29,2.425,409541
11,Cumilla,333029,134770,25.43,2.346,316154,287974,116537,24.40,2.251,262318
12,Cox’s Bazar,181366,73395,28.97,2.672,196112,198318,80255,29.89,2.758,221303
13,Feni,152599,61753,28.21,2.602,160699,159979,64740,27.24,2.512,162648
14,Khagrachari,66123,26758,29.57,2.727,72981,67042,27130,31.88,2.940,79770
15,Lakshmipur,179248,72538,27.69,2.554,185273,195707,79198,26.13,2.410,190885
16,Noakhali,363746,147200,24.21,2.233,328736,373322,151075,25.77,2.377,359150
17,Rangamati,23616,9557,28.73,2.65,25324,23686,9585,31.43,2.899,27788
2,"Chattogram
Division",1985665,803555,26.44,2.439,1959802,1975241,799337,26.59,2.452,1960174
18,Dhaka,19917,8060,16.93,1.561,12583,26997,10925,24.97,2.304,25167
19,Faridpur,205837,83298,28.08,2.59,215743,202021,81753,28.31,2.611,213497
20,Gazipur,108392,43864,28.84,2.66,116674,105438,42668,29.52,2.723,116198
21,Gopalganj,65828,26639,16.48,1.521,40506,79698,32252,20.83,1.921,61972
22,Kishoreganj,175299,70940,30.06,2.773,196690,172372,69755,31.36,2.893,201807
23,Madaripur,65392,26463,17.81,1.643,43480,55126,22308,20.01,1.846,41183
24,Manikganj,86197,34882,14.09,1.299,45328,52947,21426,22.92,2.114,45294
25,Munshiganj,50877,20589,10.94,1.009,20772,45597,18452,8.57,0.790,14579
26,Narayanganj,26236,10617,16.46,1.518,16118,23508,9513,13.68,1.262,12005
27,Narsingdi,100231,40561,27.11,2.501,101431,92198,37310,30.94,2.854,106477
28,Rajbari,121563,49194,30.1,2.777,136599,111685,45196,24.87,2.294,103695
29,Shariatpur,35885,14522,16.79,1.549,22493,34018,13766,16.14,1.489,20499
30,Tangail,276628,111945,23.02,2.123,237661,232257,93989,25.11,2.316,217658
3,"Dhaka
Division",1338282,541574,24.14,2.227,1206076,1233862,499317,25.29,2.333,1164960
31,Bagerhat,170832,69132,18.32,1.69,116802,177975,72023,21.89,2.019,145396
32,Chuadanga,80756,32680,29.8,2.748,89821,81295,32898,28.12,2.594,85331
33,Jashore,311921,126228,31.3,2.887,364433,325657,131786,33.85,3.123,411518
34,Jhenaidah,244731,99037,30.88,2.848,282094,252018,101986,32.55,3.002,306203
35,Khulna,236253,95606,25.44,2.347,224346,235275,95211,28.43,2.623,249714
36,Kushtia,209143,84636,30.92,2.852,241348,215084,87040,34.21,3.156,274685
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
37,Magura,141794,57381,29.11,2.685,154063,142570,57695,31.55,2.911,167927
38,Meherpur,62593,25330,29.76,2.745,69537,63458,25680,29.43,2.715,69711
39,Narail,96890,39209,23.62,2.179,85418,103620,41933,26.81,2.473,103685
40,Satkhira,211079,85419,30.61,2.823,241143,220114,89075,31.44,2.900,258281
4,"Khulna
Division",1765992,714658,28.35,2.615,1869004,1817066,735327,30.56,2.818,2072452
41,Jamalpur,254033,102802,25.92,2.391,245755,261767,105931,25.63,2.364,250458
42,Mymensingh,661952,267877,26.24,2.420,648376,650565,263269,26.43,2.438,641818
43,Netrokona,319577,129326,24.60,2.269,293442,320727,129791,26.99,2.489,323084
44,Sherpur,213847,86539,25.14,2.319,200707,210525,85195,26.26,2.422,206325
5,"Mymensingh
Division",1449409,586544,25.66,2.367,1388280,1443584,584187,26.38,2.434,1421685
45,Bogura,433868,175577,28.90,2.665,467997,448343,181435,29.18,2.691,488310
46,Joypurhat,187872,76028,31.10,2.869,218127,187572,75906,30.74,2.836,215263
47,Naogaon,402752,162985,29.52,2.723,443820,415743,168242,31.11,2.870,482854
48,Natore,191156,77357,26.83,2.475,191444,191114,77340,26.75,2.468,190846
49,"Chapai
Nawabganj",131763,53322,29.07,2.681,142977,125934,50963,28.26,2.607,132840
50,Pabna,219841,88965,23.60,2.177,193696,171440,69378,27.73,2.557,177425
