District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,20,489,1259,106,106,114,647,636,653,753,742,767
2,Barishal,174,3590,3594,2170,1705,1712,7528,5928,5978,9698,7633,7690
3,Bhola,0,430,141.15,0,0,0,2002,756,1111,2002,756,1111
4,Jhallokati,409,2893,2645,3262,3262,4461,1591,1639,1080,4853,4901,5541
5,Patuakhali,0,2657,2661,0,0,0,1269,2065,2065,1269,2065,2065
6,Pirojpur,1479,10362,2694,31999,27195,27173,3616,4067,3505,35615,31262,30678
1,Barishal Division,2082,20421,12994.15,37537,32268,33460,16653,15091,14392,54190,47359,47852
7,Bandarban,203,144,2302,354,100,354,259,360,281,613,460,635
8,Brahmanbaria,29,629,637.75,870,1295,1297,1967,1990,2018,2843,3285,3315
9,Chandpur,0,546,191.74,0,0,0,2084,8719,2865,2084,8719,2865
10,Chattogram,755,54470,5462.58,38774,26645,301441,7539,4534,2769,46313,31179,33210
11,Cumilla,15,1764,1757.59,61,2911,1959,5131,5812,4564,5192,8723,6523
12,Cox’s Bazar,85,216,236.71,269,511,430,1220,982,1097,1489,1493,1527
13,Feni,0,195,191.40,0,103,91,640,665,581,640,768,672
14,Khagrachari,166,596,601.88,316,365,380,809,1056,1070,1125,1421,1450
15,Lakshmipur,7,190,159.50,0,0,0,1068,1004,1004,1068,1004,1004
16,Noakhali,0,158,241.14,0,0,00,935,1199,1235,935,1199,1235
17,Rangamati,228,807,883.41,1315,853,2009,1530,2846,2319,2845,3699,4328
2,"Chattogram
Division",1488,59715,12665.70,41959,32783,36961,23182,29167,19803,65147,61950,56764
18,Dhaka,417,534,272,1632,266,1950,1485,1893,2159,3117,2159,3640
19,Faridpur,69,1598,237,390,785,321,1208,375,1160,1598,1160,1435
20,Gazipur,1861,2727,6959,3395,4179,3626,2015,2533,6712,5410,6712,5562
21,Gopalganj,176,274,276,100,75,0,1498,1115,1160,1598,1190,1708
22,Kishoreganj,27,145,177,164,165,212,1951,2237,2402,2115,2402,1992
23,Madaripur,4,648,160,34,433,99,852,215,648,886,648,650
24,Manikganj,15,264,200,203,344,298,1162,1318,1662,1365,1662,1451
25,Munshiganj,19,90,92,49,62,29,604,1316,1378,653,1378,662
26,Narayanganj,25,15,37.88,280,634,301,498,723,1357,778,1357,838
27,Narsingdi,177,339,281,1531,2463,1300,2593,1912,4375,4124,4375,4237
28,Rajbari,113,111,513,273,313,361,1006,1128,1441,1279,1441,1372
29,Shariatpur,35,145,1308,58,644,1600,1058,43,687,1116,687,1727
30,Tangail,108,394,403,598,796,845,3068,3159,3955,3666,3955,4095
3,Dhaka Division,3046,7284,10915.88,8707,11159,10942,18998,17967,29126,27705,29126,29369
31,Bagerhat,17,114,114,620,82,82,827,1369,1451,1447,1451,1452
32,Chuadanga,129,196,196,479,898,898,1129,963,1861,1608,1861,1861
33,Jashore,338,1001,1001,2822,3730,3116,4275,3748,7478,7097,7478,7475
34,Jhenaidah,169,410,418,1540,1566,1752,3100,3108,4674,4640,4674,5263
35,Khulna,65,65,433,139,173,26,1791,2240,2413,1930,2413,2134
36,Kushtia,448,287,421,2410,2163,2409,4742,4397,4455,7152,6560,6864
37,Magura,130,160,161,1294,1385,1385,1343,1095,1095,2637,2480,2480
38,Meherpur,62,294,294,295,454,454,690,603,603,985,1057,1057
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,8,9,386,55,56,540,1773,1846,1429,1828,1902,1969
40,Satkhira,128,128,924,441,648,439,1177,1753,1153,1618,2401,1592
4,Khulna Division,1494,2664,4348,10095,11155,11101,20847,21122,21046,30942,32277,32147
41,Jamalpur,8,7,13914,46,53,0,2881,2979,2338,2927,3032,2338
42,Mymensingh,92,113,547,573,679,663,6720,8456,2467,7293,9135,3130
43,Netrokona,9,11,602,88,86,138,886,838,1290,974,924,1428
44,Sherpur,8,9,2344,27,28,37,927,1008,991,954,1036,1028
5,"Mymensingh
Division",117,140,17407,734,846,838,11414,13281,7086,12148,14127,7924
45,Bogura,55,357,359,918,988,895,4534,4732,4646,5452,5720,5541
46,Joypurhat,20,94,94.17,88,106,107,578,602,606,666,708,713
47,Naogaon,14,384,403,80,87,91,1357,1585,1625,1437,1672,1716
48,Natore,197,184,553,1048,1208,2510,4104,2385,1366,5152,3593,3876
49,Chapai Nawabganj,402,656,686,1508,2337,2546,1379,1084,1143,2887,3421,3689
50,Pabna,481,480,529,2870,2701,4006,3681,4325,2846,6551,7026,6852
51,Rajshahi,893,1612,1628,3716,4262,5179,2129,1977,1764,5845,6239,6943
52,Sirajganj,73,168,163,615,718,596,2832,3044,2719,3447,3762,3315
6,Rajshahi Division,2135,3935,4415,10843,12407,15930,20594,19734,16715,31437,32141,32645
53,Dinajpur,61,423,490,287,382,326,1990,1918,2091,2277,2300,2417
54,Gaibandha,0,279,287,0,0,0,1159,1258,1259,1159,1258,1259
55,Kurigram,425,205,67,27,112,72,773,751,833,800,863,905
56,Lalmonirhat,67,196,335,309,362,367,1083,965,955,1392,1327,1322
57,Nilphamari,0,233,147,0,56,51,2074,2116,1587,2074,2172,1638
58,Panchagar,2,221,221,34,163,190,1800,1534,1632,1834,1697,1822
59,Rangpur,35,193,187,159,155,161,1581,1516,1514,1740,1671,1675
60,Thakurgaon,47,333,147,244,230,258,847,809,839,1091,1039,1097
7,Rangpur Divison,637,2083,1887,1060,1460,1425,11307,10867,10710,12367,12327,12135
61,Habiganj,25,25,546,260,260,368,1598,1598,1707,1858,1858,2075
62,Moulvibazar,220,220,407,1509,1509,1384,1724,1724,1602,3233,3233,2386
63,Sunamganj,10,1,1318,1,1,0,593,593,556,594,594,556
64,Sylhet,111,111,447,282,290,235,1607,1599,1340,1889,1889,1575
8,Sylhet Division,366,366,2718,2052,2060,1987,5522,5514,5205,7574,7574,7192
BANGLADESH,,11365,96608,67344.92,112987,104138,112644,128517,132743,113384,241504,236881,226028
