Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Dhaka,21,1,30,127,301,271,404,285,140,300,40,00,1920
Tangail,28,1,27,200,419,306,459,136,212,169,00,00,1957
Mymensingh,11,1,10,107,562,440,600,95,388,179,2,0,2395
Faridpur,24,2,31,112,316,255,1005,889,722,98,288,0,3742
Madaripur,22,0,20,165,305,,,,,,,,
Srimangal,20,0,4,274,333,504,383,219,344,196,9,0,2286
Sylhet,18,3,23,244,640,651,990,382,883,382,12,0,4228
Bogura,14,2,29,109,478,436,485,166,239,157,0,0,2115
Dinajpur,5,7,29,95,466,403,618,381,831,95,3,0,2870
Ishwardi,23,0,21,29,380,237,437,157,264,165,0,3,1716
Rajshahi,16,1,27,32,187,283,412,142,213,98,0,0,1411
Rangpur,7,2,32,194,347,390,803,181,1035,119,0,0,3110
Syedpur,6,9,21,100,412,433,629,253,794,15,0,0,2672
Chuadanga,19,4,39,65,348,305,490,162,234,81,2,0,1749
Jashore,25,0,32,82,251,347,262,407,262,294,1,0,1963
Khulna,30,2,10,179,243,350,223,265,172,90,6,0,1570
Mongla,54,3,8,103,245,429,446,401,227,326,12,0,2254
Satkhira,34,2,86,20,316,295,266,423,79,66,5,0,1592
Barishal,54,2,5,178,272,327,310,453,408,278,5,0,2292
Bhola,63,2,3,283,191,387,392,430,286,346,15,0,2398
Khapupara,63,3,30,120,123,732,567,676,465,553,49,0,3381
Patuakhali,35,3,29,114,226,468,497,556,425,478,11,0,2842
Chandpur,35,2,30,374,207,251,293,404,224,332,17,0,2169
Chi (Ambagan),51,4,130,137,245,420,548,480,340,216,99,0,2670
Chi (Patanga),49,5,0,129,119,399,605,680,350,338,125,0,2799
Cumilla,39,5,2,215,298,497,470,211,303,191,45,0,2276
Cox`s Bazar,27,1,0,56,189,936,934,1068,426,430,34,0,4101
Feni,67,6,18,186,414,548,746,321,375,352,72,88,3193
Hatia,47,6,8,245,312,664,546,758,584,408,85,0,3663
Kutubdia,40,0,0,82,305,631,879,898,215,368,55,0,3473
Maijdee Court,82,4,9,165,219,492,742,547,335,420,47,0,3098
Rangamat,52,5,0,147,340,350,433,213,289,324,34,0,2187
Sandwip,38,7,3,309,238,575,760,855,655,295,115,0,3850
Sitakunda,46,0,0,171,244,576,711,657,550,340,54,0,3349
Teknaf,12,0,0,74,227,,,,,,,,
Gopalgonj,,,,,,,,,,,,,
Tarash,,,,,,,,,,,,,
Netrokona,,,,,,,,,,,,,
Rajarhat,,,,,,,,,,,,,
Badalgachhi,,,,,,,,,,,,,
Dimla,,,,,,,,,,,,,
Netrokonai,,,,,,,,,,,,,
