District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,2106,1350,1674,0,0,0,4095,1167,959,4095,1167,959
2,Barishal,2255,2249,2258,0,0,0,1724,1678,1650,1724,1678,1650
3,Bhola,315,310,310,0,0,0,141,203,209,141,203,209
4,Jhallokati,481,482,666,0,0,0,318,241,389,318,241,389
5,Patuakhali,1901,1914,1805,0,0,0,3392,3280,3537,3392,3225,3537
6,Pirojpur,2243,2257,2374,0,0,0,1176,1469,1322,1176,1469,1322
1,Barishal Division,9302,8563,9087,0,0,0,10846,8038,8066,10846,7983,8066
7,Bandarban,6,6,5,0,0,0,38,37,38,38,37,38
8,Brahmanbaria,105,110,113,0,0,0,231,384,284,231,384,284
9,Chandpur,1569,1579,1578,0,0,0,2163,2002,2344,2163,2002,2344
10,Chattogram,560,572,572,0,0,0,1733,1797,1793,1733,1797,1793
11,Cumilla,1343,1481,1481,0,470,470,1320,243,903,1320,1836,1373
12,Cox’s Bazar,48,39,48,0,0,0,195,188,184,195,188,184
13,Feni,837,828,825,0,0,0,370,177,354,370,177,354
14,Khagrachari,32,0,31,0,0,0,30,0,33,30,0,33
15,Lakshmipur,962,973,973,0,0,0,826,1023,1027,826,1023,1027
16,Noakhali,2044,2051,1967,0,0,0,2248,1929,1960,2248,1929,1960
17,Rangamati,15,16,16,0,0,0,70,42,43,70,42,43
2,"Chattogram
Division",7521,7653,7608,0,0,0,9224,7822,8963,9224,9415,9433
18,Dhaka,209,207,207,0,0,0,336,195,196,336,195,196
19,Faridpur,1079,1079,921,155,76,397,3160,35,6553,3315,3570,6950
20,Gazipur,630,608,603,929,5,120,201,89,993,1130,1152,1113
21,Gopalganj,2090,4301,4326,0,120,119,3518,5858,6527,3518,5978,6646
22,Kishoreganj,187,194,194,0,0,0,367,428,429,367,428,429
23,Madaripur,2478,2448,2447,0,0,0,8639,138,8423,8639,8633,8423
24,Manikganj,125,130,130,0,0,0,347,554,353,347,554,353
25,Munshiganj,87,86,88,0,0,0,314,264,265,314,264,265
26,Narayanganj,114,111,112,0,0,0,94,103,108,94,103,108
27,Narsingdi,468,37,463,0,0,0,1154,16,968,1154,933,968
28,Rajbari,312,305,313,0,0,14,1469,1434,866,1469,1434,880
29,Shariatpur,442,427,424,0,0,0,932,864,872,932,895,872
30,Tangail,756,758,838,59,23,35,1706,61,1663,1765,1782,1698
3,Dhaka Division,8977,10692,11064,1143,224,685,22237,10039,28216,23380,25921,28901
31,Bagerhat,2010,2022,2022,0,0,0,3505,3505,3514,3505,3505,3514
32,Chuadanga,130,131,131,5,7,6,306,306,256,311,313,262
33,Jashore,646,794,801,0,0,64,984,1070,1049,984,1070,1113
34,Jhenaidah,964,911,910,0,0,0,1040,144,877,1040,144,877
35,Khulna,834,915,907,0,0,0,1677,1934,1618,1677,1934,1618
36,Kushtia,508,503,833,0,0,0,897,828,944,897,828,944
37,Magura,1048,1059,1047,0,0,0,1413,944,1083,1413,944,1083
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,110,114,113,37,39,0,103,123,125,140,162,125
39,Narail,1117,1066,1237,72,73,27,421,426,577,493,499,604
40,Satkhira,1395,1413,1382,29,31,46,1217,1275,126,1246,1306,172
4,Khulna Division,8763,8928,9025,143,150,143,11563,10555,10169,11706,10705,10312
41,Jamalpur,189,191,169,0,0,0,447,441,370,447,441,370
42,Mymensingh,1991,2122,2098,0,0,0,1515,2065,1486,1515,2065,1486
43,Netrokona,32,33,32,0,0,0,100,106,15,100,106,15
44,Sherpur,280,287,272,0,0,0,300,333,346,300,333,346
5,"Mymensingh
Division",2493,2633,2572,0,0,0,2362,2945,2217,2362,2945,2217
45,Bogura,1883,1884,1884,0,0,0,3259,2971,2991,3259,2971,2991
46,Joypurhat,243,245,246,43,156,57,234,335,281,277,491,338
47,Naogaon,4998,6061,4918,991,1059,729,650,51546,1511,1641,1701,2240
48,Natore,1272,1024,856,0,0,0,6047,4373,3751,6047,4373,3751
49,Chapai Nawabganj,151,155,160,0,0,0,167,163,176,167,163,176
50,Pabna,505,506,492,0,0,139,1292,1314,1148,1292,1314,1287
51,Rajshahi,978,93,774,0,0,0,1167,107,955,1167,107,955
52,Sirajganj,709,671,685,0,6,0,1324,1201,1147,1324,1207,1147
6,Rajshahi Division,10740,10639,10014,1034,1221,925,14140,62010,11960,15174,12327,12885
53,Dinajpur,312,299,139,0,0,0,189,374,361,189,374,361
54,Gaibandha,87,87,88,0,0,0,61,56,58,61,56,58
55,Kurigram,0,6,7,0,0,0,0,3,4,0,3,4
56,Lalmonirhat,86,77,44,0,0,0,182,158,37,182,158,37
57,Nilphamari,20,0,20,0,0,0,18,0,18,18,0,18
58,Panchagar,0,46,3,0,0,0,0,0,0,0,0,0
59,Rangpur,250,251,252,0,0,0,378,364,373,378,364,373
60,Tahkurgaon,14,15,15,0,0,0,10,8,9,10,8,9
7,Rangpur Division,770,781,748,0,0,0,838,963,860,838,963,860
61,Habigonj,113,113,109,0,0,0,198,198,6,198,198,6
62,Moulvibazar,4,4,3,0,0,0,19,19,20,19,19,20
63,Sunamganj,195,195,82,0,0,763,625,6,18,625,6,781
64,Sylhet,0,0,0,0,0,0,0,0,0,0,0,0
8,Sylhet Division,313,313,194,0,0,763,842,223,44,842,223,807
BANGLADESH,,48879,50202,50313,2320,1595,2516,72052,102595,70495,74372,70371,73011
