Year,Jute goods,,,,"Total value
’000’ Taka",Raw Jute,,Mestas,
,Quantity ‘000’ Metric Ton,,,,,,,,
,Hessian,Saking,Others,Total,,"Quantity
(000’M.Ton)","Value in
‘000’Tk","Quantity
(000’M.Ton)","Value in
‘000’Tk"
2016-17,1,102,-,102,8611137,244,13004362,-,-
2017-18,-,83,-,83,72591722,262,12781431,-,-
2018-19,-,660,-,660,54082664,179,9451147,-,-
2019-20,-,,,,,185,10111259,-,-
