District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,349,348,234,0,0,0,107,130,91,107,130,91
2,Barishal,456,459,286,0,0,0,233,230,240,233,230,240
3,Bhola,480,483,77,0,5,0,151,150,162,151,155,162
4,Jhallokati,91,93,57,0,0,0,55,58,53,55,58,53
5,Patuakhali,797,796,343,0,0,0,155,200,205,155,200,205
6,Pirojpur,310,473,77,0,0,0,192,147,178,192,147,178
1,Barishal Division,2482,2653,1074,0,5,0,893,915,929,893,920,929
7,Bandarban,557,16,775,42,40,46,630,631,656,672,671,702
8,Brahmanbaria,204,199,617,0,0,0,182,108,108,182,108,108
9,Chandpur,345,344,34,0,0,0,8,105,106,8,105,106
10,Chattogram,409,400,14,0,0,0,210,191,169,210,191,169
11,Cumilla,390,394,300,6,6,8,217,150,127,223,156,135
12,Cox’s Bazar,151,152,118,0,0,14,187,188,362,187,188,376
13,Feni,105,102,70,0,0,0,42,39,25,42,39,25
14,Khagrachari,289,305,456,0,0,0,223,249,1095,223,249,1095
15,Lakshmipur,315,315,40,0,0,0,113,113,77,113,113,77
16,Noakhali,219,219,35,0,0,0,65,65,59,65,65,59
17,Rangamati,337,607,524,0,25,21,297,424,366,297,297,387
2,"Chattogram
Division",3320,3575,2983,48,71,89,2174,2263,3150,2222,2334,3239
18,Dhaka,159,174,13,0,0,0,173,187,114,173,187,114
19,Faridpur,450,513,155,0,0,0,236,241,238,236,241,238
20,Gazipur,249,232,64,0,0,0,191,156,159,191,156,159
21,Gopalganj,439,65,35,0,0,0,237,216,141,237,216,141
22,Kishoreganj,85,193,49,0,0,0,77,114,118,77,114,118
23,Madaripur,432,424,281,0,0,0,331,309,308,331,309,308
24,Manikganj,67,76,18,0,0,0,53,61,58,53,61,58
25,Munshiganj,77,75,10,0,0,0,58,50,46,58,50,46
26,Narayanganj,85,10,9,0,0,0,77,77,95,77,77,95
27,Narsingdi,166,162,23,178,0,0,742,420,259,920,420,259
28,Rajbari,125,125,17,0,0,5,57,108,211,57,108,216
29,Shariatpur,396,412,170,0,0,0,138,171,175,138,171,175
30,Tangail,259,260,30,0,0,0,150,152,150,150,152,150
3,Dhaka Division,2989,3161,874,178,0,5,2520,2262,2072,2698,2262,2077
31,Bagerhat,402,350,355,0,0,0,153,335,118,153,335,118
32,Chuadanga,40,41,44,0,0,0,57,55,56,57,55,56
33,Jashore,363,360,355,0,0,0,359,342,346,359,342,346
34,Jhenaidah,262,261,248,0,0,0,220,222,196,220,222,196
35,Khulna,470,471,452,0,0,0,299,303,248,299,303,248
36,Kushtia,340,350,104,0,0,0,407,330,105,407,,105
37,Magura,129,124,121,0,0,0,103,360,342,103,360,342
38,Meherpur,25,28,28,0,0,0,72,29,32,72,29,32
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,125,151,195,0,18,0,77,69,94,77,87,94
40,Satkhira,370,346,457,0,0,0,249,234,252,249,234,252
4,Khulna Division,2524,2483,2359,0,18,0,1996,2279,1789,1996,2297,1789
41,Jamalpur,145,148,142,0,0,0,115,107,114,115,107,114
42,Mymensingh,440,533,487,0,0,0,341,268,382,341,268,382
43,Netrokona,121,121,135,0,0,0,85,70,138,85,70,138
44,Sherpur,222,218,169,0,0,0,149,151,339,149,151,339
5,"Mymensingh
Division",929,1020,933,0,0,0,690,596,973,690,596,973
45,Bogura,325,324,315,0,0,0,375,376,378,375,376,378
46,Joypurhat,70,25,96,0,0,0,69,117,80,69,117,80
47,Naogaon,183,205,193,0,0,0,549,161,164,549,161,164
48,Natore,238,234,227,0,0,0,694,721,368,694,721,368
49,Chapai Nawabganj,25,28,28,0,0,0,18,20,22,18,20,22
50,Pabna,531,547,528,0,0,0,337,348,304,337,348,304
51,Rajshahi,130,125,281,0,0,0,183,163,211,183,163,211
52,Sirajganj,128,126,135,0,0,0,173,179,170,173,179,170
6,Rajshahi Division,1629,1687,1803,0,0,0,2398,2085,1697,2398,2085,1697
53,Dinajpur,214,214,210,0,0,0,222,217,215,222,217,215
54,Gaibandha,88,89,65,3,3,3,30,86,21,33,89,24
55,Kurigram,106,106,42,0,0,0,86,86,16,86,86,16
56,Lalmonirhat,67,57,57,0,0,0,23,33,34,23,33,34
57,Nilphamari,51,47,50,0,0,0,44,30,30,44,30,30
58,Panchagar,29,30,33,0,0,0,35,34,31,35,34,31
59,Rangpur,136,143,141,0,0,0,108,446,121,108,446,121
60,Thakurgaon,31,31,30,0,0,0,40,41,41,40,41,41
7,Rangpur Divison,723,717,628,3,3,3,588,973,509,591,976,512
61,Habiganj,15,15,2,0,0,0,4,4,4,4,4,4
62,Moulvibazar,152,118,35,0,0,0,154,159,154,154,159,154
63,Sunamganj,9,9,3,0,0,0,2,2,6,2,2,6
64,Sylhet,32,22,580,0,0,0,9,10,10,9,10,10
8,Sylhet Division,207,164,620,0,0,0,169,175,174,169,175,174
BANGLADESH,,14804,15461,11274,229,97,97,11428,11548,11293,11657,11645,11390
