District/ Division,,2018-19,,,,,2019-20,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,Production
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,3248,1314,32.51,2.999,3941,3420,1384,35.86,3.308,4578
2,Barishal,69427,28096,39.72,3.664,102935,60235,24376,39.78,3.669,89442
3,Bhola,94980,38436,42.77,3.945,151635,88486,35808,43.16,3.981,142555
4,Jhallokati,23354,9451,39.86,3.677,34748,21566,8727,41.09,3.790,33078
5,Patuakhali,1542,624,35.76,3.298,2058,2077,841,34.62,3.193,2684
6,Pirojpur,28820,11663,41.55,3.833,44700,28483,11526,40.65,3.750,43219
1,"Barishal
Division",221371,89584,41.15,3.796,340017,204267,82662,41.39,3.817,315556
7,Bandarban,8987,3637,37.20,3.431,12479,9009,3646,37.61,3.469,12648
8,Brahmanbaria,272934,110450,45.96,4.239,468236,275835,111624,49.27,4.545,507293
9,Chandpur,135633,54888,40.62,3.747,205652,133970,54215,39.10,3.607,195529
10,Chattogram,128248.23,51899,42.37,3.908,202832,117443,47527,42.06,3.880,184384
11,Cumilla,329864,133489,44.74,4.127,550881,315965,127864,47.03,4.338,554678
12,Cox’s Bazar,113774,46042,42.58,3.928,180832,110142,44572,42.52,3.922,174813
13,Feni,60345,24420,37.12,3.424,83614,60340,24418,37.51,3.460,84485
14,Khagrachari,17330.06,7013,37.06,3.418,23974,18312,7410,37.51,3.460,25639
15,Lakshmipur,43053,17423,46.73,4.310,75098,49276,19941,44.34,4.090,81556
16,Noakhali,44712,18094,43.74,4.035,73001,36581,14804,42.58,3.928,58142
17,Rangamati,10533,4262,38.15,3.519,14999,9742,3942,42.06,3.880,15295
2,"Chattogram
Division",1165413,471617,43.48,4.011,1891599,1136614,459963,44.65,4.119,1894462
18,Dhaka,114896.56,46496,41.86,3.861,179529,112012,45329,55.94,5.160,233891
19,Faridpur,51527,20852,43.03,3.969,82762,52751,21347,52.01,4.797,102411
20,Gazipur,124447,50361,43.96,4.055,204206,122792,49691,43.31,3.995,198511
21,Gopalganj,61117,24733,43.57,4.019,99398,78714,31854,45.54,4.201,133805
22,Kishoreganj,345874,139968,45.84,4.228,591820,341437,138172,45.49,4.196,579767
23,Madaripur,82087.53,33219,44.52,4.107,136414,75353,30494,47.51,4.382,133633
24,Manikganj,115201.15,46619,47.79,4.408,205504,111889,45279,52.09,4.805,217555
25,Munshiganj,51095,20677,43.61,4.023,83175,55548,22479,46.56,4.295,96540
26,Narayanganj,53883,21805,42.01,3.875,84495,53552,21671,45.87,4.231,91692
27,Narsingdi,115389.63,46696,43.92,4.051,189172,128916,52169,42.52,3.922,204610
28,Rajbari,30981,12537,41.79,3.855,48328,29360,11881,47.17,4.351,51695
29,Shariatpur,57430.648,23241,48.93,4.513,104893,59145,23935,54.24,5.003,119747
30,Tangail,407967,165095,46.93,4.329,714666,401601,162519,43.71,4.032,655244
3,"Dhaka
Division",1611896,652299,45.28,4.177,2724362,1623070,656821,46.53,4.292,2819102
