Tenancy and farm,Total,Agricultural,Cattle,,Buffalo,,Goat,,Sheep,,Fowl,,Duck,,Pigeon,,
type & size,,labour,No. of,%,No. of,%,No. of,%,No. of,%,No. of,%,No. of,%,No. of,,%
,,households,households (,(col 4/3),households,(col 6/3),households,"(col
8/3)",households,"(col
10/3)",households,"(col
12/3)",households,(col 14/3),households,,"(col
16/3)"
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,17
Owner,8352634,3127791,845642,27.04,10519,0.34,707205,22.61,51842,1.66,1587466,50.75,785415,25.11,45520,,1.46
Owner-cum-tenant,167626,48890,14850,30.37,193,0.39,11316,23.15,1139,2.33,24093,49.28,12514,25.60,993,,2.03
Tenant,1960670,678499,157722,23.25,1575,0.23,145887,21.50,13111,1.93,299224,44.10,126484,18.64,7401,,1.09
Farm size:,,,,,,,,,,,,,,,,,
Small,12531509,4466839,2369562,53.05,27506,0.62,1468871,32.88,97080,2.17,3014423,67.48,1735601,38.86,162791,,3.64
Owner,7129151,2112026,1020005,48.30,13998,0.66,641523,30.37,42575,2.02,1385253,65.59,807254,38.22,76772,,3.63
Owner-cum-tenant,4961684,2110858,1232898,58.41,12268,0.58,747152,35.40,47978,2.27,1473435,69.80,854662,40.49,80223,,3.80
Tenant,440674,243955,116659,47.82,1240,0.51,80196,32.87,6527,2.68,155735,63.84,73685,30.20,5796,,2.38
Medium,2109522,378132,274793,72.67,8991,2.38,134879,35.67,10159,2.69,272862,72.16,174145,46.05,30173,,7.98
Owner,1159930,174450,122433,70.18,3547,2.03,59618,34.17,4211,2.41,121512,69.65,74560,42.74,13262,,7.60
Owner-cum-tenant,923871,195484,147212,75.31,5255,2.69,72560,37.12,5663,2.90,145705,74.54,96615,49.42,16543,,8.46
Tenant,25721,8198,5148,62.80,189,2.31,2701,32.95,285,3.48,5645,68.86,2970,36.23,368,,4.49
Large,229545,32108,24373,75.91,2666,8.30,11730,36.53,991,3.09,23099,71.94,15277,47.58,3596,,11.20
Owner,143002,18078,13640,75.45,1131,6.26,6399,35.40,533,2.95,12605,69.73,7959,44.03,1912,,10.58
Owner-cum-tenant,84779,13542,10437,77.07,1493,11.02,5183,38.27,436,3.22,10179,75.17,7126,52.62,1654,,12.21
Tenant,1764,488,296,60.66,42,8.61,148,30.33,22,4.51,315,64.55,192,39.34,30,,6.15
URBAN,,,,,,,,,,,,,,,,,
Holdings:,,,,,,,,,,,,,,,,,
All,3344257,112143,21648,19.30,396,0.35,13321,11.88,717,0.64,26757,23.86,14409,12.85,,2150,1.92
Owner,1950070,75311,12906,17.14,263,0.35,8166,10.84,481,0.64,17016,22.59,9157,12.16,,1305,1.73
Owner-cum-tenant,140322,16178,7590,46.92,119,0.74,4079,25.21,189,1.17,7790,48.15,4332,26.78,,748,4.62
Tenant,1253865,20654,1152,5.58,14,0.07,1076,5.21,47,0.23,1951,9.45,920,4.45,,97,0.47
Non-farm,3031650,75177,6137,8.16,117,0.16,5223,6.95,299,0.40,10283,13.68,5141,6.84,,593,0.79
Owner,1709428,53938,5264,9.76,99,0.18,4370,8.10,256,0.47,8588,15.92,4350,8.06,,510,0.95
Owner-cum-tenant,73449,1847,174,9.42,8,0.43,104,5.63,5,0.27,257,13.91,129,6.98,,20,1.08
Tenant,1248773,19392,699,3.60,10,0.05,749,3.86,38,0.20,1438,7.42,662,3.41,,63,0.32
Farm size:,,,,,,,,,,,,,,,,,
Small,280863,32390,13060,40.32,190,0.59,6959,21.49,365,1.13,14321,44.21,8002,24.71,,1223,3.78
Owner,217927,18729,6432,34.34,118,0.63,3260,17.41,193,1.03,7369,39.35,4193,22.39,,634,3.39
Owner-cum-tenant,58056,12465,6207,49.80,68,0.55,3394,27.23,164,1.32,6468,51.89,3570,28.64,,559,4.48
Tenant,4880,1196,421,35.20,4,0.33,305,25.50,8,0.67,484,40.47,239,19.98,,30,2.51
Medium,26893,3961,2164,54.63,63,1.59,989,24.97,48,1.21,1921,48.50,1116,28.17,,277,6.99
Owner,18929,2210,1013,45.84,27,1.22,441,19.95,28,1.27,905,40.95,512,23.17,,124,5.61
Owner-cum-tenant,7769,1688,1119,66.29,36,2.13,526,31.16,19,1.13,987,58.47,585,34.66,,149,8.83
Tenant,195,63,32,50.79,-,-,22,34.92,1,1.59,29,46.03,19,30.16,,4,6.35
Large,4851,615,287,46.67,26,4.23,150,24.39,5,0.81,232,37.72,150,24.39,,57,9.27
Owner,3786,434,197,45.39,19,4.38,95,21.89,4,0.92,154,35.48,102,23.50,,37,8.53
Owner-cum-tenant,1048,178,90,50.56,7,3.93,55,30.90,1,0.56,78,43.82,48,26.97,,20,11.24
Tenant,17,3,-,-,-,-,-,-,-,-,-,-,-,-,,-,-
