District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,428064,0,2384,0,0,0,13880,5883,15264,13880,5883,15264
2,Barishal,232509,0,1241,0,0,0,7571,8457,8308,7571,8457,8308
3,Bhola,160857,0,365,0,0,0,2472,2560,4022,2472,2560,4022
4,Jhallokati,68270,0,363,0,0,0,1310,1405,1294,1310,1405,1294
5,Patuakhali,254802,0,1107,0,0,0,3281,3341,2958,3281,3341,2958
6,Pirojpur,222208,0,602,0,0,0,5359,4394,6099,5359,4394,6099
1,Barishal Division,1366710,0,6062,0,0,0,33873,26040,37945,33873,26040,37945
7,Bandarban,545,0,3,0,0,0,52,54,56,52,54,56
8,Brahmanbaria,15394,0,1010,0,0,0,440,514,760,440,514,760
9,Chandpur,183452,3330,3490,0,0,0,5270,0,4571,5270,0,4571
10,Chattogram,109497,3330,3684,0,0,0,4067,2722,3091,4067,2722,3091
11,Cumilla,166325,3140,4489,0,210,1054,6683,1800,1149,6683,2010,2203
12,Cox’s Bazar,3989,1,170,51,0,0,323,374,1903,374,374,1903
13,Feni,82206,160,292,0,0,0,1519,1550,1886,1519,1550,1886
14,Khagrachari,4528,24,22,0,0,0,91,95,112,91,95,112
15,Lakshmipur,89877,0,30,0,0,0,3300,3306,7257,3300,3306,7257
16,Noakhali,284161,304,400,0,0,0,12629,13158,3726,12629,13158,3726
17,Rangamati,6026,148,200,8,0,0,268,275,308,276,275,308
2,"Chattogram
Division",946003,10437,13790,59,210,1054,34642,23848,24819,34701,24058,25873
18,Dhaka,22121,27,22,0,0,0,853,753,746,853,753,746
19,Faridpur,287905,9025,9925,115,0,108,8910,928,8330,9025,928,8438
20,Gazipur,77703,2316,2416,9,0,144,2341,122,1797,2350,122,1941
21,Gopalganj,276694,547,549,40,0,0,3665,6121,6994,3705,6121,6994
22,Kishoreganj,21730,40,32,0,0,0,551,515,538,551,515,538
23,Madaripur,296514,7088,3884,0,0,0,9394,7088,7372,9394,7088,7372
24,Manikganj,18148,695,700,0,0,0,669,695,1566,669,695,1566
25,Munshiganj,11030,15,14,0,0,0,254,230,289,254,230,289
26,Narayanganj,10015,8,8,0,0,0,311,377,398,311,377,398
27,Narsingdi,54931,25,56,0,0,0,1348,1269,1276,1348,1269,1276
28,Rajbari,46867,2186,2486,0,0,270,2177,2186,3114,2177,2186,3384
29,Shariatpur,87108,45746,35623,0,0,0,551,600,570,551,600,570
30,Tangail,83348,1921,2021,53,53,89,1604,1773,3476,1657,1826,3565
3,Dhaka Division,1294114,69639,57736,217,53,611,32628,22657,36466,32845,22710,37077
31,Bagerhat,208119,129,129,136,0,0,3349,3087,2808,3485,3087,2808
32,Chuadanga,15440,15,15,7,0,7,361,390,403,368,390,410
33,Jashore,95162,246,246,107,106,107,2180,2245,2061,2287,2351,2168
34,Jhenaidah,141898,167,167,0,0,0,2271,2403,2188,2271,2403,2188
35,Khulna,91728,0,0,0,0,0,1625,1546,1663,1625,1546,1663
36,Kushtia,54692,82,82,105,0,0,1632,1677,1764,1737,1677,1764
37,Magura,97367,109,109,0,0,0,2186,2022,2131,2186,2022,2131
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,9728,31,32,0,0,0,218,216,204,218,216,204
39,Narail,55413,0,202,0,0,67,1464,0,1146,1464,0,1213
40,Satkhira,137804,74,74,47,82,0,1713,2885,2967,1760,2967,2967
4,Khulna Division,907350,853,1075,402,188,181,16999,16471,17335,17401,16659,17516
41,Jamalpur,15954,0,72,0,0,0,330,341,311,330,341,311
42,Mymensingh,214677,0,248,0,0,0,4510,4973,1996,4510,4973,1996
43,Netrokona,18450,0,1,0,0,0,685,550,536,685,550,536
44,Sherpur,29869,0,37,0,0,0,506,507,617,506,507,617
5,"Mymensingh
Division",278949,0,358,0,0,0,6031,6371,3460,6031,6371,3460
45,Bogura,268228,258,258,0,0,0,9445,8663,11392,9445,8663,11392
46,Joypurhat,26809,3,24,124,125,131,413,563,448,537,688,579
47,Naogaon,483432,609,599,0,0,0,5674,6705,5575,5674,6705,5575
48,Natore,155468,0,175,0,0,0,5254,7062,6927,5254,7062,6927
49,Chapai Nawabganj,21757,88,88,0,0,0,779,864,999,779,864,999
50,Pabna,58352,68,68,0,86,88,2579,2522,2772,2579,2608,2860
51,Rajshahi,253795,502,501,0,0,0,5484,5249,5099,5484,5249,5099
52,Sirajganj,109922,0,190,0,0,0,2209,2133,1580,2209,2133,1580
6,Rajshahi Division,1377763,1528,1903,124,211,219,31837,33761,34792,31961,33972,35011
53,Dinajpur,44163,83,86,0,0,0,629,521,632,629,521,632
54,Gaibandha,11937,17,18,0,0,0,190,291,304,190,291,304
55,Kurigram,4613,13,12,0,0,0,62,72,97,62,72,97
56,Lalmonirhat,4027,5,5,0,0,0,60,57,27,60,57,27
57,Nilphamari,3120,4,5,0,0,0,60,81,87,60,81,87
58,Panchagar,4545,4,4,0,0,0,120,123,148,120,123,148
59,Rangpur,20442,25,19,0,0,0,436,456,384,436,456,384
60,Tahkurgaon,6912,9,7,0,0,0,131,124,132,131,124,132
7,Rangpur Division,99759,160,156,0,0,0,1688,1725,1811,1688,1725,1811
61,Habigonj,17451,238,238,0,18,18,201,2065,2026,201,2083,2080
62,Moulvibazar,17909,66,17,0,0,0,432,439,529,432,439,529
63,Sunamganj,14448,54,3,0,0,0,680,685,1,680,685,1
64,Sylhet,5870,23,6,0,0,0,87,89,120,87,89,120
8,Sylhet Division,55677,381,264,0,18,18,1400,3278,2712,1400,3296,2730
BANGLADESH,,6326324,82998,81344,802,680,2083,159098,134151,159340,159900,134831,161423
