District name,April-2020,,,,,,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,-,-,-,-,400,250
Khagrachari,350,200,-,-,-,-,375,250
Rangamati,325,238,275,226,-,-,405,283
Chattogram,520,400,485,350,465,335,580,430
Coxbazar,500,338,462,331,352,315,590,375
Cumilla,496,400,444,388,424,368,575,450
Chandpur,-,-,-,-,-,-,360,-
Brahmmanbaria,529,420,500,400,480,410,550,450
Noakhali,525,-,,-,500,-,550,-
Lakshmipur,-,-,-,-,-,-,450,-
Feni,-,-,-,-,450,-,480,-
Chattogram Division,464,333,433,339,445,357,483,355
Sylhet,414,350,385,289,347,-,427,300
Moulvibazar,384,258,370,325,-,-,417,337
Sunamganj,480,430,-,-,-,-,457,407
Habiganj,517,-,-,-,-,-,583,500
Sylhet Division,449,346,378,307,347,-,471,386
Dhaka,488,420,460,400,450,400,500,450
Gazipur,515,392,-,-,445,332,580,400
Manikganj,418,325,405,310,387,300,445,350
Munshiganj,420,325,-,-,412,-,466,340
Narayanganj,493,400,435,390,390,380,513,425
Narsingdi,-,-,400,-,363,-,579,-
Faridpur,450,-,-,-,425,-,508,-
Rajbari,450,350,433,340,367,330,510,400
Madaripur,393,300,353,-,368,-,435,350
Gopalganj,450,-,-,-,400,-,475,300
Shariatpur,364,260,360,250,350,245,410,280
Tangail,472,-,445,350,427,-,521,380
Kishoreganj,505,-,478,-,450,-,580,450
Dhaka Division,451,346,419,340,403,331,502,375
Mymensingh,400,-,420,-,440,-,470,-
Jamalpur,430,-,410,-,390,-,460,385
Sherpur,470,-,450,-,430,-,520,-
Netrokona,460,-,440,300,420,-,490,425
Mymensingh Division,440,-,430,300,420,-,485,405
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,,
Barishal,450,-,-,-,-,-,500,-
Jhalokathi,420,-,-,-,350,-,500,-
Perojpur,484,350,462,340,450,330,528,400
Bhola,400,-,380,-,-,-,450,-
Patuakhali,464,-,-,-,-,-,500,-
Barguna,514,-,500,-,-,-,526,-
Barishal Division,455,350,447,340,400,330,501,400
Jashore,-,-,-,-,-,-,396,250
Jhenaidah,329,239,317,229,315,223,354,255
Magura,444,-,388,-,309,-,486,-
Narail,357,-,350,-,345,-,405,300
Khulna,-,-,-,-,-,-,531,384
Bagerhat,430,-,393,330,370,320,436,350
Satkhira,-,-,-,-,-,-,400,300
Kushtia,366,-,340,-,320,-,420,-
Chuadanga,340,-,-,-,-,-,355,-
Meherpur,300,-,-,-,-,-,333,-
Khulna Division,367,239,358,280,332,272,412,306
Rajshahi,337,285,333,220,330,-,371,270
Naogaon,359,298,343,305,401,270,401,328
Natore,380,300,370,280,360,300,400,320
Chapai Nawabganj,300,258,-,-,-,-,330,275
Bogra,405,-,380,-,370,-,420,-
Joypurhat,360,300,-,-,387,280,387,355
Pabna,-,-,-,-,-,-,457,-
Sirajganj,-,-,-,-,-,-,358,250
Rajshahi Division,357,288,356,268,370,283,390,300
Rangpur,305,250,-,-,-,-,325,290
Gaibandha,-,-,-,-,-,-,365,317
Kurigram,348,250,-,-,-,-,367,267
Nilphamari,306,210,-,-,-,-,328,225
Lalmonirhat,322,270,315,200,-,-,334,230
Dinajpur,322,269,328,290,300,-,356,368
Thakurgaon,313,257,-,-,-,-,308,279
Panchagarh,350,244,-,-,-,-,360,250
Rangpur Division,324,250,322,245,300,-,343,278
BANGLADESH,414,309,400,311,393,321,448,338
