Station name,Jan.,Feb,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep,Oct,Nov,Dec,Annual
Dhaka,76,59,57,72,80,81,85,84,81,81,69,73,74
Tangail,83,73,66,74,79,82,84,82,81,81,69,82,77
Mymensingh,83,74,73,77,81,85,87,82,87,85,80,85,81
Faridpur,82,71,64,71,80,84,85,84,84,83,77,79,78
Madaripur,84,73,68,75,79,*,*,*,*,*,*,*,*
Srimangal,85,75,69,75,80,85,86,83,87,86,84,85,81
Sylhet,78,67,63,67,81,88,88,85,87,84,74,78,78
Bogura,84,74,65,71,80,83,85,80,85,82,70,79,78
Dinajpur,82,74,70,73,82,84,87,81,88,81,75,81,79
Ishwardi,83,75,70,70,79,83,85,83,86,83,77,81,79
Rajshahi,83,74,70,70,81,85,88,85,88,84,77,81,80
Rangpur,83,75,70,72,80,84,86,81,88,81,74,81,79
Syedpur,81,72,69,71,80,84,85,80,87,80,74,80,78
chuadanga,83,75,70,72,80,84,85,86,86,84,78,82,80
Jashore,79,72,68,71,76,83,82,84,83,83,76,78,77
Khulna,80,72,66,72,76,83,84,85,84,82,74,79,78
Mongla,81,72,69,76,80,87,88,89,88,87,77,78,81
Satkhira,80,72,69,72,77,83,82,85,82,81,74,78,77
Barishal,85,75,70,78,80,88,87,88,87,87,82,83,82
Bhola,83,74,69,79,79,87,87,88,86,86,83,84,82
Khepupara,80,73,74,81,80,88,86,89,87,87,82,81,82
Patuakhali,87,80,79,88,85,92,89,91,88,89,87,85,86
Chandpur,81,70,64,79,79,85,86,86,84,83,76,79,79
Teknaf,70,67,64,74,74,*,*,*,*,*,*,*,*
Ambagan(Ctg),77,65,65,80,82,86,87,85,85,83,80,80,79
Cumilla,79,69,66,79,80,85,86,85,85,84,77,80,79
Cox's Bazar,73,67,66,75,77,86,88,88,85,82,77,72,78
Feni,79,69,64,75,77,84,84,82,83,83,78,80,78
Hatiya,85,80,77,84,83,90,92,91,91,89,85,84,85
Kutubdia,77,73,73,77,79,83,85,86,85,83,79,75,79
M.court,84,72,68,78,78,86,86,86,85,84,80,80,80
Rangamati,77,70,61,71,71,77,77,75,76,76,79,84,82
Sandwip,82,76,71,81,81,88,88,87,88,86,86,84,83
Chittagong,73,65,63,76,76,84,86,86,84,81,74,74,76
Sitakunda,81,73,70,82,81,86,87,86,87,85,82,81,81
Gopalgonj,,,,,,,,,,,,,
Tarash,,,,,,,,,,,,,
Netrokona,,,,,,,,,,,,,
Rajarhat,,,,,,,,,,,,,
Badalgachhi,,,,,,,,,,,,,
Dimla,,,,,,,,,,,,,
Netrokonai,,,,,,,,,,,,,
