District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,458,379,433,0,0,0,218,107,818.34,218,107,818.34
2,Barishal,301,248,331,0,0,0,224,238,728.66,224,238,728.66
3,Bhola,608,100,291,0,0,0,287,257,1872.1,287,257,1872.1
4,Jhallokati,2457,2030,2057,0,0,0,2154,970,7269.78,2154,970,7269.78
5,Patuakhali,370,304,377,0,0,0,184,158,431.59,184,158,431.59
6,Pirojpur,176,95,129,0,0,0,92,80,375.54,92,80,375.54
1,Barishal Division,4370,3846,3618,0,0,0,3159,1810,11496.01,3159,1810,11496.01
7,Bandarban,38,39,132,4,3,11.21,68,70,173.76,72,73,184.97
8,Brahmanbaria,116,118,260,0,0,0,85,71,235.41,85,71,235.41
9,Chandpur,271,216,313,0,0,0,103,101,302.67,103,101,302.67
10,Chattogram,565,563,559,5,6,0,300,295,1703.94,305,301,1703.94
11,Cumilla,189,135,276,0,2,39.24,233,204,2253.24,233,206,2292.48
12,Cox’s Bazar,110,190,250,0,0,0,42,40,140.13,42,40,140.13
13,Feni,299,110,195,0,0,0,65,47,184.97,65,47,184.97
14,Khagrachari,73,294,372,0,0,0,36,27,67.26,36,27,67.26
15,Lakshmipur,384,82,275,0,0,0,117,52,874.39,117,52,874.39
16,Noakhali,190,381,250,0,0,0,56,117,431.59,56,117,431.59
17,Rangamati,1031,197,823,0,0,0,570,244,1485.35,570,244,1485.35
2,"Chattogram
Division",3268,3047,3705,9,11,50.45,1675,1268,7852.71,1684,1279,7903.16
18,Dhaka,109,45,152,0,4,0,123,39,190.57,123,43,190.57
19,Faridpur,514,15,396,0,0,0,215,129,728.66,215,129,728.66
20,Gazipur,418,95,322,0,0,0,139,72,431.59,139,72,431.59
21,Gopalganj,343,69,385,0,8,0,258,138,952.86,258,146,952.86
22,Kishoreganj,343,128,215,0,0,0,370,38,773.5,370,38,773.5
23,Madaripur,245,76,287,0,0,0,141,82,201.78,141,82,201.78
24,Manikganj,93,32,275,0,0,0,63,41,184.97,63,41,184.97
25,Munshiganj,26,6,224,0,0,0,31,39,95.29,31,39,95.29
26,Narayanganj,27,10,222,0,0,0,11,5,33.63,11,5,33.63
27,Narsingdi,141,49,210,3,0,0,185,197,510.06,188,197,510.06
28,Rajbari,188,27,260,0,0,0,103,97,358.72,103,97,358.72
29,Shariatpur,557,15,392,0,0,0,175,112,381.15,175,112,381.15
30,Tangail,752,225,536,0,0,0,504,13,1182.67,504,13,1182.67
3,Dhaka Division,3757,3776,3876,3,12,0,2318,1002,6025.45,2321,1014,6025.45
31,Bagerhat,293,15,216,0,0,0,83,87,538.09,83,87,538.09
32,Chuadanga,137,123,205,0,0,0,285,159,734.27,285,159,734.27
33,Jashore,536,202,412,0,0,0,386,159,936.05,386,159,936.05
34,Jhenaidah,243,35,193,0,0,0,128,138,1025.73,128,138,1025.73
35,Khulna,195,35,169,0,0,0,92,83,336.3,92,83,336.3
36,Kushtia,191,29,144,0,0,0,184,145,1008.91,184,145,1008.91
37,Magura,262,47,198,0,0,0,256,108,605.35,256,108,605.35
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
38,Meherpur,62,44,149,0,0,0,90,39,235.41,90,39,235.41
39,Narail,356,163,375,0,0,0,359,162,857.58,359,162,857.58
