(Area in acres),,,,,,,,,,,,,,
"Division and
District/Zila","Local
Aus","HYV
Aus","Local
Aman","HYV
Aman","Local
Boro","Hybrid
Boro","HYV
Boro","Wh
eat","Mai
ze",Jute,"Puls
es","Oil
seed
s","Sugar
cane","pot
ato"
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BANGLADESH,,,,,,,,,,,,,,
TOTAL,15198,7,4492427,486845,166395,2103256,63443,644,667,1090,1074,12491,218348,765
RURAL,1490674,10186,4444810,4816866,1629340,2071000,6283072,367385,262547,1077394,1036137,1233930,215576,472541
"SH
URBAN",2339125,1443330,47617,515897,346494,32256,6412098,293154,593678,1142575,1120927,1012058,2772,615387
BARISHAL,,,,,,,,3,6,9,0,,,66
"DIVISION
TOTAL",30797,62357,841669,63814,80301,38590,11261,864,259,1052,2600,41015,4376,154
RURAL,"30608
2",61315,835793,63092,79235,38007,"11110
2","859
2","256
9","1048
1","2583
04",40848,4368,"152
40"
URBAN,18875,1041,5876,722,1066,584,15102,466,372,329,162832,167,8,16719
04 BARGUNA,39821,26995,155421,11128,4961,849,651,150,341,167,5178,4031,185,213
06 BARISHAL,52408,5854,136096,8793,22103,17997,60818,207,596,7861,57411,3902,2136,1836
09 BHOLA,81033,6152,174452,8099,32958,7776,28431,5865,435,531,36510,18594,421,5757
42 JHALOKATI,25523,5925,57367,3348,2439,2007,7798,1060,131,229,88011,729,280,7140
78 PATUAKHALI,83582,7540,236389,29467,4541,1301,971,238,859,690,9594,13234,231,261
79 PIROJPUR,25605,9890,81945,2980,13299,8660,13944,222,237,1043,95655,525,1123,2383
CHATTOGRAM,,,,,,,,,,,,,,9
"DIVISION
TOTAL",42509,18229,635246,386982,257158,226350,63497,173,474,1962,9129,11597,4880,755
RURAL,420752,180283,630245,384114,253166,223522,629397,12770,47792,19403,90700,115498,4792,78457
URBAN,43705,20617,5002,2867,3991,2828,56017,26661,21645,1829,5872,4945,88,85324
03 BANDARBAN,32194,3949,5382,7757,4076,2947,5226,94,124,63,441,4018,314,336
15 CHATTOGRAM,67492,34541,95021,93175,49175,16706,63078,618,"02
817",401,"1832
1",2689,576,"1035
12"
22 COX'S BAZAR,19236,8214,35503,36361,32677,7330,27327,283,370,277,2731,464,255,362
46HAGRACHHARI,11884,6103,14161,22233,7144,6218,17273,142,116,30,132,349,541,2155
84 RANGAMATI,31991,3880,10721,9113,11862,14396,12250,210,4662,119,614,2456,829,2792
"12
BRAHMANBARIA",10958,6959,48014,38183,39311,18748,"15815
7","562
1","5
315",7755,"1238
4",13718,278,"4005
6"
13 CHANDPUR,12155,16585,38759,23605,17910,12034,70354,217,100,5493,2077,4395,855,189
19 CUMILLA,50033,79927,86546,101500,56167,61123,18955,5595,15634,3800,6752,9533,517,25655
30 FENI,16982,8332,32297,33056,6706,5617,405415,7034,17223,348,3770,1312,245,89794
51 LAKSHMIPUR,59676,6385,80803,10505,11184,10757,20420,127,346,629,8164,37655,211,103
75 NOAKHALI,11249,7425,188039,11493,20944,70474,30797,6459,791,704,3590,39388,261,1678
DHAKA DIVISION,4,,,,,,,,,,4,,,7
TOTAL,20659,16773,1022594,915418,447194,441600,21564,145,537,4283,2391,44893,43857,115
RURAL,197280,164100,1008736,902439,433588,429633,2130507,615442,56252,422375,235524,443288,43076,418131
URBAN,93908,36255,13858,12980,13606,11968,2066337,437138,14552,475780,369575,56536,782,344143
26 DHAKA,11077,3573,24132,6560,27849,17645,70800,4115,7505,1351,9369,26809,971,6900
33 GAZIPUR,8921,2905,26210,23907,33139,23828,61957,1283,5753,55949,1380,4020,3670,1203
56 MANIKGANJ,3511,540,23597,3234,5835,5428,88073,1818,198,1170,2918,82196,2173,5019
59 MUNSHIGANJ,3038,1547,31390,3792,11666,5691,25706,8266,33753,10226,11778,8339,774,5161
67 NARAYANGANJ,2982,1796,12596,3847,7133,6281,42934,"118
9","4
399","1
2974",1230,6965,335,"55923
3"
68 NARSINGDI,5613,3320,24540,32590,17149,10088,86034,128,328,9647,1860,10276,399,412
29 FARIDPUR,23688,2678,35389,13719,5548,4345,52424,4455,140,9907,4825,25610,6512,1054
35 GOPALGANJ,9052,1052,41874,2102,9578,48055,77060,72995,3087,22712,28912,11279,1305,7044
54 MADARIPUR,8191,2388,27215,3167,5274,5680,62643,1187,790,39241,24746,19851,1831,675
61 MYMENSINGHH,55844,86987,266084,234881,135309,96490,"33113
3","51396
8","321
4","13808
2","9
8238",10750,6228,"671
4"
82 RAJBARI,16075,3463,28285,25958,4940,1562,28566,"318
69",701,"5224
9","2060
0",16412,4974,361
86 SHARIATPUR,25564,1303,20569,3768,5026,2169,34569,"985
9",263,"3045
7","1577
8",14025,1091,"190
4"
"Division and
District/Zila","Local
Aus","HYV
Aus","Local
Aman","HYV
Aman","Local
Boro","Hybrid
Boro","HYV
Boro","Wh
eat","Mai
ze",Jute,"Puls
es","Oil
seed
s","Sugar
cane","pot
ato"
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
39 JAMALPUR,2691,5149,71612,160793,14256,46814,22719,680,640,5477,8622,58708,8937,727
48 KISHOREGANJ,14691,24840,39269,61051,53769,53611,"238712
5","3540
5","5114
8","14062
3",5803,14948,395,"7409
6"
72 NETRAKONA,5820,5723,131765,105973,60480,39253,28397,271,319,8363,1354,7608,175,316
89 SHERPUR,5014,17141,99752,93699,20184,65366,123229,2347,548,7679,1669,11447,341,4719
93 TANGAIL,4827,3323,118314,136377,30058,9295,321351,8308,224,3219,3094,11969,3745,6971
KHULNA DIVISION,,,,,,,9,6,2,6,0,5,,8
TOTAL,19356,22725,572443,596754,172516,331192,58323,118,122,2781,2003,11995,34867,326
RURAL,190000,224732,565088,590717,167796,325544,575075,917167,810220,270417,196713,118330,34498,31261
URBAN,35528,25285,7356,6037,4719,5648,81834,012925,524235,331829,299674,16530,369,45651
01 BAGERHAT,17953,3088,137944,6409,22519,43311,14836,4849,2891,1486,1223,1742,1983,145
47 KHULNA,26408,3509,128027,30122,15823,41898,34777,964,351,3663,28831,4967,1348,2918
87 SATKHIRA,5135,19676,32306,109945,15784,30039,90376,486,277,1676,5397,11065,1406,9345
18 CHUADANGA,16049,17737,24460,31518,20143,23391,38239,1301,544,30768,1771,8976,5804,3145
41 JASHORE,20416,61823,53369,130020,29478,75585,16367,73235,18097,34460,25009,22891,1206,4254
44 JHENAIDAH,21881,39082,59375,107311,35334,23983,993075,1356,1800,34640,46663,20253,6101,2179
50 KUSHTIA,36954,43744,30198,94152,7131,7140,51765,25863,33628,54552,26330,11918,12828,5684
55 MAGURA,14674,19930,41015,49928,15439,31275,34131,29001,41352,49360,29707,20081,954,1389
57 MEHERPUR,11235,12954,16670,22858,7002,12186,31571,22423,108,30004,96328,10965,2114,323
65 NARAIL,22855,5711,49080,14491,3863,42386,24561,56704,16950,22512,2470,7096,1123,2091
"RAJSHAHI
DIVISION",,,,,,,,6,,5,2,,,
TOTAL,19553,30695,1135399,279106,395590,917262,25287,347,439,3500,2787,51453,129395,509
RURAL,192130,302245,1121040,2762637,387334,906664,2504225,038483,440343,346781,271646,512494,127871,655021
URBAN,34285,46968,14359,283894,8256,10598,2618583,432626,851598,288835,210104,20918,1524,588017
64 NAOGAON,25411,69682,153039,300247,64560,60476,34665,1664,2052,9461,3225,40006,3037,4410
69 NATORE,24337,7020,87968,26727,50874,49540,633402,48056,17492,1995,4913,23108,45904,27388
"70 CHAPAI
CHAPINAWABGON",41305,51315,26388,66690,11097,5528,92027,"17704
05","16450
32","9
2295","41764
6",7659,11166,"1287
6"
"81 RAJSHAHI
J",24199,82102,34429,100261,18584,36590,12026,330,437,1899,3069,37361,22709,444
10 BOGURA,7093,39962,135065,271792,46527,104883,305881,24824,36019,29539,41841,40937,1151,94949
38 JOYPURHAT,1195,686,39593,136085,16661,89186,728393,1318,46301,51464,1241,5532,2926,64837
76 PABNA,33934,8371,94841,38526,38054,14275,11143,5241,4363,5254,5387,57976,8261,19591
88 SIRAJGANJ,9499,9191,58284,29836,24354,64050,222480,71378,1471,27834,39866,19219,5645,5256
27 DINAJPUR,7284,18621,108265,483417,24131,87412,371223,2965,93529,13175,21045,78333,3984,5385
77 PANCHAGARHH,1017,605,26981,178624,3811,22592,"2
55621","24576
13","18141
49","24098
7",4802,26800,5236,"17036
09"
94 THAKURGAON,927,733,45059,266936,13473,17817,"16008
5","737
76","495
90","1651
5","1629
7",8116,5494,"282
53"
32 GAIBANDHA,2464,5577,92554,153819,33514,101003,12635,540,250,2546,4928,23920,4373,226
49 KURIGRAM,8734,3620,91383,121878,13031,52437,128687,1910,74808,42669,1475,26446,1866,60325
52 LALMONIRHAT,2852,1886,34514,127605,8774,36457,"4
58561","59456
1","4932
72","15269
8","2
1149",8201,641,"9633
2"
73 NILPHAMARI,2126,1849,31725,203167,8870,45393,12302,931,195,2315,4755,2034,1001,336
"Division and
District/Zila","Local
Aus","HYV
Aus","Local
Aman","HYV
Aman","Local
Boro","Hybrid
Boro","HYV
Boro","Wh
eat","Mai
ze",Jute,"Puls
es","Oil
seed
s","Sugar
cane","pot
ato"
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
85 RANGPUR,3157,5735,75312,285453,19275,129624,17040,755,348,2385,5964,6415,6002,772
SYLHET DIVISION,,,,,,,7,2,89,8,,,,24
TOTAL,19104,86471,285076,114424,311194,148261,32836,669,117,4097,4796,8710,973,166
RURAL,190397,85997,283909,113828,308189,147631,326385,6625,1155,4088,4773,8667,972,14685
URBAN,6754,474,1167,596,3006,630,20135,366,205,9,23,43,2,6871
36 HABIGANJ,45054,39214,74234,42658,57656,75516,10876,396,434,1534,2478,3170,560,636
58 MAULVIBAZAR,55937,22201,57563,30411,30834,5509,"8
36310","2
430",209,383,345,338,155,"4783
9"
90 SUNAMGANJ,15133,5320,59887,18143,126581,48232,15729,142,172,1355,1017,3341,192,222
91 SYLHET,74925,19736,93392,23212,96123,19003,259981,8728,360,825,957,1862,66,3391
