Station,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Dhaka,0,20,3,309,392,366,354,141,76,45,13,13
Tangail,0,40,24,211,336,218,329,174,202,77,5,23
Mymensingh,0,10,28,238,531,303,302,193,351,121,36,18
Faridpur,0,4,6,222,258,224,422,83,143,68,22,13
Madaripur,0,1,1,143,378,413,457,212,168,69,9,10
Srimangal,34,19,49,173,635,383,183,366,174,118,2,50
Sylhet,0,39,94,330,583,789,677,410,452,139,39,29
Bogura,0,35,28,128,371,255,406,177,162,70,0,18
Dinajpur,0,0,29,70,155,124,165,164,195,8,0,10
Ishwardi,0,9,47,220,190,149,426,90,73,94,4,19
Rajshahi,0,12,9,75,176,139,238,84,119,87,0,17
Rangpur,0,0,13,151,365,347,169,213,144,33,0,7
Syedpur,0,0,25,171,144,416,207,256,245,20,0,9
Chuadanga,0,3,1,105,175,216,376,155,112,55,0,25
Jashore,0,3,11,186,148,101,412,130,76,63,1,11
Khulna,0,0,1,64,226,266,264,107,106,36,0,3
Mongla,0,0,1,69,254,526,388,254,177,100,0,2
Satkhira,0,0,0,50,162,273,246,279,167,105,0,10
Barishal,0,0,9,139,259,331,294,189,82,110,1,4
Bhola,0,0,2,107,300,393,286,185,124,115,0,1
Khapupara,0,0,0,22,246,797,1010,325,294,260,6,1
Patuakhali,0,0,1,125,239,396,485,339,106,201,10,0
Chandpur,0,2,5,166,451,541,420,220,79,73,14,2
Chi (Ambagan),13,0,12,115,348,791,751,330,152,496,2,22
Chi (Patanga),13,0,20,72,388,667,807,325,148,306,2,4
Cumilla,0,0,21,214,406,516,268,117,121,42,0,7
Cox`s Bazar,26,0,0,56,172,984,1246,398,341,395,8,8
Feni,0,2,16,222,418,623,572,523,196,89,0,1
Hatia,0,0,1,73,394,616,736,291,226,309,7,5
Kutubdia,11,0,0,90,273,737,744,435,319,365,4,18
Maijdee Court,0,2,1,162,406,519,705,327,164,101,0,1
Rangamati,6,0,4,236,291,1037,504,281,336,257,0,35
Sandwip,1,3,0,166,473,904,1272,621,239,251,0,0
Sitakunda,18,0,0,246,279,1025,1114,454,170,218,0,3
Teknaf,92,0,0,12,181,1001,1288,502,244,593,5,10
Gopalgonj,0,0,1,172,225,214,246,178,130,44,0,4
Tarash,0,38,59,175,269,207,288,210,103,61,0,17
Netrokona,0,11,41,224,483,447,543,448,350,136,5,19
Rajarhat,0,3,32,148,460,255,26,66,140,40,0,5
Badalgachhi,0,19,32,106,247,282,448,231,174,62,0,14
Dimla,0,1,18,212,748,533,460,460,561,2,0,73
Netrokonai,0,6,30,148,268,249,400,101,126,119,0,31
