District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
1,Barguna,431,6614,6642,921,1303,1038,3159,4488,5004,4080,5791,6042
2,Barishal,0,9884,9423,0,0,0,7897,8259,8000,7897,8259,8000
3,Bhola,0,2577,1438,0,98,0,1659,1906,1906,1659,2004,1906
4,Jhallokati,0,1856,518,0,0,0,834,946,1066,834,946,1066
5,Patuakhali,0,6885,3967,0,0,0,3964,3964,2900,3964,3964,2900
6,Pirojpur,52,8574,8676,309,353,356,4406,4476,4347,4715,4829,4703
1,Barishal Division,483,36390,30664,1230,1754,1394,21919,24039,23223,23149,25793,24617
7,Bandarban,355,2826,2871,1559,1559,1600,2144,2148,2187,3703,3707,3787
8,Brahmanbaria,0,2945,3071,0,69,75,9588,9517,9485,9588,9590,9560
9,Chandpur,0,1049,1050,0,0,0,7848,9392,9393,7848,9392,9393
10,Chattogram,64,3247,3000,106,524,528,13755,16942,16971,13861,17466,17499
11,Cumilla,45,27711,2781,738,9685,9755,2475,13654,13594,3213,23339,23349
12,Cox’s Bazar,221,253,243,855,778,764,5165,5344,5359,6020,6122,6123
13,Feni,10,1264,1258,62,81,83,3195,4106,4103,3257,4187,4186
14,Khagrachari,2305,3793,3871,3490,5842,6087,2262,2651,2806,5752,8493,8893
15,Lakshmipur,0,1267,839,0,0,0,2020,4187,4186,2020,4187,4186
16,Noakhali,0,999,1000,0,0,0,6646,6204,6214,6646,6204,6214
17,Rangamati,674,3900,3925,1411,3425,3451,3957,2338,2318,5368,5763,5769
2,"Chattogram
Division",3674,49254,23911,8221,21963,22343,59055,76483,76616,67276,98450,98959
18,Dhaka,120,506,534,529,1865,728,3550,4209,5216,4079,6074,5944
19,Faridpur,160,160,254,2118,4037,8781,5467,2760,12659,7585,6797,21440
20,Gazipur,329,331,786,1038,688,949,3613,738,7561,4651,1426,8510
21,Gopalganj,254,738,730,1000,2125,47,4537,4312,7225,5537,6437,7272
22,Kishoreganj,16,320,449,162,132,199,9404,9727,9859,9566,9859,10058
23,Madaripur,1,5479,572,6,4423,144,5243,946,5455,5249,5369,5599
24,Manikganj,157,982,990,910,942,927,4166,4315,4350,5076,5257,5277
25,Munshiganj,0,280,267,0,101,111,3066,2865,3125,3066,2966,3236
26,Narayanganj,32,80,82,107,95,104,2159,2093,2193,2266,2188,2297
27,Narsingdi,234,272,603,564,679,298,4797,5324,5555,5361,6003,5853
28,Rajbari,575,512,2120,4230,22103,2397,22412,4984,12411,26642,27087,14808
29,Shariatpur,80,112,3028,300,5274,3842,5579,573,289,5879,5847,4131
30,Tangail,888,893,1422,1948,11715,4298,11659,2586,14886,13607,14301,19184
3,Dhaka Division,2846,10665,11839,12912,54179,22825,85652,45432,90784,98564,99611,113609
31,Bagerhat,46,314,313,73,81,73,1562,1740,1662,1635,1821,1735
32,Chuadanga,276,885,905,4788,5152,5143,1968,2054,2081,6756,7206,7224
33,Jashore,983,3592,3581,5193,4743,4551,6394,5541,5687,11587,10284,10238
34,Jhenaidah,534,2103,1992,7177,8497,8121,11008,11381,11444,18185,19878,19565
35,Khulna,390,1015,257,961,925,977,6228,6688,7223,7189,7613,8200
36,Kushtia,10,4439,2868,11804,12502,10585,34804,35411,30370,46608,47913,40955
37,Magura,621,287,280,3473,2918,3649,5518,4838,4660,8991,7756,8309
38,Meherpur,4448,5838,5800,6530,6360,6244,2161,2218,2067,8691,8578,8311
,,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20,2017-18,2018-19,2019-20
39,Narail,559,1372,1370,3754,2518,1479,10148,5114,3903,13902,7632,5382
40,Satkhira,1061,1499,2034,3999,4044,7342,4546,4394,3168,8545,8438,10510
4,Khulna Division,8928,21344,19400,47752,47740,48164,84337,79379,72265,132089,127119,120429
41,Jamalpur,21,16,2142,225,293,807,9508,9660,9695,9733,9953,10502
42,Mymensingh,136,0,24500,1282,1182,1954,24810,22748,19703,26092,23930,21657
43,Netrokona,3,0,29,15,16,21,1544,16034,19917,1559,16050,19938
44,Sherpur,11,11,437,76,85,89,10286,11254,109776,10362,11339,11065
5,"Mymensingh
Division",171,27,27108,1598,1576,2871,46148,59696,60291,47746,61272,63162
45,Bogura,53,3148,3147,435,447,447,21984,22336,22328,22419,22783,22775
46,Joypurhat,98,65,1643,313,196,269,3749,2553,3338,4062,2749,3607
47,Naogaon,11104,4075,4457,9843,9579,10146,12975,18203,18634,22818,27782,28780
48,Natore,1896,1980,2757,13077,20294,30806,53398,49469,46183,66475,69763,76989
49,Chapai Nawabganj,50412,62820,62800,185604,176109,159728,17917,20971,27446,203521,197080,187174
50,Pabna,1568,1797,2337,7291,7382,7279,26334,26370,27536,33625,33752,34815
51,Rajshahi,22442,25713,27339,148343,150900,163245,93956,96176,71858,242299,247076,235103
52,Sirajganj,41,42,855,189,198,282,25903,26956,27241,26092,27154,27523
6,Rajshahi Division,87614,99640,105335,365095,365105,372202,256216,263034,244564,621311,628139,616766
53,Dinajpur,2106,5924,5818,12340,16876,16665,41071,24975,25155,53411,41851,41820
54,Gaibandha,9,1673,1723,36,28,35,8284,10213,13293,8320,10241,13328
55,Kurigram,41,1231,1145,213,248,295,10604,11354,10180,10817,11602,10475
56,Lalmonirhat,270,579,579,1193,2649,2676,4703,3911,3937,5896,6560,6613
57,Nilphamari,279,1470,577,1300,2978,646,7291,6446,8578,8591,9424,9224
58,Panchagar,515,1659,1631,2632,5369,5503,9109,9133,9219,11741,14502,14722
59,Rangpur,955,1134,110,419,9550,6762,18217,16749,18276,18636,26299,25038
60,Thakurgaon,1474,4184,3995,8324,10513,11133,17841,15982,16906,26165,26495,28039
7,Rangpur Divison,5649,17854,16568,26457,48211,43715,117120,98763,105544,143577,146974,149259
61,Habiganj,42,42,200,106,108,107,10174,10172,10178,10280,10280,10285
62,Moulvibazar,64,61,101,173,126,0,6085,6132,6269,6258,6258,6269
63,Sunamganj,0,0,109,0,0,2930,10945,10945,11087,10945,10945,14017
64,Sylhet,113,113,113,100,2732,96,4509,1877,4900,4609,4609,4996
8,Sylhet Division,219,219,523,379,2966,3133,31713,29126,32434,32092,32092,35567
BANGLADESH,,109584,235393,235348,4 6 3 6 4 4,5 4 3 4 9 4,5 1 6 6 4 7,7 0 2 160,675952,705721,1165804,1219450,1222368
