Commodity,Unit,2017-18,,2018-19,,2019-20,
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
"0103-Fowl, domestic weight<=185
gram",No.,,,,,-,-
"0105-Live poultry other weight
<=185 gram",No.,177432,1963772,22613327,2640642,16804849,2134087
01051490 Live poultry-other,No.,-,-,-,789,,68
"0106-Live animals, other for
human food",No.,37934,35763,167632,77027,264470,88268
"0202- Meat bovine animals
boneless, frozen",Kg,1014957,243362,4346706,1426988,9050871,2913545
"0401- Milk & cream other fat 1% +
<=6%",Liter,1143151,80067,1273169,172140,859940,60730
"Skim milk powder fat <=1.5%
w/sugar",Kg,,,,,,
"0402-Milk powder fat <=1.5%
w/sugar",Kg,130077112,28553569,150892503,31728073,41564911,33246206
Milk powder not sugar fat 1.5% +,Kg,-,-,,,,
"Cream powder not sugar fat 1.5%
+",Kg,-,-,,,,
Milk/cream powder etc. other,Kg,-,-,,,,
"Milk/cream other not containing
sugar",Kg,-,-,,,,
"Milk and cream with sugar, other",Kg,-,-,,,,
"0404- Whey containing sugar/
sweet or not",Kg,8903298,695310,11270750,950776,15243411,1368186
"Butter, canned, fresh/ frozen",Kg,,,,,,
"Butter, melted (ghee)",Kg,,,,,,
040510- Butter oil,Kg,332299,143494,515091,209364,670856,252518
04069000- Cheese-other,Kg,455923,140759,510301,143096,586498,161792
0409- Natural honey,Kg,770136,217214,992259,257857,556256,185821
"0505-Feathers used for stuffing:
down",Kg,435400,2224037,570168,3707883,6374020,4373738
"0508-Coral & similar material
unworked",Kg,915965,28372,833427,9154,7394116,8942
Natural sponges of,Kg,,,,,,
animal origin,,,,,,,
05111000 Bovine animal semen,Kg,6,1935,25100,12513,1830,1542
"05119100 Pot fish/crustacean
etc N/for human",Kg,4392591,157446,7456281,286404,807619,360550
"06011000- Live plants, other
incl. their roots",Kg,8920,2099,-,-,1015,439
"0701 Potatoes fresh or chilled
seed",Kg,5946526,430749,4063042,305857,3107063,240489
"07011090 Potatoes fresh or
chilled: other",Kg,5925745,428995,4053723,304717,3100839,239662
"0702 Tomatoes, fresh or chilled",Kg,22292579,745659,31986714,1094814,40026196,1382730
,,Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk",Quantity,"Value
'000' Tk"
1,2,7,8,9,10,11,12
0703 Onion and shallots,Kg,1064346621,34122748,,,640917187,28539341
07032090 Garlic,Kg,70209055,5650476,"120367171
1",23307910,94222438,9137917
"0707-Cucumber gherkin
fresh/chilled",Kg,1074,137,1780,224,2865,372
"0708-Peas (pisum sativum)
fresh/chill",Kg,215453,20699,53843,6334,59867,4356
"0709-Vegetable, fresh or chilled:
other",Value,18875195,667301,4060601,161527,1804272,94205
"07132090 -Peas shelled,
skinned or not",Kg,932150852,3767597,213159068,11605190,256050792,12508305
"07132090-Chick peas shelled,
skinned or not",Kg,204197005,11377935,-,-,,
"07133590-Beans dry shelled,
skinned or not",Kg,13099,1770,4657,528945,4184,546
"07134090-Lentils, dried, shelled",Kg,269148391,12475195,441488364,15924473,616874905,27013564
skin or not,,,,,,,
"07139090-Leguminous Veg
seeds, dry shelled",Kg,5125358,267217,2773227,160214,5675655,390774
"08012290-Cashew nut fresh/ dry
shelld or not",Kg,1448,272,,,,
"08021190-Almonds, in shell",Kg,992,187,62296,9764,3438,255
"08021290-Almonds, shelled",Kg,717076,109599,764300,118818,1399890,218417
1205 Rape seed broken or not,Kg,138486277,5420216,144280440,5715196,460005254,16468819
