SL:,Name of crops,2015-16,2016-17,2017-18,2018-19,2019-2020
1,2,4,5,6,7,
1,Paddy-boro-fine,-,-,-,2290,2155
2,Paddy-boro-medium,-,-,-,1914,1875
3,Paddy-boro-Coarse,-,-,-,1664,1588
4,Paddy-Aman-fine,-,-,-,2071,2156
5,Paddy-Aman-medium,-,-,-,1759,1900
6,Paddy-Aman-coarse,-,-,-,1658,1724
7,Paddy-Aus-fine,-,-,-,1699,-
8,Paddy-Aus-medium,-,-,-,1599,1349
9,Paddy-Aus-coarse,-,-,-,1606,1406
10,Rice-Boro-fine,-,-,-,4555,-
11,Rice-boro medium,-,-,-,3848,-
12,Rice-boro coarse,-,-,-,3074,
13,Rice-Aman-fine,-,-,-,4332,
14,Rice-Aman-medium,-,-,-,3478,
15,Rice-Aman-coarse,-,-,-,2912,
16,Rice-Aus-fine,-,-,-,-,
17,Rice-Aus-fine,-,-,-,-,
18,Rice-Aus-fine,-,-,-,-,
19,Rice-fragrant-Kalijira,-,-,-,7173,
20,Rice-fragrant-chinigura,-,-,-,7217,
21,"Rice-fragrant-
Kataribhog",-,-,-,6469,
22,Wheat-red,-,-,-,2156,2354
23,Wheat-normal white,-,-,-,2335,2461
24,Maize,-,-,-,1687,1769
25,Jute- white,-,-,-,4392,2857
26,Jute- Tosha,-,-,-,4522,4163
27,Jute- Mesta,-,-,-,4028,3936
28,Cotton-Carpas,-,-,-,-,-
29,Cotton-Shimul,-,-,-,2300,21000
30,Tobacco-heat filter,-,-,-,-,-
31,Tobacco-Air filter,-,-,-,-,-
32,Tobacco-Barli,-,-,-,-,-
33,Tobacco-local Motihar,-,-,-,8000,10291
34,Tobacco-Jati,-,-,-,6444,6000
35,Tobacco-talik,-,-,-,-,-
36,-Dal-kalai-Mash,-,-,-,4829,6366
37,Dal-kalai-Masur,-,-,-,5541,7215
38,Dal-kalai-Mung,-,-,-,5972,6196
39,Dal-kalai-Gram,-,-,-,5901,6269
40,Dal-kalai-Motor,-,-,-,3630,3512
41,Dal-kalai- Kheshari,-,-,-,3196,3916
42,Oilseed-Mustard,-,-,-,4884,4645
43,Oilseeds-Soyabean,-,-,-,3222,3067
44,Oilseed-Lin seeds,-,-,-,4738,5993
45,Oilseed-Til,-,-,-,4840,4880
46,Oilseed-Groundnut,-,-,-,6569,8415
47,Potato-local,-,-,-,1827,2113
48,Potato-Holland white,-,-,-,1476,1663
49,Potato-Holland red,-,-,-,1551,1717
50,Vegetable-brinjal,-,-,-,2120,2624
51,Ladys Finger,-,-,-,2408,2779
52,Beans,-,-,-,2192,4077
53,Barbati,-,-,-,2554,3180
54,Radish,-,-,-,1042,1398
55,Tomato,-,-,-,2127,4081
56,Carrot,-,-,-,2368,3068
57,Danta,-,-,-,1281,1295
58,Cauliflower,-,-,-,1872,2772
59,Cabbage,-,-,-,1176,1888
