District name,Jul-2023,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food
(in TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,0,,,0,,,0,,,0,,,0,,,0,,,557,,,400,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,475,,,391,,
Rangamati,442,,,321,,,313,,,229,,,0,,,0,,,499,,,344,,
Chattogram,624,,,456,,,565,,,385,,,583,,,399,,,665,,,453,,
Cox’sbazar,714,,,425,,,649,,,375,,,592,,,317,,,740,,,457,,
Cumilla,518,,,330,,,411,,,304,,,402,,,317,,,400,,,300,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,459,,,400,,,413,,,0,,,400,,,400,,,559,,,453,,
Noakhali,578,,,0,,,600,,,0,,,525,,,0,,,667,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,500,,,0,,
Feni,650,,,0,,,0,,,0,,,0,,,0,,,700,,,0,,
"Chattogram
Division",554,,,372,,,507,,,323,,,500,,,345,,,578,,,400,,
Sylhet,468,,,350,,,448,,,0,,,375,,,0,,,501,,,300,,
Maulavi Bazar,465,,,368,,,400,,,350,,,0,,,0,,,520,,,415,,
Sunamganj,480,,,310,,,0,,,0,,,0,,,0,,,530,,,347,,
Habiganj,475,,,450,,,0,,,0,,,0,,,0,,,442,,,360,,
Sylhet Division,472,,,370,,,424,,,350,,,375,,,0,,,498,,,355,,
Dhaka,572,,,500,,,535,,,450,,,550,,,400,,,617,,,550,,
Gazipur,575,,,475,,,550,,,450,,,525,,,400,,,660,,,520,,
Manikganj,550,,,450,,,518,,,400,,,475,,,350,,,602,,,500,,
Munshiganj,0,,,0,,,0,,,0,,,504,,,0,,,572,,,400,,
Narayanganj,0,,,0,,,0,,,0,,,0,,,0,,,486,,,433,,
Narsingdi,0,,,0,,,566,,,0,,,563,,,0,,,568,,,0,,
Faridpur,613,,,0,,,0,,,0,,,550,,,0,,,658,,,310,,
Rajbari,583,,,350,,,567,,,0,,,0,,,0,,,625,,,380,,
Madaripur,483,,,400,,,0,,,0,,,700,,,0,,,591,,,456,,
Gopalganj,523,,,0,,,0,,,0,,,419,,,350,,,555,,,450,,
Shariatpur,625,,,350,,,0,,,0,,,575,,,0,,,646,,,390,,
Tangail,565,,,420,,,550,,,380,,,500,,,330,,,630,,,485,,
Kishoreganj,0,,,0,,,520,,,0,,,577,,,0,,,585,,,0,,
"Dhaka
Division",565,,,421,,,544,,,420,,,540,,,366,,,600,,,404,,
Mymensing,540,,,437,,,568,,,490,,,600,,,517,,,628,,,543,,
Jamalpur,540,,,-,,,575,,,-,,,595,,,-,,,650,,,-,,
Sherpur,,486,,,-,,,516,,,-,,,528,,,-,,,578,,,-,
Netrokona,517,517,,400,400,,544,544,,430,430,,-,-,,-,-,,586,586,,453,453,
"Mymensing
Division",521,,,419,,,551,,,460,,,574,,,517,,,611,,,498,,
